left_type,right_type,feature,metric,feature_family,left_n,right_n,evidence_strength,clean_current_sample,direction,left_min,left_median,left_max,right_min,right_median,right_max
multi_active_p0_p2,single_active_p1,base_mean_forman_incident_support_range,base_mean_forman_incident_support,curvature_shortcut,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,4.995192307692308,5.518429487179487,6.041666666666667,6.934285714285715,8.200476190476191,9.466666666666669
multi_active_p0_p2,single_active_p1,delta_mean_forman_incident_support_range,delta_mean_forman_incident_support,curvature_shortcut,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,0.40320887689308904,0.4347454640875701,0.46628205128205114,0.5214077425842127,0.5528607340372047,0.5843137254901967
multi_active_p0_p2,single_active_p1,new_edge_mean_forman_p2,new_edge_mean_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,-9.0,-7.5,-6.0,-16.0,-14.5,-13.0
multi_active_p0_p2,single_active_p1,new_edge_mean_forman_p2_minus_p0,new_edge_mean_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,0.0,1.5,3.0,-6.0,-5.0,-4.0
multi_active_p0_p2,single_active_p1,new_edge_mean_forman_p2_minus_p1,new_edge_mean_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,2.0,3.0,4.0,-5.0,-4.0,-3.0
multi_active_p0_p2,single_active_p1,new_edge_mean_forman_range,new_edge_mean_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,3.0,3.5,4.0,5.0,5.5,6.0
multi_active_p0_p2,single_active_p1,new_edge_min_forman_p2,new_edge_min_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,-9.0,-7.5,-6.0,-16.0,-14.5,-13.0
multi_active_p0_p2,single_active_p1,new_edge_min_forman_p2_minus_p0,new_edge_min_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,0.0,1.5,3.0,-6.0,-5.0,-4.0
multi_active_p0_p2,single_active_p1,new_edge_min_forman_p2_minus_p1,new_edge_min_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,2.0,3.0,4.0,-5.0,-4.0,-3.0
multi_active_p0_p2,single_active_p1,new_edge_min_forman_range,new_edge_min_forman,curvature_shortcut,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,3.0,3.5,4.0,5.0,5.5,6.0
multi_active_p0_p2,single_active_p1,post_mean_forman_incident_support_range,post_mean_forman_incident_support,curvature_shortcut,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,4.681917211328976,5.128650913356796,5.575384615384616,6.638461538461538,7.7604072398190045,8.882352941176471
multi_active_p0_p2,single_active_p1,local_ball3_beta1_p2,local_ball3_beta1,local_volume_topology,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,12.0,16.0,20.0,36.0,42.5,49.0
multi_active_p0_p2,single_active_p1,local_ball3_beta1_p2_minus_p0,local_ball3_beta1,local_volume_topology,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,-11.0,-7.5,-4.0,0.0,13.0,26.0
multi_active_p0_p2,single_active_p1,local_ball3_beta1_p2_minus_p1,local_ball3_beta1,local_volume_topology,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,-16.0,-13.5,-11.0,0.0,15.5,31.0
multi_active_p0_p2,single_active_p1,local_ball3_boundary_to_volume_p0_minus_p1,local_ball3_boundary_to_volume,local_volume_topology,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,0.22334886270211018,0.3285972512641857,0.4338456398262613,-0.3337868480725624,-0.11386271642613438,0.10606141522029366
multi_active_p0_p2,single_active_p1,local_ball3_boundary_to_volume_p1,local_ball3_boundary_to_volume,local_volume_topology,2,2,repeated_pair_tiny,1,single_active_p1_gt_multi_active_p0_p2,0.4634146341463415,0.5041792271855303,0.5449438202247191,0.7257142857142858,0.9853061224489796,1.2448979591836735
multi_active_p0_p2,single_active_p1,local_ball3_boundary_to_volume_p2_minus_p0,local_ball3_boundary_to_volume,local_volume_topology,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,-0.16809360730593614,-0.16630635266355254,-0.16451909802116893,-0.30345560871876665,-0.2774370833981016,-0.2514185580774365
multi_active_p0_p2,single_active_p1,local_ball3_boundary_to_volume_p2_minus_p1,local_ball3_boundary_to_volume,local_volume_topology,2,2,repeated_pair_tiny,1,multi_active_p0_p2_gt_single_active_p1,0.058829764680941254,0.1622908986006332,0.26575203252032514,-0.6372424567913291,-0.39129979982423596,-0.14535714285714285
