source,target_nodes,growth_seed,placement,profile_label,n_runs,label_counts,established_rate,active_placement,mixed_rate,no_horizon_rate,mean_horizon_span,median_boundary_mass,median_genealogy_intensity,support_signature,median_w32_mean_boundary_per_mass,mean_w32_mean_boundary_per_mass,median_static_mean_support_degree,mean_static_mean_support_degree,median_genealogy_intensity_index,mean_genealogy_intensity_index,mean_support_degree,support_ball_1,support_ball_2,support_ball_3,support_ball2_minus_ball1,support_ball3_minus_ball1,support_ball3_minus_ball2,support_boundary_to_volume,support_pairwise_mean_distance,support_pairwise_max_distance,ball3_over_ball1,local_ball3_node_count,local_ball3_beta1,local_ball3_boundary_to_volume,base_ball3_efficiency,post_ball3_efficiency,delta_ball3_efficiency,base_ball3_mean_pair_distance,post_ball3_mean_pair_distance,delta_ball3_mean_pair_distance,base_support_harmonic_reach,post_support_harmonic_reach,delta_support_harmonic_reach,base_return_t2,base_return_t4,base_return_t6,post_return_t2,post_return_t4,post_return_t6,delta_return_t2,delta_return_t4,delta_return_t6,base_return_spectral_dim_proxy,post_return_spectral_dim_proxy,delta_return_spectral_dim_proxy,base_mean_forman_incident_support,post_mean_forman_incident_support,delta_mean_forman_incident_support,new_edge_count,new_edge_mean_forman,new_edge_min_forman,pre_run_primary_rank,pre_run_top1,pre_run_top2,taxonomy_input_source,guard_metric,guard_metric_value,guard_predicted_type,guard_predicted_active_placements,guard_placement_predicted_active,perturbation,requested_match,base_nodes,base_edges,base_beta1,local_ball3_internal_edges,base_ball3_pair_count,base_ball3_connected_pair_count,removed_edge_count,new_edges,removed_edges,seed_delta,run_seed,support_size,min_support_degree,max_support_degree,support_shell_1,support_shell_2,support_shell_3,shell2_over_shell1,support_internal_edge_count,support_beta1,support_boundary_edge_count,support_pairwise_min_distance,base_min_forman_incident_support,post_min_forman_incident_support,support_over_ball3_fraction,support_ball1_over_ball3,guard_comparison,guard_source
v15dl,1024,202,0,add_chord_p0,8,no_far_shell_horizon:8,0.0,0,0.0,1.0,0.0,11.125,0.7400941115246612,"13,72,343",11.125,10.467857142857143,9.333333333333334,9.333333333333334,0.7400941115246612,0.7766846925512753,6.0,15.0,50.0,90.0,35.0,75.0,40.0,4.666666666666667,1.3333333333333333,2,6.0,90,23,0.9111111111111111,0.27905950894715764,0.2806866416978856,0.0016271327507279554,4.177278401997503,4.157802746566792,-0.01947565543071139,0.17212664498413807,0.17212664498413807,0.0,0.30556758056758054,0.1721538686759947,0.12323921800820663,0.27212648462648464,0.1538133564616318,0.11026973593177618,-0.0334410959410959,-0.018340512214362892,-0.01296948207643045,1.6533443646008974,1.6446880292889465,-0.008656335311950869,-10.25,-11.176470588235293,-0.9264705882352935,1,-12.0,-12.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,202,1,add_chord_p1,8,established_far_shell_horizon:7;no_far_shell_horizon:1,0.875,1,0.0,0.125,136.75,13.5,0.874300961593833,"1,58,537",13.5,12.545833333333333,10.0,10.0,0.874300961593833,0.7470337553301003,5.666666666666667,14.0,27.0,49.0,13.0,35.0,22.0,4.333333333333333,1.3333333333333333,2,3.5,49,18,1.2448979591836735,0.3199313654033037,0.3323493683187549,0.012418002915451198,4.024659863945578,3.7270408163265305,-0.29761904761904745,0.15767906051941363,0.15767906051941363,0.0,0.3161375661375661,0.18192418471160754,0.1318705585836608,0.2945601851851852,0.16831331536494054,0.12211714868766455,-0.02157738095238093,-0.013610869346666998,-0.009753409895996268,1.5920363014324512,1.6042162579290398,0.01217995649658854,-5.866666666666666,-7.0,-1.1333333333333337,1,-11.0,-11.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,202,2,add_chord_p2,8,mixed_far_shell_horizon:2;no_far_shell_horizon:6,0.0,0,0.25,0.75,7.625,8.5,0.31028628049967844,"6,8,9",8.5,7.9175,8.666666666666666,8.666666666666666,0.31028628049967844,0.34879690127080043,11.666666666666666,32.0,100.0,209.0,68.0,177.0,109.0,10.333333333333334,1.3333333333333333,2,6.53125,209,49,0.6076555023923444,0.2411001279422041,0.24196384755592257,0.0008637196137184777,4.678781744571218,4.661115200588885,-0.01766654398233314,0.21993569819590714,0.21993569819590714,0.0,0.3935133493957023,0.22073679496959578,0.15048177037488594,0.3685790477807284,0.19976716552830318,0.13382686289617404,-0.024934301614973897,-0.020969629441292603,-0.0166549074787119,1.7411678272264506,1.8360468044741842,0.09487897724773364,-15.333333333333334,-15.882352941176471,-0.5490196078431371,1,-16.0,-16.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,303,0,add_chord_p0,8,established_far_shell_horizon:4;no_far_shell_horizon:4,0.5,1,0.0,0.5,86.0,7.0,0.37787755484187097,"3,4,827",7.0,6.9625,6.666666666666667,6.666666666666666,0.37787755484187097,0.3807511444708074,6.666666666666667,15.0,57.0,146.0,42.0,131.0,89.0,5.333333333333333,1.3333333333333333,2,9.733333333333333,146,31,0.8972602739726028,0.2635553456148521,0.26383404188315646,0.0002786962683043459,4.311950873878129,4.308738781294284,-0.0032120925838450276,0.19241545265051638,0.19241545265051638,0.0,0.2691726791726792,0.16910994816057787,0.12505719555261194,0.2553192094101185,0.1510107072288602,0.10856941603298331,-0.013853469762560688,-0.018099240931717664,-0.016487779519628626,1.3896874093294376,1.5522746246559145,0.1625872153264769,-10.11111111111111,-10.947368421052632,-0.8362573099415211,1,-12.0,-12.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,303,1,add_chord_p1,8,no_far_shell_horizon:8,0.0,0,0.0,1.0,0.0,6.5,0.5055140615762734,"12,13,22",6.5,6.241666666666666,9.333333333333334,9.333333333333334,0.5055140615762734,0.4946039726056083,9.333333333333334,24.0,51.0,82.0,27.0,58.0,31.0,8.0,1.3333333333333333,2,3.4166666666666665,82,31,0.4634146341463415,0.2744870305845955,0.28125564588979785,0.006768615305202341,4.509786208973201,4.317073170731708,-0.192713038241493,0.15707839608427315,0.15707839608427315,0.0,0.36300705467372135,0.1932709135849127,0.1329139053404287,0.3406878306878307,0.17864883541894125,0.12377701814921756,-0.022319223985890646,-0.014622078165971442,-0.009136887191211154,1.8279603950526455,1.8453003759097018,0.017339980857056236,-12.307692307692308,-12.74074074074074,-0.4330484330484321,1,-11.0,-11.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,303,2,add_chord_p2,8,established_far_shell_horizon:4;mixed_far_shell_horizon:1;no_far_shell_horizon:3,0.5,1,0.125,0.375,88.75,4.99,0.5147038713593848,"25,177,430",4.99,4.91,6.0,6.0,0.5147038713593848,0.45429227141970036,6.0,14.0,25.0,48.0,11.0,34.0,23.0,4.666666666666667,1.3333333333333333,2,3.4285714285714284,48,20,0.7291666666666666,0.3381057919621718,0.34088356973994965,0.002777777777777879,3.6382978723404253,3.607269503546099,-0.031028368794326244,0.12308387673154002,0.12308387673154002,0.0,0.3681342907533383,0.21322151733093223,0.1542544077338168,0.34126039304610734,0.19746256730520376,0.1454939368139785,-0.026873897707230976,-0.01575895002572847,-0.008760470919838281,1.5826960346544348,1.5548439208269367,-0.02785211382749808,-7.3125,-8.058823529411764,-0.7463235294117645,1,-9.0,-9.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,404,0,add_chord_p0,8,no_far_shell_horizon:8,0.0,0,0.0,1.0,0.0,4.5,0.4764372124642079,"3,27,434",4.5,4.5,5.333333333333333,5.333333333333333,0.4764372124642079,0.4848069090846112,5.333333333333333,14.0,49.0,107.0,35.0,93.0,58.0,4.0,1.3333333333333333,2,7.642857142857143,107,36,0.8317757009345794,0.3048555306446387,0.30790865808499895,0.003053127440360237,3.7423734791042143,3.676071239640275,-0.0663022394639392,0.16177308109237684,0.16177308109237684,0.0,0.4444465991524815,0.2818554096192112,0.212167973686025,0.4120388326270679,0.2523490675377893,0.1847505093466629,-0.032407766525413606,-0.029506342081421888,-0.027417464339362096,1.3427049561886841,1.455325998606285,0.11262104241760085,-6.785714285714286,-7.4,-0.6142857142857148,1,-7.0,-7.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,404,1,add_chord_p1,8,established_far_shell_horizon:4;mixed_far_shell_horizon:1;no_far_shell_horizon:3,0.5,1,0.125,0.375,103.25,6.0,0.7112833745152161,"12,14,465",6.0,6.088333333333334,9.0,9.0,0.7112833745152161,0.6340975192084362,9.0,24.0,80.0,175.0,56.0,151.0,95.0,7.666666666666667,1.3333333333333333,2,7.291666666666667,175,36,0.7257142857142858,0.2419174290405674,0.24230276018451966,0.00038533114395225554,4.764729064039408,4.7599343185550085,-0.004794745484399954,0.20275748302192848,0.20275748302192848,0.0,0.27770727094256503,0.15821724182001137,0.11681932230402751,0.2661995194348135,0.15020376971193772,0.11081584207622897,-0.011507751507751518,-0.008013472108073655,-0.006003480227798549,1.5814729653128132,1.601427507988158,0.01995454267534469,-13.72,-14.038461538461538,-0.3184615384615377,1,-10.0,-10.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dl,1024,404,2,add_chord_p2,8,no_far_shell_horizon:8,0.0,0,0.0,1.0,0.0,7.5,0.44853591863413744,"5,159,1003",7.5,7.229166666666666,6.333333333333333,6.333333333333334,0.44853591863413744,0.4871105860340954,6.333333333333333,17.0,57.0,112.0,40.0,95.0,55.0,5.0,1.3333333333333333,2,6.588235294117647,112,36,0.5803571428571429,0.2896342771342858,0.29098830973831785,0.0013540326040320516,3.9874517374517375,3.9703989703989704,-0.017052767052767148,0.16272541010038932,0.16272541010038932,0.0,0.3228174603174603,0.16822312746323598,0.11446494641026139,0.25379629629629624,0.13269390412147766,0.09531019665933459,-0.06902116402116404,-0.035529223341758315,-0.019154749750926806,1.8867711065117236,1.7924621199761892,-0.09430898653553443,-12.882352941176471,-13.722222222222221,-0.8398692810457504,1,-13.0,-13.0,,,,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v15dm,1024,505,0,add_chord_p0,4,established_far_shell_horizon:3;no_far_shell_horizon:1,0.75,1,0.0,0.25,129.0,4.0,0.699892896370915,"5,98,599",,,,,,,4.666666666666667,11.0,43.0,82.0,32.0,71.0,39.0,3.3333333333333335,1.3333333333333333,2.0,7.454545454545454,82.0,16.0,0.7682926829268293,0.28935561577838487,0.29065040650406976,0.0012947907256848912,4.05540499849443,4.039445950015056,-0.015959048479373905,0.15178674689576555,0.15178674689576555,0.0,0.302689594356261,0.1457350601420266,0.09272703783205721,0.28259637188208614,0.13507142621472876,0.08654521281598417,-0.020093222474174888,-0.010663633927297855,-0.006181825016073048,2.1488962201369124,2.1516591955435884,0.002762975406676027,-7.916666666666667,-8.384615384615385,-0.46794871794871806,1.0,-6.0,-6.0,1,1,1,v15dn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
