landscape_class,feature,metric,feature_family,class_n_train,feature_n_train,class_min,class_median,class_max,buffered_min,buffered_max,normalization_scale
multi_active_p0_p2,delta_return_t4_p0,delta_return_t4,return_probability,4,4,-0.018099240931717664,-0.015373495792854103,-0.010663633927297855,-0.019586362332601626,-0.009176512526413893,0.00416979223061055
multi_active_p0_p2,support_boundary_to_volume_p1,support_boundary_to_volume,support_volume_topology,4,4,6.333333333333333,8.166666666666668,8.333333333333334,5.933333333333333,8.733333333333334,1.833333333333334
multi_active_p0_p2,mean_support_degree_p1,mean_support_degree,support_volume_topology,4,4,7.666666666666667,9.5,9.666666666666666,7.2666666666666675,10.066666666666666,1.8333333333333344
multi_active_p0_p2,delta_return_t2_p0,delta_return_t2,return_probability,4,4,-0.031632996632996624,-0.017425069915732866,-0.013853469762560688,-0.035188902007083814,-0.010297564388473502,0.00843803963785289
multi_active_p0_p2,post_mean_forman_incident_support_p1,post_mean_forman_incident_support,curvature_shortcut,4,4,-16.045454545454547,-12.852513227513228,-12.5,-16.754545454545458,-11.790909090909091,1.3615390600684707
multi_active_p0_p2,base_mean_forman_incident_support_p1,base_mean_forman_incident_support,curvature_shortcut,4,4,-15.19047619047619,-12.46866096866097,-11.703703703703704,-15.887830687830688,-11.006349206349206,1.4641666666666673
multi_active_p0_p2,local_ball3_boundary_to_volume_p1,local_ball3_boundary_to_volume,local_volume_topology,4,4,0.4634146341463415,0.507571247860704,0.7125748502994012,0.4135825909157296,0.7624068935300131,0.12462184873949583
multi_active_p0_p2,local_ball3_beta1_p0,local_ball3_beta1,local_volume_topology,4,4,16.0,27.5,31.0,13.0,34.0,6.5
no_active,delta_return_t4_p0,delta_return_t4,return_probability,3,3,-0.014563138364324518,-0.013519568115334751,-0.01001420128184588,-0.015472925780820245,-0.009104413865350153,0.00416979223061055
no_active,support_boundary_to_volume_p1,support_boundary_to_volume,support_volume_topology,3,3,3.0,5.666666666666667,7.333333333333333,2.1333333333333333,8.2,1.833333333333334
no_active,mean_support_degree_p1,mean_support_degree,support_volume_topology,3,3,4.333333333333333,7.0,8.666666666666666,3.4666666666666663,9.533333333333333,1.8333333333333344
no_active,delta_return_t2_p0,delta_return_t2,return_probability,3,3,-0.017324941140730632,-0.014997726850797033,-0.010703920724624671,-0.018649145223951825,-0.009379716641403479,0.00843803963785289
no_active,post_mean_forman_incident_support_p1,post_mean_forman_incident_support,curvature_shortcut,3,3,-12.1,-11.64,-7.0,-13.12,-5.98,1.3615390600684707
no_active,base_mean_forman_incident_support_p1,base_mean_forman_incident_support,curvature_shortcut,3,3,-11.263157894736842,-10.791666666666666,-6.545454545454546,-12.206698564593301,-5.601913875598086,1.4641666666666673
no_active,local_ball3_boundary_to_volume_p1,local_ball3_boundary_to_volume,local_volume_topology,3,3,0.5923076923076923,0.6408450704225352,0.8045112781954887,0.549866975130133,0.846951995373048,0.12462184873949583
no_active,local_ball3_beta1_p0,local_ball3_beta1,local_volume_topology,3,3,30.0,51.0,55.0,25.0,60.0,6.5
single_active_p1,delta_return_t4_p0,delta_return_t4,return_probability,3,3,-0.03311614975010499,-0.029506342081421888,-0.018340512214362892,-0.03607127725725341,-0.015385384707214473,0.00416979223061055
single_active_p1,support_boundary_to_volume_p1,support_boundary_to_volume,support_volume_topology,3,3,3.3333333333333335,4.333333333333333,7.666666666666667,2.466666666666667,8.533333333333333,1.833333333333334
single_active_p1,mean_support_degree_p1,mean_support_degree,support_volume_topology,3,3,4.666666666666667,5.666666666666667,9.0,3.8000000000000003,9.866666666666667,1.8333333333333344
single_active_p1,delta_return_t2_p0,delta_return_t2,return_probability,3,3,-0.03395135832110624,-0.0334410959410959,-0.032407766525413606,-0.034260076680244764,-0.03209904816627508,0.00843803963785289
single_active_p1,post_mean_forman_incident_support_p1,post_mean_forman_incident_support,curvature_shortcut,3,3,-14.038461538461538,-7.0,-6.6923076923076925,-15.507692307692308,-5.223076923076923,1.3615390600684707
single_active_p1,base_mean_forman_incident_support_p1,base_mean_forman_incident_support,curvature_shortcut,3,3,-13.72,-5.916666666666667,-5.866666666666666,-15.290666666666667,-4.295999999999999,1.4641666666666673
single_active_p1,local_ball3_boundary_to_volume_p1,local_ball3_boundary_to_volume,local_volume_topology,3,3,0.7257142857142858,1.051948051948052,1.2448979591836735,0.6218775510204082,1.348734693877551,0.12462184873949583
single_active_p1,local_ball3_beta1_p0,local_ball3_beta1,local_volume_topology,3,3,23.0,36.0,40.0,19.6,43.4,6.5
single_active_p2,delta_return_t4_p0,delta_return_t4,return_probability,4,4,-0.14281550068587112,-0.026436464396206186,-0.01544072900203855,-0.16829045502263765,0.010034225334727965,0.00416979223061055
single_active_p2,support_boundary_to_volume_p1,support_boundary_to_volume,support_volume_topology,4,4,8.666666666666666,10.5,11.0,8.2,11.466666666666667,1.833333333333334
single_active_p2,mean_support_degree_p1,mean_support_degree,support_volume_topology,4,4,10.0,11.833333333333332,12.333333333333334,9.533333333333333,12.8,1.8333333333333344
single_active_p2,delta_return_t2_p0,delta_return_t2,return_probability,4,4,-0.14197530864197533,-0.026133902376592494,-0.02236772486772487,-0.16589682539682543,0.0015537918871252228,0.00843803963785289
single_active_p2,post_mean_forman_incident_support_p1,post_mean_forman_incident_support,curvature_shortcut,4,4,-21.914285714285715,-17.11111111111111,-14.205882352941176,-23.45596638655462,-12.664201680672267,1.3615390600684707
single_active_p2,base_mean_forman_incident_support_p1,base_mean_forman_incident_support,curvature_shortcut,4,4,-22.08823529411765,-16.303030303030305,-13.314285714285715,-23.843025210084036,-11.559495798319329,1.4641666666666673
single_active_p2,local_ball3_boundary_to_volume_p1,local_ball3_boundary_to_volume,local_volume_topology,4,4,0.4764705882352941,0.5709667487684729,0.8,0.4117647058823529,0.8647058823529412,0.12462184873949583
single_active_p2,local_ball3_beta1_p0,local_ball3_beta1,local_volume_topology,4,4,2.0,23.5,29.0,-3.4000000000000004,34.4,6.5
