feature,metric,feature_family,macro_oriented_auc,separation_score,class_median_range,mean_within_class_mad,ood_outside_train_range_fraction,n_train_values,n_ood_values,class_medians
delta_return_t4_p0,delta_return_t4,return_probability,0.8130681818181817,4.495467967750095,0.015986773966087137,0.003556196948861872,0.0,14,2,multi_active_p0_p2:-0.015;no_active:-0.014;single_active_p1:-0.030;single_active_p2:-0.026
support_boundary_to_volume_p1,support_boundary_to_volume,support_volume_topology,0.8041666666666667,7.7894736743711945,6.166666666666667,0.7916666666666664,0.5,14,2,multi_active_p0_p2:8.167;no_active:5.667;single_active_p1:4.333;single_active_p2:10.500
mean_support_degree_p1,mean_support_degree,support_volume_topology,0.8041666666666667,7.789473674371189,6.166666666666665,0.7916666666666667,0.5,14,2,multi_active_p0_p2:9.500;no_active:7.000;single_active_p1:5.667;single_active_p2:11.833
delta_return_t2_p0,delta_return_t2,return_probability,0.803219696969697,8.05791162058281,0.018443369090298867,0.002288851243450754,0.0,14,2,multi_active_p0_p2:-0.017;no_active:-0.015;single_active_p1:-0.033;single_active_p2:-0.026
post_mean_forman_incident_support_p1,post_mean_forman_incident_support,curvature_shortcut,0.790340909090909,10.378636042881773,10.11111111111111,0.9742234970911441,0.0,14,2,multi_active_p0_p2:-12.853;no_active:-11.640;single_active_p1:-7.000;single_active_p2:-17.111
support_ball_1_p1,support_ball_1,support_volume_topology,0.7765151515151515,10.285714279836734,18.0,1.75,0.5,14,2,multi_active_p0_p2:24.000;no_active:19.000;single_active_p1:14.000;single_active_p2:32.000
base_mean_forman_incident_support_p1,base_mean_forman_incident_support,curvature_shortcut,0.762689393939394,10.854997380055185,10.386363636363637,0.9568278334725713,0.0,14,2,multi_active_p0_p2:-12.469;no_active:-10.792;single_active_p1:-5.917;single_active_p2:-16.303
local_ball3_boundary_to_volume_p1,local_ball3_boundary_to_volume,local_volume_topology,0.762689393939394,6.515675506193238,0.544376804087348,0.08354878892514443,0.0,14,2,multi_active_p0_p2:0.508;no_active:0.641;single_active_p1:1.052;single_active_p2:0.571
new_edge_mean_forman_p2_minus_p0,new_edge_mean_forman,curvature_shortcut,0.7621212121212122,8.666666660888888,13.0,1.5,0.0,14,2,multi_active_p0_p2:1.500;no_active:9.000;single_active_p1:-4.000;single_active_p2:1.000
new_edge_min_forman_p2_minus_p0,new_edge_min_forman,curvature_shortcut,0.7621212121212122,8.666666660888888,13.0,1.5,0.0,14,2,multi_active_p0_p2:1.500;no_active:9.000;single_active_p1:-4.000;single_active_p2:1.000
