context_id,source,growth_seed,placement,radius,match_mode,node_count,edge_count,marked_graph_hash,candidate,established_rate,active_placement
g202_p0,v15dq,202,0,1,structural,26,35,7a5b6cbc8126673bd41b49791397d191,343-72-13,0.0,0
g202_p0,v15dq,202,0,1,boundary_aware,26,35,583781140ea223028226a1e24d42a8d4,343-72-13,0.0,0
g202_p0,v15dq,202,0,2,structural,88,113,1246e75aef99d04618cc15d6059e9b5e,343-72-13,0.0,0
g202_p0,v15dq,202,0,2,boundary_aware,88,113,8b109088f33973efb61eaeb29b73ec8a,343-72-13,0.0,0
g202_p0,v15dq,202,0,3,structural,168,206,cdd856f798c415bc54672ebf047581cd,343-72-13,0.0,0
g202_p0,v15dq,202,0,3,boundary_aware,168,206,0db0bc1acd4e32f9ee7cf6be26598d9f,343-72-13,0.0,0
g202_p1,v15dq,202,1,1,structural,27,32,62c8ed51b86967af060a35576271e06f,537-58-1,0.875,1
g202_p1,v15dq,202,1,1,boundary_aware,27,32,5a07bdfd3a36545261133e80888f1e10,537-58-1,0.875,1
g202_p1,v15dq,202,1,2,structural,62,71,a0ae8c48a786b5def82dd441e2d06e97,537-58-1,0.875,1
g202_p1,v15dq,202,1,2,boundary_aware,62,71,90e9361a81280cc271a02b837fa14660,537-58-1,0.875,1
g202_p1,v15dq,202,1,3,structural,100,117,772e7d0de7bc6f78a3313daab845e836,537-58-1,0.875,1
g202_p1,v15dq,202,1,3,boundary_aware,100,117,f55461c13d6439e02a5292a041d7f73d,537-58-1,0.875,1
g202_p2,v15dq,202,2,1,structural,24,30,85d0503b2f6fec2b3814136e52f54475,9-8-6,0.0,0
g202_p2,v15dq,202,2,1,boundary_aware,24,30,d8a757e014e14fd1d1d9ee96498e1956,9-8-6,0.0,0
g202_p2,v15dq,202,2,2,structural,73,87,1f5d379d4f1b9a099b8535f0251e5166,9-8-6,0.0,0
g202_p2,v15dq,202,2,2,boundary_aware,73,87,b17ce3a788d59e709bab1bfaa0bf94c7,9-8-6,0.0,0
g202_p2,v15dq,202,2,3,structural,162,189,43fab6d1012b3a1081d471daaa286fef,9-8-6,0.0,0
g202_p2,v15dq,202,2,3,boundary_aware,162,189,05551c16a22143d0b3833f191bdde288,9-8-6,0.0,0
g303_p0,v15dq,303,0,1,structural,24,44,9f792eb6425d9bc3c6ad10ef53ffb5c7,491-13-12,0.5,1
g303_p0,v15dq,303,0,1,boundary_aware,24,44,f858dfab398d873f3b681c20812607f4,491-13-12,0.5,1
g303_p0,v15dq,303,0,2,structural,42,63,65205435422f3f71ef955c20e04cfc1a,491-13-12,0.5,1
g303_p0,v15dq,303,0,2,boundary_aware,42,63,097580a5a50b4079a3651cfbbb27a02b,491-13-12,0.5,1
g303_p0,v15dq,303,0,3,structural,63,86,0072e8a40b96f402a249b759014b5c32,491-13-12,0.5,1
g303_p0,v15dq,303,0,3,boundary_aware,63,86,5b75c72517a8cf54889e4cdf564331ef,491-13-12,0.5,1
g303_p1,v15dq,303,1,1,structural,24,33,50249591197422a99d815d49e2a1a52b,70-37-15,0.0,0
g303_p1,v15dq,303,1,1,boundary_aware,24,33,8ac4541440386351012184e59bfc5e9d,70-37-15,0.0,0
g303_p1,v15dq,303,1,2,structural,53,71,a0bc0c17fa20faf99dec6a73db007c7c,70-37-15,0.0,0
g303_p1,v15dq,303,1,2,boundary_aware,53,71,f7e38fc1780f7c68ec9edb084b51f0c7,70-37-15,0.0,0
g303_p1,v15dq,303,1,3,structural,110,144,ee782823e4a4ab0094a59910982f7a8a,70-37-15,0.0,0
g303_p1,v15dq,303,1,3,boundary_aware,110,144,935cbda930200e5f4ed448c9441c9d81,70-37-15,0.0,0
g303_p2,v15dq,303,2,1,structural,23,41,fc9b814f1997f7a5b4b0865b57a83c22,544-13-12,0.5,1
g303_p2,v15dq,303,2,1,boundary_aware,23,41,16cabf72e0b03f194840641ae2621bf4,544-13-12,0.5,1
g303_p2,v15dq,303,2,2,structural,42,63,fa64dd05c44ee7cff539181cb2c76564,544-13-12,0.5,1
g303_p2,v15dq,303,2,2,boundary_aware,42,63,2881626a192493ff728b137794263c17,544-13-12,0.5,1
g303_p2,v15dq,303,2,3,structural,63,86,9d2738879e54cc69a6324723d48193d4,544-13-12,0.5,1
g303_p2,v15dq,303,2,3,boundary_aware,63,86,f08519d4b0cc29fe6462ffdc8ee00317,544-13-12,0.5,1
g404_p0,v15dq,404,0,1,structural,25,31,a61310f6a087c178290e385be703e5d5,55-12-11,0.0,0
g404_p0,v15dq,404,0,1,boundary_aware,25,31,1ae9a36b68d9e5441c037f52de401902,55-12-11,0.0,0
g404_p0,v15dq,404,0,2,structural,80,101,241fe7714cafe1fc269c247000561d1b,55-12-11,0.0,0
g404_p0,v15dq,404,0,2,boundary_aware,80,101,68452803f9c4d5d4399520e446f05c44,55-12-11,0.0,0
g404_p0,v15dq,404,0,3,structural,163,193,251fb909bd3269aeea02a2f8c270ab0d,55-12-11,0.0,0
g404_p0,v15dq,404,0,3,boundary_aware,163,193,69982084cef0e692474365e8cfc3a63b,55-12-11,0.0,0
g404_p1,v15dq,404,1,1,structural,25,33,efeb6ebe72eb304a7564c2caeea7b561,5-4-3,0.5,1
g404_p1,v15dq,404,1,1,boundary_aware,25,33,b4176ae29cc61519b35a65923b55e656,5-4-3,0.5,1
g404_p1,v15dq,404,1,2,structural,74,99,746af011b8303351db47a74badebd217,5-4-3,0.5,1
g404_p1,v15dq,404,1,2,boundary_aware,74,99,452bbc8ed69487ee79216c732e5bdd4b,5-4-3,0.5,1
g404_p1,v15dq,404,1,3,structural,143,183,9d07bb45959c6687cc37278ed77b2b74,5-4-3,0.5,1
g404_p1,v15dq,404,1,3,boundary_aware,143,183,2a779a8250b8650f0751d686cbcff37e,5-4-3,0.5,1
g404_p2,v15dq,404,2,1,structural,26,29,52dc7cc913959678380e633e3abfde26,106-1-0,0.0,0
g404_p2,v15dq,404,2,1,boundary_aware,26,29,eb170a2d15c928295296816289999e99,106-1-0,0.0,0
g404_p2,v15dq,404,2,2,structural,81,94,eba2a0efa4ddd7cf572606bca4ff3915,106-1-0,0.0,0
g404_p2,v15dq,404,2,2,boundary_aware,81,94,c2facc3eb5b0ac8118668b1eeac634dc,106-1-0,0.0,0
g404_p2,v15dq,404,2,3,structural,167,203,e2c1f0e52e7666dcf9a8ae8712044974,106-1-0,0.0,0
g404_p2,v15dq,404,2,3,boundary_aware,167,203,d6939ff33a83cff4b5e487256da7491e,106-1-0,0.0,0
g505_p0,v15dq,505,0,1,structural,11,15,c40e30e403c277ab3acdac0760c3c03c,599-98-5,0.75,1
g505_p0,v15dq,505,0,1,boundary_aware,11,15,e01b76b0b7c0fed0c8165707da5199de,599-98-5,0.75,1
g505_p0,v15dq,505,0,2,structural,43,53,04818723341018d8b296ee1dcd6ec9c9,599-98-5,0.75,1
g505_p0,v15dq,505,0,2,boundary_aware,43,53,156e22d8ec13012668f6d454289222d5,599-98-5,0.75,1
g505_p0,v15dq,505,0,3,structural,82,97,bf9d41be7072e8f14d2ad39cb4fa0e4e,599-98-5,0.75,1
g505_p0,v15dq,505,0,3,boundary_aware,82,97,be2135f7a97130c49506be6480ac5dd7,599-98-5,0.75,1
g505_p1,v15dq,505,1,1,structural,28,27,a42d5ff1f438ab337ea36634f70577ee,9-8-7,0.25,0
g505_p1,v15dq,505,1,1,boundary_aware,28,27,84a7f02f68bbb8d68cdeb6751f3cd9fe,9-8-7,0.25,0
g505_p1,v15dq,505,1,2,structural,91,97,de607dfcf24de8455ffe3eec6c1a4f55,9-8-7,0.25,0
g505_p1,v15dq,505,1,2,boundary_aware,91,97,978cae12c8af61ab1f759a306c20e532,9-8-7,0.25,0
g505_p1,v15dq,505,1,3,structural,178,205,33bd25b79f73d8ba90fe7e2277e6a2ce,9-8-7,0.25,0
g505_p1,v15dq,505,1,3,boundary_aware,178,205,48e1203bff6910269eba1911ea06cf21,9-8-7,0.25,0
g505_p2,v15dq,505,2,1,structural,24,26,7203434bb29210ab1165b61a148aefc7,263-13-14,0.75,1
g505_p2,v15dq,505,2,1,boundary_aware,24,26,539075c180204aa98462a125d88dfa4e,263-13-14,0.75,1
g505_p2,v15dq,505,2,2,structural,65,71,69929215c14148c9ee30fadb79a995a2,263-13-14,0.75,1
g505_p2,v15dq,505,2,2,boundary_aware,65,71,ec901373105c3573b43251d6f538f69d,263-13-14,0.75,1
g505_p2,v15dq,505,2,3,structural,106,117,9f0ebe68460fa2ee975e6057215b5dfb,263-13-14,0.75,1
g505_p2,v15dq,505,2,3,boundary_aware,106,117,a02c53427de5362625a7a0776bcdb072,263-13-14,0.75,1
g606_p0,v15dq,606,0,1,structural,27,39,d97c03756c6926da034854b92c3e74d8,927-409-30,0.0,0
g606_p0,v15dq,606,0,1,boundary_aware,27,39,ad04e8c28c9e141620bf78484256af34,927-409-30,0.0,0
g606_p0,v15dq,606,0,2,structural,65,92,d1b96c245719ae67f683ffdb88f6a58d,927-409-30,0.0,0
g606_p0,v15dq,606,0,2,boundary_aware,65,92,efd80b4d09d0a894f23dfcf6b65c83ab,927-409-30,0.0,0
g606_p0,v15dq,606,0,3,structural,128,171,8cc7d3844840afc1839b509f7763e1a9,927-409-30,0.0,0
g606_p0,v15dq,606,0,3,boundary_aware,128,171,dc8afced3b508ec79413b69b68acc59f,927-409-30,0.0,0
g606_p1,v15dq,606,1,1,structural,7,12,10266df23466aedb604d34df3c843e81,555-533-344,0.0,0
g606_p1,v15dq,606,1,1,boundary_aware,7,12,4350a50018a070ac6eb1fd0ab1e39789,555-533-344,0.0,0
g606_p1,v15dq,606,1,2,structural,9,14,a888d3c160c9024fd0e83c1e1c2befc2,555-533-344,0.0,0
g606_p1,v15dq,606,1,2,boundary_aware,9,14,faef3aea6202ea5c6c3950e08a20cce6,555-533-344,0.0,0
g606_p1,v15dq,606,1,3,structural,16,21,0ded513b9a1d9f70a0baee69f63c0a50,555-533-344,0.0,0
g606_p1,v15dq,606,1,3,boundary_aware,16,21,18b92d0ba62065b0937eac2843216968,555-533-344,0.0,0
g606_p2,v15dq,606,2,1,structural,19,23,8dc811284d4dce9e095f6a7c15fc79aa,953-68-5,0.0,0
g606_p2,v15dq,606,2,1,boundary_aware,19,23,90f2b4c600f6c84f6c49faceb26e0aa5,953-68-5,0.0,0
g606_p2,v15dq,606,2,2,structural,59,80,a9f1943dcd26ae317f1b2b05f9985952,953-68-5,0.0,0
g606_p2,v15dq,606,2,2,boundary_aware,59,80,6c5bf1ada62bc3037e8ca4fe29e630f1,953-68-5,0.0,0
g606_p2,v15dq,606,2,3,structural,134,163,16c70218a626e323cecaa07fd3f86e05,953-68-5,0.0,0
g606_p2,v15dq,606,2,3,boundary_aware,134,163,ce60384ba81758f086d6d56d6f73b316,953-68-5,0.0,0
g707_p0,v15dq,707,0,1,structural,15,17,ae259eada34e1cf39d0081e049ba02a1,194-193-28,0.75,1
g707_p0,v15dq,707,0,1,boundary_aware,15,17,eca2274c8395879a20acf473ae1882cc,194-193-28,0.75,1
g707_p0,v15dq,707,0,2,structural,57,69,dfe5efab92e69fef71b065789d5baa7e,194-193-28,0.75,1
g707_p0,v15dq,707,0,2,boundary_aware,57,69,2d39a5c377fe95133fbb2a32d2d95e1d,194-193-28,0.75,1
g707_p0,v15dq,707,0,3,structural,130,167,cb48693033631a3c765ad02699defec7,194-193-28,0.75,1
g707_p0,v15dq,707,0,3,boundary_aware,130,167,49ce5b4555629352c00ea2308ad06a4e,194-193-28,0.75,1
g707_p1,v15dq,707,1,1,structural,32,49,d0d8678193fe453cee28862bb824c1c2,284-15-13,0.0,0
g707_p1,v15dq,707,1,1,boundary_aware,32,49,ab3b0331474e75316f03d5a4b802f4bb,284-15-13,0.0,0
g707_p1,v15dq,707,1,2,structural,79,109,b8fd78a30cd56d3673d27aa87985dc5b,284-15-13,0.0,0
g707_p1,v15dq,707,1,2,boundary_aware,79,109,b8159b08a5a5fac8589b8e8d261e3002,284-15-13,0.0,0
g707_p1,v15dq,707,1,3,structural,120,152,b950a29c3c12e5617f28dfe47efa835e,284-15-13,0.0,0
g707_p1,v15dq,707,1,3,boundary_aware,120,152,bc4602ec81dc46e322cf8203920df48b,284-15-13,0.0,0
g707_p2,v15dq,707,2,1,structural,13,14,10e756f3ddac481a301cfb0531dd80a5,594-18-17,0.0,0
g707_p2,v15dq,707,2,1,boundary_aware,13,14,4fa35da5d97da71e0b9a3f052b1db9eb,594-18-17,0.0,0
g707_p2,v15dq,707,2,2,structural,34,39,cbb1a26eb19304937c000f80acf50cbb,594-18-17,0.0,0
g707_p2,v15dq,707,2,2,boundary_aware,34,39,402bc9f59a40acad31b2981a8d0fd999,594-18-17,0.0,0
g707_p2,v15dq,707,2,3,structural,76,92,205f255b63211babb91bac8343e2ff83,594-18-17,0.0,0
g707_p2,v15dq,707,2,3,boundary_aware,76,92,ebf56b623e0a56e156102e684718dbb3,594-18-17,0.0,0
g808_p0,v15dr,808,0,1,structural,25,28,4df8d6d368666f39e05fff783a76715f,264-24-15,0.25,0
g808_p0,v15dr,808,0,1,boundary_aware,25,28,e983dbd0d89f5a7ae71d60394bd4bb86,264-24-15,0.25,0
g808_p0,v15dr,808,0,2,structural,73,86,2d22ce105e189174a329700feddfaec6,264-24-15,0.25,0
g808_p0,v15dr,808,0,2,boundary_aware,73,86,bb755d951d9c7158ab940120773afa6a,264-24-15,0.25,0
g808_p0,v15dr,808,0,3,structural,160,188,3924058262a32be61d269b9bb03d9cf5,264-24-15,0.25,0
g808_p0,v15dr,808,0,3,boundary_aware,160,188,9b266ca987243a1593bf5c053dd7635c,264-24-15,0.25,0
g808_p1,v15dr,808,1,1,structural,27,35,b9369d8eddce428d8fc3d86180c42284,575-475-11,0.0,0
g808_p1,v15dr,808,1,1,boundary_aware,27,35,ade2f1f0f10f2bba2fb13d08209f17de,575-475-11,0.0,0
g808_p1,v15dr,808,1,2,structural,65,77,cd48ceb17babb807a6916f3c9b3dca6b,575-475-11,0.0,0
g808_p1,v15dr,808,1,2,boundary_aware,65,77,be7e2c96dd9b945fe5ee05bd109d2540,575-475-11,0.0,0
g808_p1,v15dr,808,1,3,structural,112,126,789a9a4dfb1c56e4d760834faa331fd8,575-475-11,0.0,0
g808_p1,v15dr,808,1,3,boundary_aware,112,126,0233492cf0467b3ca9313723cb532751,575-475-11,0.0,0
g808_p2,v15dr,808,2,1,structural,18,22,4bad23dee0660398b8afdf89a7d99c53,318-546-23,0.5,1
g808_p2,v15dr,808,2,1,boundary_aware,18,22,aff5360ceae1c9b096eda4801604427f,318-546-23,0.5,1
g808_p2,v15dr,808,2,2,structural,56,74,102ea2b1b8c971b1fd13ba6a8d060da4,318-546-23,0.5,1
g808_p2,v15dr,808,2,2,boundary_aware,56,74,9f946e923399417c62a6f791c78ff971,318-546-23,0.5,1
g808_p2,v15dr,808,2,3,structural,132,162,6c8df1854ffe9808656eb92db9f46262,318-546-23,0.5,1
g808_p2,v15dr,808,2,3,boundary_aware,132,162,f1f92c2bb8f5b0e5d7878d4124f18173,318-546-23,0.5,1
g909_p0,v15dr,909,0,1,structural,36,54,3849219a7ab42fe402df84eb86c31bc6,139-14-13,0.0,0
g909_p0,v15dr,909,0,1,boundary_aware,36,54,3c7c1ac2f687601a07e398ac01353b46,139-14-13,0.0,0
g909_p0,v15dr,909,0,2,structural,89,111,d41887e545e65f5ab121221e37e3ff63,139-14-13,0.0,0
g909_p0,v15dr,909,0,2,boundary_aware,89,111,45ff1f387ba9b6d62149ccccf311d9b4,139-14-13,0.0,0
g909_p0,v15dr,909,0,3,structural,152,181,69a59bff16f0d2a71311ef33cb20fd94,139-14-13,0.0,0
g909_p0,v15dr,909,0,3,boundary_aware,152,181,a28b8e8b1a4beadd69123defa2e76b67,139-14-13,0.0,0
g909_p1,v15dr,909,1,1,structural,19,22,8da1bccb16ac291beec8ffaf565b2246,129-2-0,0.0,0
g909_p1,v15dr,909,1,1,boundary_aware,19,22,163629ce7a07e63bcb8afcd59bf8b726,129-2-0,0.0,0
g909_p1,v15dr,909,1,2,structural,67,81,7d426c907178f3744ed5a00ec245789f,129-2-0,0.0,0
g909_p1,v15dr,909,1,2,boundary_aware,67,81,92f72bbba07e6bee547574de0bb609f6,129-2-0,0.0,0
g909_p1,v15dr,909,1,3,structural,130,156,273094d3fc548cdf4b2801df82532759,129-2-0,0.0,0
g909_p1,v15dr,909,1,3,boundary_aware,130,156,53750e34883faac218462d0ebc4f21b7,129-2-0,0.0,0
g909_p2,v15dr,909,2,1,structural,30,40,ebf3de57427fba8bf5164f7011b82d53,209-13-12,0.0,0
g909_p2,v15dr,909,2,1,boundary_aware,30,40,c83307d50f008d17e16e209ce651cb3f,209-13-12,0.0,0
g909_p2,v15dr,909,2,2,structural,100,124,c3169f219e92c8b08356e345ab82e879,209-13-12,0.0,0
g909_p2,v15dr,909,2,2,boundary_aware,100,124,ea71c3665c1e546288218c54569a2179,209-13-12,0.0,0
g909_p2,v15dr,909,2,3,structural,180,213,7fb79628fa3eec11dcc5143de2c549d9,209-13-12,0.0,0
g909_p2,v15dr,909,2,3,boundary_aware,180,213,f308fbbbaf4c514bd6ed024f99b41319,209-13-12,0.0,0
g1001_p0,v15dr,1001,0,1,structural,19,23,72673da63dc2e5b7ddadd484b133514b,42-36-16,0.0,0
g1001_p0,v15dr,1001,0,1,boundary_aware,19,23,f1fcf2a65d1d943da7e18d1fc010a69e,42-36-16,0.0,0
g1001_p0,v15dr,1001,0,2,structural,53,63,1be03405fc5c547f2f1629fef29bad30,42-36-16,0.0,0
g1001_p0,v15dr,1001,0,2,boundary_aware,53,63,c0ff18f3bf8e7096fa8f2fe2f8b75408,42-36-16,0.0,0
g1001_p0,v15dr,1001,0,3,structural,109,127,d1e85e5056685b5a8c77f5851f72ee28,42-36-16,0.0,0
g1001_p0,v15dr,1001,0,3,boundary_aware,109,127,ca290c3218465d9f28dc6737a00939dd,42-36-16,0.0,0
g1001_p1,v15dr,1001,1,1,structural,32,42,6de19eae01d5d87a6949e4a6233f23dd,11-10-9,0.0,0
g1001_p1,v15dr,1001,1,1,boundary_aware,32,42,679aa1ed706c645c606c0338429ba232,11-10-9,0.0,0
g1001_p1,v15dr,1001,1,2,structural,107,133,9c9bf7eba6075c2d3d7cf234fa322aa8,11-10-9,0.0,0
g1001_p1,v15dr,1001,1,2,boundary_aware,107,133,25388ab7a4d98dda4795fc7b526c146c,11-10-9,0.0,0
g1001_p1,v15dr,1001,1,3,structural,203,248,94b6735fc9f35cae9cac634c12950d62,11-10-9,0.0,0
g1001_p1,v15dr,1001,1,3,boundary_aware,203,248,0bc5a8dfd0e4875e1072abc0b87df769,11-10-9,0.0,0
g1001_p2,v15dr,1001,2,1,structural,7,7,96c498ed068fde52fbac40ace1b1c9b9,836-438-436,0.75,1
g1001_p2,v15dr,1001,2,1,boundary_aware,7,7,95d431854249e9c8ece5423101b4d8df,836-438-436,0.75,1
g1001_p2,v15dr,1001,2,2,structural,12,13,a8a02989ab8c7ddb224da1fb98f5cc3a,836-438-436,0.75,1
g1001_p2,v15dr,1001,2,2,boundary_aware,12,13,ae9ecd7655e9d0769f2c462ab3fe0eb9,836-438-436,0.75,1
g1001_p2,v15dr,1001,2,3,structural,14,15,448f20b55b26db17671367ad9c9f4453,836-438-436,0.75,1
g1001_p2,v15dr,1001,2,3,boundary_aware,14,15,0ff34ac716329c7b676c038e1340c8e3,836-438-436,0.75,1
g1103_p0,v15dr,1103,0,1,structural,25,27,e93a1730b979fed9e5777a876c112fef,27-20-0,0.5,1
g1103_p0,v15dr,1103,0,1,boundary_aware,25,27,022d6aacb77686d3b8c4e9ca5292e0d7,27-20-0,0.5,1
g1103_p0,v15dr,1103,0,2,structural,73,85,94182d2a3772570844ba0c7dd6f21973,27-20-0,0.5,1
g1103_p0,v15dr,1103,0,2,boundary_aware,73,85,3d2c600bce9691316ec3ecb3f872bcf9,27-20-0,0.5,1
g1103_p0,v15dr,1103,0,3,structural,121,136,05d0877fd210df3268f3cc44687123b6,27-20-0,0.5,1
g1103_p0,v15dr,1103,0,3,boundary_aware,121,136,e5646fb0a25b286c2c00d6b665be4cff,27-20-0,0.5,1
g1103_p1,v15dr,1103,1,1,structural,18,24,b2cd0003353ce11344022bdbd56af981,541-167-93,0.75,1
g1103_p1,v15dr,1103,1,1,boundary_aware,18,24,2e1b3b68596be0831fff478dde75dbf2,541-167-93,0.75,1
g1103_p1,v15dr,1103,1,2,structural,49,65,3437f79faa92afcb80c361812bd31ae1,541-167-93,0.75,1
g1103_p1,v15dr,1103,1,2,boundary_aware,49,65,1b88b768949370f3f408e20f3e07834c,541-167-93,0.75,1
g1103_p1,v15dr,1103,1,3,structural,85,111,aa8a1154e42d49a363828f9a0b808aca,541-167-93,0.75,1
g1103_p1,v15dr,1103,1,3,boundary_aware,85,111,782f5a97e9095a06118a7bef42c8c088,541-167-93,0.75,1
g1103_p2,v15dr,1103,2,1,structural,12,12,2ecd657dbfa1234375322177006e69d6,930-260-59,0.0,0
g1103_p2,v15dr,1103,2,1,boundary_aware,12,12,35d96879b6e2775d86cfe78f8f64503c,930-260-59,0.0,0
g1103_p2,v15dr,1103,2,2,structural,37,40,1d6382cd8193c2dc720644cec61e3c7a,930-260-59,0.0,0
g1103_p2,v15dr,1103,2,2,boundary_aware,37,40,9dff7c0ee9b4a8e9915d5eb459e24d84,930-260-59,0.0,0
g1103_p2,v15dr,1103,2,3,structural,107,128,87bc99b82094870eacc7598f1066ef58,930-260-59,0.0,0
g1103_p2,v15dr,1103,2,3,boundary_aware,107,128,05f47e3c677924895636503079935761,930-260-59,0.0,0
g1201_p0,v15ds,1201,0,1,structural,5,4,5fb75367131480103e1f1c7098098231,970-674-152,0.25,0
g1201_p0,v15ds,1201,0,1,boundary_aware,5,4,6c950a0bb8f88556a69eaeb3a17549ae,970-674-152,0.25,0
g1201_p0,v15ds,1201,0,2,structural,13,13,915963dad9131ea51a81f2b79c2dc4ad,970-674-152,0.25,0
g1201_p0,v15ds,1201,0,2,boundary_aware,13,13,9005661a8e8982963400815f9f70657b,970-674-152,0.25,0
g1201_p0,v15ds,1201,0,3,structural,31,32,8423916a6f694a4dc33e0e1fbab21a63,970-674-152,0.25,0
g1201_p0,v15ds,1201,0,3,boundary_aware,31,32,328f1de3c59c7f8321871b3680eb68bd,970-674-152,0.25,0
g1201_p1,v15ds,1201,1,1,structural,32,40,887b383a7f19d121a27295b8d2937cde,107-7-6,0.25,0
g1201_p1,v15ds,1201,1,1,boundary_aware,32,40,d3b453616ea5c086d4c565ee6d85ab42,107-7-6,0.25,0
g1201_p1,v15ds,1201,1,2,structural,97,117,f3f49b7061dd3d5485235d5f7d99dd03,107-7-6,0.25,0
g1201_p1,v15ds,1201,1,2,boundary_aware,97,117,24dfaf4a873742af08fea199f9172aa9,107-7-6,0.25,0
g1201_p1,v15ds,1201,1,3,structural,170,198,ec1b984f3c83ab0e5c6728adc67029bf,107-7-6,0.25,0
g1201_p1,v15ds,1201,1,3,boundary_aware,170,198,48d7da29e2e379554a90080d9da512d9,107-7-6,0.25,0
g1201_p2,v15ds,1201,2,1,structural,18,23,679fd2cff03add5e36f7e7f5e285c2d6,289-160-34,1.0,1
g1201_p2,v15ds,1201,2,1,boundary_aware,18,23,2667db700835b4e202a5aae4741784d3,289-160-34,1.0,1
g1201_p2,v15ds,1201,2,2,structural,56,71,5552d75508849ff9eda904311ae660ae,289-160-34,1.0,1
g1201_p2,v15ds,1201,2,2,boundary_aware,56,71,57beae3f60cf0658db68030372438330,289-160-34,1.0,1
