target_nodes,growth_seed,placement,relabel_seed,original_candidate,transported_candidate,relabelled_constructor_candidate,family_rate_max_error,seed_kernel_max_error,token_kernel_max_error,birth_kernel_max_error,death_kernel_max_error,kernel_max_error,transition_kernel_equivariant,constructor_equivariant,support_equivariant,post_graph_equivariant
1024,202,0,19001,343-72-13,592-347-167,592-347-167,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1
1024,202,0,19037,343-72-13,439-975-507,439-975-416,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,202,0,19081,343-72-13,554-301-114,554-301-103,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,202,0,19121,343-72-13,45-108-741,45-108-282,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,202,1,19001,537-58-1,875-795-863,875-321-863,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
1024,202,1,19037,537-58-1,786-753-803,786-581-803,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
1024,202,1,19081,537-58-1,653-354-367,653-354-367,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1
1024,202,1,19121,537-58-1,982-765-505,982-145-505,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
1024,202,2,19001,9-8-6,932-196-261,932-66-883,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,202,2,19037,9-8-6,882-685-372,882-2-15,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,202,2,19081,9-8-6,180-572-397,180-437-828,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,202,2,19121,9-8-6,903-376-60,903-215-492,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,0,19001,491-13-12,490-644-65,490-470-65,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
1024,303,0,19037,491-13-12,824-948-778,824-294-497,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,0,19081,491-13-12,305-526-397,305-188-134,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,0,19121,491-13-12,367-608-393,367-353-86,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,1,19001,70-37-15,783-884-968,783-35-240,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,1,19037,70-37-15,942-125-754,942-125-734,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,1,19081,70-37-15,679-264-1027,679-103-596,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,1,19121,70-37-15,906-661-4,906-291-3,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1024,303,2,19001,544-13-12,808-280-789,808-280-79,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
