target_nodes,growth_seed,placement,selected_token_id,selected_token_node,candidate_scope,candidate_count,candidate_entropy_bits,legacy_candidate,legacy_candidate_in_distribution,sampled_unique_candidate_count,sampled_candidate_fraction,min_endpoint_degree_sum,median_endpoint_degree_sum,max_endpoint_degree_sum,min_bridge_degree,median_bridge_degree,max_bridge_degree
1024,202,0,0,343,selected_token_root,3,1.584962500721156,343-72-13,1,3,1.0,3,6.0,24,4,4.0,4
1024,202,1,1,537,selected_token_root,3,1.584962500721156,537-58-1,1,3,1.0,6,27.0,27,2,3.0,3
1024,202,2,4,9,selected_token_root,27,4.754887502163468,9-8-6,1,8,0.2962962962962963,10,11.0,23,2,9.0,11
1024,303,0,9,491,selected_token_root,24,4.584962500721156,491-13-12,1,8,0.3333333333333333,7,8.5,16,5,15.0,17
1024,303,1,11,70,selected_token_root,14,3.807354922057604,70-37-15,1,8,0.5714285714285714,14,15.5,27,3,7.0,8
1024,303,2,16,544,selected_token_root,16,4.0,544-13-12,1,7,0.4375,3,5.5,15,3,17.0,17
1024,404,0,1,55,selected_token_root,24,4.584962500721156,55-12-11,1,8,0.3333333333333333,8,9.0,23,3,9.0,12
1024,404,1,2,5,selected_token_root,34,5.087462841250339,5-4-3,1,7,0.20588235294117646,14,15.5,24,2,6.0,13
1024,404,2,4,106,selected_token_root,11,3.4594316186372973,106-1-0,1,7,0.6363636363636364,5,7.0,20,6,9.0,9
1024,505,0,0,599,selected_token_root,5,2.321928094887362,599-98-5,1,5,1.0,3,8.0,14,3,6.0,6
1024,505,1,4,9,selected_token_root,32,5.0,9-8-7,1,7,0.21875,7,8.0,24,2,14.0,17
1024,505,2,5,263,selected_token_root,18,4.169925001442312,263-13-14,1,7,0.3888888888888889,4,6.0,10,4,18.0,18
1024,606,0,5,927,selected_token_root,4,2.0,927-409-30,1,4,1.0,2,5.0,24,5,5.0,5
1024,606,1,6,555,selected_token_root,4,2.0,555-533-344,1,4,1.0,5,6.5,7,3,5.0,5
1024,606,2,9,953,selected_token_root,11,3.4594316186372973,953-68-5,1,7,0.6363636363636364,2,6.0,11,12,12.0,12
1024,707,0,1,194,selected_token_root,7,2.807354922057604,194-193-28,1,7,1.0,6,7.0,14,2,4.0,4
1024,707,1,5,284,selected_token_root,19,4.247927513443585,284-15-13,1,7,0.3684210526315789,4,8.0,18,2,19.0,19
1024,707,2,6,594,selected_token_root,8,3.0,594-18-17,1,5,0.625,3,5.0,15,9,9.0,9
1024,808,0,5,264,selected_token_root,10,3.321928094887362,264-24-15,1,7,0.7,3,5.5,20,4,8.0,8
1024,808,1,7,575,selected_token_root,3,1.584962500721156,575-475-11,1,3,1.0,3,6.0,25,5,5.0,5
1024,808,2,8,318,selected_token_root,2,1.0,318-546-23,1,2,1.0,4,10.0,16,3,3.0,3
1024,909,0,1,139,selected_token_root,14,3.807354922057604,139-14-13,1,8,0.5714285714285714,6,7.0,24,6,15.0,15
1024,909,1,5,129,selected_token_root,8,3.0,129-2-0,1,5,0.625,3,4.0,15,6,6.0,6
1024,909,2,8,209,selected_token_root,20,4.321928094887363,209-13-12,1,7,0.35,6,8.5,20,2,19.0,19
1024,1001,0,3,42,selected_token_root,11,3.4594316186372973,42-36-16,1,7,0.6363636363636364,6,7.0,15,2,9.0,9
