target_nodes,growth_seed,placement,seed_delta,sector,run_seed,uniform_candidate,independent_sector_rng,initial_tokens,final_tokens,initial_nodes,final_nodes,initial_edges,final_edges,initial_beta1,final_beta1,beta1_drift,beta1_violation_count,expected_delta_violation_count,component_tracker_violation_count,birth_rate_first_half,birth_rate_full,swap_rate_first_half,swap_rate_full,mean_dt_full,event_entropy_full,seed_rate_full,event_counts
1024,202,0,20711,beta1_base,1026042800,343-72-99,1,22,238,1024,1026,1166,1168,143,143,0,0,0,0,0.05858230814294083,0.0632688927943761,0.011716461628588167,0.01200937316930287,0.010242236610145875,0.305022007864377,0.0005858230814294083,birth:216;move:3155;seed:2;swap:41
1024,202,0,20711,beta1_plus1,1036042800,343-72-99,1,22,215,1024,1025,1167,1168,144,144,0,0,0,0,0.05799648506151142,0.056531927357937904,0.008787346221441126,0.011716461628588167,0.011332153560071149,0.28303346586603556,0.00029291154071470416,birth:193;move:3180;seed:1;swap:40
1024,202,0,20773,beta1_base,1026042862,343-72-13,1,22,238,1024,1026,1166,1168,143,143,0,0,0,0,0.06736965436438196,0.0632688927943761,0.011130638547158758,0.012888107791446984,0.009955110104679255,0.30880669310387826,0.0005858230814294083,birth:216;move:3152;seed:2;swap:44
1024,202,0,20773,beta1_plus1,1036042862,343-72-13,1,22,243,1024,1025,1167,1168,144,144,0,0,0,0,0.06736965436438196,0.06473345049794962,0.012302284710017574,0.01054481546572935,0.010329356722521521,0.30023154040658356,0.00029291154071470416,birth:221;move:3156;seed:1;swap:36
1024,202,0,20809,beta1_base,1026042898,343-72-299,1,22,272,1024,1025,1166,1167,143,143,0,0,0,0,0.07557117750439367,0.07322788517867604,0.006444053895723492,0.010837727006444054,0.00912208711189334,0.3235473656972907,0.00029291154071470416,birth:250;move:3126;seed:1;swap:37
1024,202,0,20809,beta1_plus1,1036042898,343-72-299,1,22,266,1024,1024,1167,1167,144,144,0,0,0,0,0.06795547744581136,0.07147041593438781,0.015817223198594025,0.015524311657879321,0.010254327570882469,0.3363327468152548,0.0,birth:244;move:3117;swap:53
1024,202,0,20857,beta1_base,1026042946,343-72-99,1,22,206,1024,1024,1166,1166,143,143,0,0,0,0,0.05213825424721734,0.053895723491505565,0.011716461628588167,0.012595196250732278,0.011263989418211813,0.27674009918832626,0.0,birth:184;move:3187;swap:43
1024,202,0,20857,beta1_plus1,1036042946,343-72-99,1,22,223,1024,1025,1167,1168,144,144,0,0,0,0,0.06033977738722906,0.058875219683655534,0.016403046280023433,0.015231400117164616,0.010927367065142083,0.3044321562302104,0.00029291154071470416,birth:201;move:3160;seed:1;swap:52
1024,202,1,20711,beta1_base,1026043800,537-58-1,1,22,221,1024,1026,1166,1168,143,143,0,0,0,0,0.0626830697129467,0.05828939660222613,0.006444053895723492,0.01200937316930287,0.01114059193738906,0.29145496436370016,0.0005858230814294083,birth:199;move:3172;seed:2;swap:41
1024,202,1,20711,beta1_plus1,1036043800,537-58-1,1,22,230,1024,1025,1167,1168,144,144,0,0,0,0,0.07381370826010544,0.06092560046865846,0.009373169302870533,0.011716461628588167,0.009275520450793082,0.29516744357621455,0.00029291154071470416,birth:208;move:3165;seed:1;swap:40
1024,202,1,20773,beta1_base,1026043862,537-58-1,1,22,233,1024,1025,1166,1167,143,143,0,0,0,0,0.070298769771529,0.061804335090802576,0.014059753954305799,0.015817223198594025,0.00952469372365644,0.314818468233905,0.00029291154071470416,birth:211;move:3148;seed:1;swap:54
1024,202,1,20773,beta1_plus1,1036043862,537-58-1,1,22,250,1024,1027,1167,1170,144,144,0,0,0,0,0.06736965436438196,0.06678383128295255,0.014059753954305799,0.013181019332161687,0.011004706126839897,0.32146465409233377,0.0008787346221441124,birth:228;move:3138;seed:3;swap:45
1024,202,1,20809,beta1_base,1026043898,537-356-1,1,22,246,1024,1026,1166,1168,143,143,0,0,0,0,0.06795547744581136,0.06561218512009373,0.012302284710017574,0.01200937316930287,0.010334457678793785,0.31125962339738134,0.0005858230814294083,birth:224;move:3147;seed:2;swap:41
1024,202,1,20809,beta1_plus1,1036043898,537-356-1,1,22,238,1024,1025,1167,1168,144,144,0,0,0,0,0.06561218512009373,0.0632688927943761,0.015231400117164616,0.014938488576449912,0.00984098379532974,0.3151618692619283,0.00029291154071470416,birth:216;move:3146;seed:1;swap:51
1024,202,1,20857,beta1_base,1026043946,537-356-1,1,22,218,1024,1025,1166,1167,143,143,0,0,0,0,0.04686584651435267,0.05741066198008202,0.00995899238429994,0.011130638547158758,0.012583439527259212,0.28291047716392725,0.00029291154071470416,birth:196;move:3179;seed:1;swap:38
1024,202,1,20857,beta1_plus1,1036043946,537-356-1,1,22,230,1024,1027,1167,1170,144,144,0,0,0,0,0.06561218512009373,0.06092560046865846,0.015817223198594025,0.015817223198594025,0.010143810971213118,0.31677617980269407,0.0008787346221441124,birth:208;move:3149;seed:3;swap:54
