target_nodes,growth_seed,placement,seed_delta,sector,run_seed,uniform_candidate,initial_global_beta1,final_global_beta1,global_beta1_drift,beta1_violation_count,first_chord_absent_step,chord_lost,tail_chord_survival_rate,tail_local_event_rate_fixed_r2,tail_delta_local_token_fraction_r2,initial_local_beta1_r1,tail_delta_local_beta1_r1,tail_delta_cycle_density_r1,initial_local_beta1_r2,tail_delta_local_beta1_r2,tail_delta_cycle_density_r2,initial_local_beta1_r3,tail_delta_local_beta1_r3,tail_delta_cycle_density_r3
1024,404,0,21317,beta1_base,1028063460,55-14-121,124,124,0,0,1,1,0.0,0.21410456084896942,0.012908157880210172,11,-1.0,-0.08479532163742698,17,0.0,0.0,30,0.0,0.0011957161298173323
1024,404,0,21317,beta1_plus1,1038063460,55-14-121,125,125,0,0,-1,0,1.0,0.0719292181833179,-0.08091464749948009,12,0.0,-0.03508771929824561,18,0.0,-0.005260081823495022,31,0.0,-0.0016396911033534356
1024,404,0,21379,beta1_base,1028063522,55-14-602,124,124,0,0,1,1,0.0,0.11239564753907852,-0.05915487224783783,12,0.0,0.0,17,0.0,-0.0025710828796128293,30,0.0,-0.0031395928730108547
1024,404,0,21379,beta1_plus1,1038063522,55-14-602,125,125,0,0,-1,0,1.0,0.07799696840090872,-0.07546931411115747,13,0.0,0.0,18,-1.0,-0.017543859649122806,31,-2.0,-0.011462557447958906
1024,404,0,21433,beta1_base,1028063576,55-14-121,124,124,0,0,1,1,0.0,0.12702823395471946,-0.05641757748883692,11,-0.18518518518518517,-0.02999783409140137,17,-0.7407407407407407,-0.0011524763104740097,30,-1.9259259259259258,-0.00191077510066745
1024,404,0,21433,beta1_plus1,1038063576,55-14-121,125,125,0,0,-1,0,1.0,0.11567686524708706,-0.08514767677895835,12,-2.0,-0.07843137254901957,18,-5.0,-0.014890282131661436,31,-6.333333333333333,0.03895560264762053
1024,404,0,21491,beta1_base,1028063634,55-336-402,124,124,0,0,1,1,0.0,0.09372276783674867,0.010445576421580793,6,0.0,0.0,11,0.0,-0.009803921568627416,20,0.0,-0.003245699448231054
1024,404,0,21491,beta1_plus1,1038063634,55-336-402,125,125,0,0,-1,0,1.0,0.1510057763925946,0.0009891102157504298,7,-1.0,-0.15476190476190485,12,-0.5555555555555556,0.030999651689306837,21,-3.0,0.021091811414392092
1024,404,1,21317,beta1_base,1028064460,5-4-21,124,124,0,0,1,1,1.0,0.6102500793707355,-0.0902837895153888,11,-2.8518518518518516,-0.07847290105354619,30,-2.5555555555555554,0.008664054144356951,43,-1.8518518518518519,0.0059288025919934425
1024,404,1,21317,beta1_plus1,1038064460,5-4-21,125,125,0,0,-1,0,1.0,0.471096587347893,-0.3086407674183961,12,-6.518518518518518,-0.1782596075699524,31,-6.87037037037037,-0.027692733632097104,44,-3.240740740740741,0.009385929447711796
