pair_label,growth_seed,run_offset,run_seed,order,snapshot_index_from,snapshot_index_to,step_from,step_to,event_type,parent_ids,child_ids,parent_count,child_count,component_count_before,component_count_after,total_defect_mass_before,total_defect_mass_after,largest_component_fraction_before,largest_component_fraction_after,daughter_min_separation
2-3,101,0,4901000,ab,0,1,0,2,persist,1,1,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,0,1,0,2,persist,2,2,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,0,1,0,2,persist,3,3,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,0,1,0,2,persist,4,4,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,1,2,2,4,persist,1,1,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,1,2,2,4,persist,2,2,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,1,2,2,4,persist,3,3,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,1,2,2,4,persist,4,4,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,2,3,4,6,persist,1,1,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,2,3,4,6,persist,2,2,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,2,3,4,6,persist,3,3,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,2,3,4,6,persist,4,4,1,1,4,4,4,4,0.25,0.25,nan
2-3,101,0,4901000,ab,3,4,6,8,persist,1,1,1,1,4,4,4,5,0.25,0.4,nan
2-3,101,0,4901000,ab,3,4,6,8,persist,2,2,1,1,4,4,4,5,0.25,0.4,nan
2-3,101,0,4901000,ab,3,4,6,8,persist,3,3,1,1,4,4,4,5,0.25,0.4,nan
2-3,101,0,4901000,ab,3,4,6,8,persist,4,4,1,1,4,4,4,5,0.25,0.4,nan
2-3,101,0,4901000,ab,4,5,8,10,compress,,,0,0,4,3,5,6,0.4,0.6666666666666666,nan
2-3,101,0,4901000,ab,4,5,8,10,persist,1,1,1,1,4,3,5,6,0.4,0.6666666666666666,nan
2-3,101,0,4901000,ab,4,5,8,10,persist,2,2,1,1,4,3,5,6,0.4,0.6666666666666666,nan
2-3,101,0,4901000,ab,4,5,8,10,merge,"3,4",3,2,1,4,3,5,6,0.4,0.6666666666666666,nan
2-3,101,0,4901000,ab,5,6,10,12,persist,1,1,1,1,3,3,6,6,0.6666666666666666,0.6666666666666666,nan
2-3,101,0,4901000,ab,5,6,10,12,persist,2,2,1,1,3,3,6,6,0.6666666666666666,0.6666666666666666,nan
2-3,101,0,4901000,ab,5,6,10,12,persist,3,3,1,1,3,3,6,6,0.6666666666666666,0.6666666666666666,nan
2-3,101,0,4901000,ab,6,7,12,14,persist,1,1,1,1,3,4,6,7,0.6666666666666666,0.42857142857142855,nan
2-3,101,0,4901000,ab,6,7,12,14,persist,2,2,1,1,3,4,6,7,0.6666666666666666,0.42857142857142855,nan
2-3,101,0,4901000,ab,6,7,12,14,persist,3,3,1,1,3,4,6,7,0.6666666666666666,0.42857142857142855,nan
2-3,101,0,4901000,ab,6,7,12,14,birth,,5,0,1,3,4,6,7,0.6666666666666666,0.42857142857142855,nan
2-3,101,0,4901000,ab,7,8,14,16,persist,1,1,1,1,4,4,7,7,0.42857142857142855,0.42857142857142855,nan
2-3,101,0,4901000,ab,7,8,14,16,persist,2,2,1,1,4,4,7,7,0.42857142857142855,0.42857142857142855,nan
2-3,101,0,4901000,ab,7,8,14,16,persist,3,3,1,1,4,4,7,7,0.42857142857142855,0.42857142857142855,nan
2-3,101,0,4901000,ab,7,8,14,16,persist,5,5,1,1,4,4,7,7,0.42857142857142855,0.42857142857142855,nan
2-3,101,0,4901000,ab,8,9,16,18,persist,1,1,1,1,4,5,7,7,0.42857142857142855,0.2857142857142857,nan
2-3,101,0,4901000,ab,8,9,16,18,persist,2,2,1,1,4,5,7,7,0.42857142857142855,0.2857142857142857,nan
2-3,101,0,4901000,ab,8,9,16,18,split,3,"3,6",1,2,4,5,7,7,0.42857142857142855,0.2857142857142857,2.0
2-3,101,0,4901000,ab,8,9,16,18,persist,5,5,1,1,4,5,7,7,0.42857142857142855,0.2857142857142857,nan
2-3,101,0,4901000,ab,9,10,18,20,persist,1,1,1,1,5,6,7,8,0.2857142857142857,0.25,nan
2-3,101,0,4901000,ab,9,10,18,20,persist,2,2,1,1,5,6,7,8,0.2857142857142857,0.25,nan
2-3,101,0,4901000,ab,9,10,18,20,persist,3,3,1,1,5,6,7,8,0.2857142857142857,0.25,nan
2-3,101,0,4901000,ab,9,10,18,20,persist,6,6,1,1,5,6,7,8,0.2857142857142857,0.25,nan
2-3,101,0,4901000,ab,9,10,18,20,persist,5,5,1,1,5,6,7,8,0.2857142857142857,0.25,nan
2-3,101,0,4901000,ab,9,10,18,20,birth,,7,0,1,5,6,7,8,0.2857142857142857,0.25,nan
2-3,101,0,4901000,ab,10,11,20,22,persist,1,1,1,1,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,persist,2,2,1,1,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,persist,3,3,1,1,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,death,7,,1,0,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,persist,6,6,1,1,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,death,5,,1,0,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,birth,,8,0,1,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,10,11,20,22,birth,,9,0,1,6,6,8,9,0.25,0.4444444444444444,nan
2-3,101,0,4901000,ab,11,12,22,24,persist,1,1,1,1,6,6,9,8,0.4444444444444444,0.375,nan
2-3,101,0,4901000,ab,11,12,22,24,persist,2,2,1,1,6,6,9,8,0.4444444444444444,0.375,nan
2-3,101,0,4901000,ab,11,12,22,24,persist,3,3,1,1,6,6,9,8,0.4444444444444444,0.375,nan
2-3,101,0,4901000,ab,11,12,22,24,persist,8,8,1,1,6,6,9,8,0.4444444444444444,0.375,nan
2-3,101,0,4901000,ab,11,12,22,24,persist,6,6,1,1,6,6,9,8,0.4444444444444444,0.375,nan
2-3,101,0,4901000,ab,11,12,22,24,persist,9,9,1,1,6,6,9,8,0.4444444444444444,0.375,nan
2-3,101,0,4901000,ab,12,13,24,26,compress,,,0,0,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,12,13,24,26,persist,1,1,1,1,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,12,13,24,26,persist,2,2,1,1,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,12,13,24,26,persist,3,3,1,1,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,12,13,24,26,death,8,,1,0,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,12,13,24,26,persist,6,6,1,1,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,12,13,24,26,persist,9,9,1,1,6,5,8,8,0.375,0.5,nan
2-3,101,0,4901000,ab,13,14,26,28,persist,1,1,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,13,14,26,28,persist,2,2,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,13,14,26,28,persist,3,3,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,13,14,26,28,persist,6,6,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,13,14,26,28,persist,9,9,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,14,15,28,30,persist,1,1,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,14,15,28,30,persist,2,2,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,14,15,28,30,persist,3,3,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,14,15,28,30,persist,6,6,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,14,15,28,30,persist,9,9,1,1,5,5,8,8,0.5,0.5,nan
2-3,101,0,4901000,ab,15,16,30,32,persist,1,1,1,1,5,5,8,9,0.5,0.5555555555555556,nan
2-3,101,0,4901000,ab,15,16,30,32,persist,2,2,1,1,5,5,8,9,0.5,0.5555555555555556,nan
2-3,101,0,4901000,ab,15,16,30,32,persist,3,3,1,1,5,5,8,9,0.5,0.5555555555555556,nan
2-3,101,0,4901000,ab,15,16,30,32,persist,6,6,1,1,5,5,8,9,0.5,0.5555555555555556,nan
2-3,101,0,4901000,ab,15,16,30,32,persist,9,9,1,1,5,5,8,9,0.5,0.5555555555555556,nan
2-3,101,0,4901000,ab,16,17,32,34,persist,1,1,1,1,5,5,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,16,17,32,34,persist,2,2,1,1,5,5,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,16,17,32,34,persist,3,3,1,1,5,5,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,16,17,32,34,persist,6,6,1,1,5,5,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,16,17,32,34,persist,9,9,1,1,5,5,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,17,18,34,36,persist,1,1,1,1,5,4,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,17,18,34,36,persist,2,2,1,1,5,4,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,17,18,34,36,persist,3,3,1,1,5,4,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,17,18,34,36,persist,6,6,1,1,5,4,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,17,18,34,36,death,9,,1,0,5,4,9,9,0.5555555555555556,0.5555555555555556,nan
2-3,101,0,4901000,ab,18,19,36,38,persist,1,1,1,1,4,4,9,10,0.5555555555555556,0.6,nan
2-3,101,0,4901000,ab,18,19,36,38,persist,2,2,1,1,4,4,9,10,0.5555555555555556,0.6,nan
2-3,101,0,4901000,ab,18,19,36,38,persist,3,3,1,1,4,4,9,10,0.5555555555555556,0.6,nan
2-3,101,0,4901000,ab,18,19,36,38,persist,6,6,1,1,4,4,9,10,0.5555555555555556,0.6,nan
2-3,101,0,4901000,ab,19,20,38,40,persist,1,1,1,1,4,5,10,10,0.6,0.5,nan
2-3,101,0,4901000,ab,19,20,38,40,persist,2,2,1,1,4,5,10,10,0.6,0.5,nan
2-3,101,0,4901000,ab,19,20,38,40,persist,3,3,1,1,4,5,10,10,0.6,0.5,nan
2-3,101,0,4901000,ab,19,20,38,40,persist,6,6,1,1,4,5,10,10,0.6,0.5,nan
2-3,101,0,4901000,ab,19,20,38,40,birth,,10,0,1,4,5,10,10,0.6,0.5,nan
2-3,101,0,4901000,ab,20,21,40,42,persist,2,2,1,1,5,5,10,10,0.5,0.6,nan
2-3,101,0,4901000,ab,20,21,40,42,persist,6,6,1,1,5,5,10,10,0.5,0.6,nan
2-3,101,0,4901000,ab,20,21,40,42,persist,10,10,1,1,5,5,10,10,0.5,0.6,nan
2-3,101,0,4901000,ab,20,21,40,42,merge,"1,3",3,2,1,5,5,10,10,0.5,0.6,nan
2-3,101,0,4901000,ab,20,21,40,42,birth,,11,0,1,5,5,10,10,0.5,0.6,nan
2-3,101,0,4901000,ab,21,22,42,44,compress,,,0,0,5,4,10,11,0.6,0.7272727272727273,nan
2-3,101,0,4901000,ab,21,22,42,44,persist,2,2,1,1,5,4,10,11,0.6,0.7272727272727273,nan
2-3,101,0,4901000,ab,21,22,42,44,persist,6,6,1,1,5,4,10,11,0.6,0.7272727272727273,nan
2-3,101,0,4901000,ab,21,22,42,44,persist,11,11,1,1,5,4,10,11,0.6,0.7272727272727273,nan
2-3,101,0,4901000,ab,21,22,42,44,merge,"3,10",3,2,1,5,4,10,11,0.6,0.7272727272727273,nan
2-3,101,0,4901000,ab,22,23,44,46,split,3,"3,13",1,2,4,5,11,12,0.7272727272727273,0.5833333333333334,2.0
2-3,101,0,4901000,ab,22,23,44,46,persist,2,2,1,1,4,5,11,12,0.7272727272727273,0.5833333333333334,nan
2-3,101,0,4901000,ab,22,23,44,46,persist,6,6,1,1,4,5,11,12,0.7272727272727273,0.5833333333333334,nan
2-3,101,0,4901000,ab,22,23,44,46,death,11,,1,0,4,5,11,12,0.7272727272727273,0.5833333333333334,nan
2-3,101,0,4901000,ab,22,23,44,46,birth,,12,0,1,4,5,11,12,0.7272727272727273,0.5833333333333334,nan
2-3,101,0,4901000,ab,23,24,46,48,persist,3,3,1,1,5,5,12,13,0.5833333333333334,0.6153846153846154,nan
