target_nodes,growth_seed,placement,run_seed,requested_perturbation,actual_perturbation,requested_match,support_size,support_signature,final_alive,first_zero_step,last_alive_fraction,mean_radius_control,mean_component_count,outcome_class,tail_dual_fraction,tail_mean_component_count,tail_mean_radius,tail_change_count,tail_label
48,101,0,4901000,token_shift,token_shift,1,2,"8,9",1,-1.0,1.0,5.966942148760331,3.330578512396694,persistent_split,0.967741935483871,3.193548387096774,6.516129032258065,14,persistent_split_tail
48,101,1,4901001,token_shift,token_shift,1,2,"3,5",1,-1.0,1.0,5.454545454545454,2.743801652892562,persistent_diffuse,0.9032258064516129,2.2903225806451615,7.0,7,persistent_split_tail
48,101,2,4901002,token_shift,token_shift,1,2,"13,27",1,-1.0,1.0,6.958677685950414,3.71900826446281,persistent_split,1.0,3.4838709677419355,8.193548387096774,14,persistent_split_tail
48,101,3,4901003,token_shift,token_shift,1,2,"2,3",0,16.0,0.008333333333333333,0.5,0.024793388429752067,dies_out,0.0,0.0,nan,0,extinction
48,101,4,4901004,token_shift,token_shift,1,2,"6,7",1,-1.0,1.0,2.7768595041322315,1.834710743801653,persistent_split,1.0,2.0,3.4516129032258065,0,persistent_split_tail
48,101,5,4901005,token_shift,token_shift,1,2,"0,1",1,-1.0,1.0,6.553719008264463,1.8099173553719008,persistent_diffuse,0.3548387096774194,1.4838709677419355,8.0,11,persistent_diffuse_tail
48,101,0,4901000,add_chord,local_chord_anywhere,1,3,"7,8,9",1,-1.0,1.0,4.8429752066115705,3.446280991735537,persistent_split,0.6129032258064516,1.8064516129032258,6.129032258064516,15,persistent_diffuse_tail
48,101,1,4901001,add_chord,local_chord_anywhere,1,3,"2,3,5",1,-1.0,1.0,3.15702479338843,2.4628099173553717,persistent_diffuse,0.8387096774193549,2.2903225806451615,3.903225806451613,15,persistent_split_tail
48,101,2,4901002,add_chord,local_chord_anywhere,1,3,"8,13,27",1,-1.0,1.0,4.033057851239669,2.2644628099173554,persistent_diffuse,1.0,2.5806451612903225,6.451612903225806,12,persistent_split_tail
48,101,3,4901003,add_chord,local_chord_anywhere,1,3,"1,2,3",1,-1.0,1.0,5.68595041322314,3.28099173553719,persistent_diffuse,0.6451612903225806,1.7096774193548387,6.354838709677419,9,persistent_diffuse_tail
48,101,4,4901004,add_chord,local_chord_anywhere,1,3,"5,6,7",1,-1.0,1.0,3.669421487603306,2.743801652892562,persistent_diffuse,0.5483870967741935,1.8709677419354838,4.354838709677419,11,persistent_diffuse_tail
48,101,5,4901005,add_chord,local_chord_anywhere,1,3,"0,1,2",1,-1.0,1.0,3.6942148760330578,2.3636363636363638,persistent_split,0.6451612903225806,1.8064516129032258,7.419354838709677,14,persistent_diffuse_tail
48,202,0,5002000,token_shift,token_shift,1,2,"6,8",0,24.0,0.016666666666666666,0.0,0.024793388429752067,dies_out,0.0,0.0,nan,0,extinction
48,202,1,5002001,token_shift,token_shift,1,2,"8,10",1,-1.0,1.0,5.87603305785124,2.1404958677685952,persistent_diffuse,0.3548387096774194,1.3548387096774193,6.516129032258065,4,persistent_diffuse_tail
48,202,2,5002002,token_shift,token_shift,1,2,"6,14",1,-1.0,1.0,6.363636363636363,2.3388429752066116,persistent_diffuse,0.4838709677419355,1.4838709677419355,6.935483870967742,5,persistent_diffuse_tail
48,202,3,5002003,token_shift,token_shift,1,2,"6,19",1,-1.0,1.0,6.1570247933884295,3.396694214876033,persistent_diffuse,0.3548387096774194,1.5806451612903225,6.193548387096774,7,persistent_diffuse_tail
48,202,4,5002004,token_shift,token_shift,1,2,"0,1",1,-1.0,1.0,5.4958677685950414,2.644628099173554,persistent_diffuse,0.45161290322580644,1.5806451612903225,6.0,12,persistent_diffuse_tail
48,202,5,5002005,token_shift,token_shift,1,2,"0,1",1,-1.0,1.0,6.31404958677686,2.9917355371900825,persistent_split,0.7096774193548387,1.7741935483870968,7.645161290322581,5,persistent_diffuse_tail
48,202,0,5002000,add_chord,local_chord_anywhere,1,3,"5,6,8",1,-1.0,1.0,4.628099173553719,2.628099173553719,persistent_diffuse,0.5161290322580645,1.8064516129032258,5.67741935483871,10,persistent_diffuse_tail
48,202,1,5002001,add_chord,local_chord_anywhere,1,3,"6,8,10",1,-1.0,1.0,4.702479338842975,2.644628099173554,persistent_diffuse,0.3225806451612903,1.3225806451612903,5.0,8,persistent_diffuse_tail
48,202,2,5002002,add_chord,local_chord_anywhere,1,3,"5,6,14",1,-1.0,1.0,5.87603305785124,1.7107438016528926,persistent_diffuse,0.0,1.0,6.0,0,quiet_singleton_tail
48,202,3,5002003,add_chord,local_chord_anywhere,1,3,"5,6,19",1,-1.0,1.0,4.735537190082645,2.677685950413223,persistent_diffuse,0.3548387096774194,1.7419354838709677,7.032258064516129,15,persistent_diffuse_tail
48,202,4,5002004,add_chord,local_chord_anywhere,1,3,"0,1,11",1,-1.0,1.0,4.074380165289257,4.041322314049586,persistent_split,0.9032258064516129,3.967741935483871,5.193548387096774,17,persistent_split_tail
48,202,5,5002005,add_chord,local_chord_anywhere,1,3,"0,1,11",1,-1.0,1.0,4.851239669421488,2.9421487603305785,persistent_diffuse,1.0,2.4516129032258065,5.0,9,persistent_split_tail
