target_nodes,growth_seed,placement,token_requested_match,add_requested_match,token_fragility_label,add_fragility_label,token_tail_label,add_tail_label,token_support_ball_3,add_support_ball_3,token_mean_support_degree,add_mean_support_degree,token_extinct_add_alive
48,101,0,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_diffuse_tail,27.0,31.0,4.0,4.0,0
48,101,1,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,33.0,37.0,5.0,5.0,0
48,101,2,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,15.0,24.0,2.0,3.0,0
48,101,3,1,1,extinct,alive_tail,extinction,persistent_split_tail,33.0,35.0,5.5,4.333333333333333,1
48,101,4,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,31.0,38.0,6.0,5.333333333333333,0
48,101,5,1,1,alive_tail,alive_tail,persistent_diffuse_tail,persistent_split_tail,22.0,29.0,3.0,3.6666666666666665,0
48,101,6,1,1,alive_tail,alive_tail,persistent_split_tail,mixed_tail,26.0,30.0,3.5,4.333333333333333,0
48,202,0,1,1,extinct,alive_tail,extinction,persistent_diffuse_tail,33.0,36.0,7.5,5.666666666666667,1
48,202,1,1,1,alive_tail,alive_tail,persistent_diffuse_tail,persistent_diffuse_tail,36.0,39.0,3.5,6.333333333333333,0
48,202,2,1,1,alive_tail,alive_tail,persistent_diffuse_tail,persistent_diffuse_tail,29.0,32.0,6.5,5.0,0
48,202,3,1,1,alive_tail,alive_tail,persistent_diffuse_tail,persistent_split_tail,29.0,32.0,7.0,5.333333333333333,0
48,202,4,1,1,alive_tail,alive_tail,persistent_diffuse_tail,persistent_diffuse_tail,24.0,26.0,5.5,5.333333333333333,0
48,202,5,1,1,alive_tail,alive_tail,persistent_diffuse_tail,persistent_diffuse_tail,24.0,26.0,5.5,5.333333333333333,0
48,202,6,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_diffuse_tail,24.0,26.0,5.5,4.333333333333333,0
96,101,0,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,24.0,41.0,4.5,4.666666666666667,0
96,101,1,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,37.0,48.0,6.0,5.666666666666667,0
96,101,2,1,1,alive_tail,alive_tail,quiet_singleton_tail,persistent_split_tail,29.0,37.0,5.0,4.333333333333333,0
96,101,3,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,36.0,39.0,7.0,5.666666666666667,0
96,101,4,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,52.0,59.0,6.0,6.0,0
96,101,5,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,36.0,41.0,4.0,5.666666666666667,0
96,101,6,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,36.0,41.0,6.0,7.333333333333333,0
96,202,0,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,29.0,45.0,4.5,4.666666666666667,0
96,202,1,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,44.0,49.0,6.0,6.666666666666667,0
96,202,2,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,49.0,54.0,9.0,7.666666666666667,0
96,202,3,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,30.0,39.0,4.0,5.333333333333333,0
96,202,4,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,30.0,39.0,4.0,5.333333333333333,0
96,202,5,1,1,extinct,alive_tail,extinction,persistent_split_tail,36.0,40.0,4.0,5.333333333333333,1
96,202,6,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,17.0,25.0,2.5,3.0,0
96,202,7,1,1,alive_tail,alive_tail,persistent_split_tail,persistent_split_tail,49.0,54.0,9.0,7.666666666666667,0
