pair_id,profile_role,requested_perturbation,n_runs,strict_match_rate,extinction_rate,persistent_split_tail_rate,persistent_diffuse_tail_rate,quiet_singleton_tail_rate,mean_first_zero_step,mean_support_ball_3,mean_support_degree,dominant_tail_label
t48_g101_p3_vs_p4,fragile_profile,add_chord,8,1.0,0.0,0.25,0.25,0.0,nan,35.0,4.333333333333333,mixed_tail
t48_g101_p3_vs_p4,fragile_profile,token_shift,8,1.0,0.25,0.375,0.25,0.0,96.0,33.0,5.5,persistent_split_tail
t48_g101_p3_vs_p4,matched_alive_control,add_chord,8,1.0,0.0,0.375,0.375,0.0,nan,38.0,5.333333333333333,persistent_split_tail
t48_g101_p3_vs_p4,matched_alive_control,token_shift,8,1.0,0.0,0.5,0.125,0.0,nan,31.0,6.0,persistent_split_tail
t48_g202_p0_vs_p3,fragile_profile,add_chord,8,1.0,0.0,0.5,0.375,0.0,nan,36.0,5.666666666666667,persistent_split_tail
t48_g202_p0_vs_p3,fragile_profile,token_shift,8,1.0,0.25,0.125,0.5,0.0,24.0,33.0,7.5,persistent_diffuse_tail
t48_g202_p0_vs_p3,matched_alive_control,add_chord,8,1.0,0.0,0.5,0.375,0.0,nan,32.0,5.333333333333333,persistent_split_tail
t48_g202_p0_vs_p3,matched_alive_control,token_shift,8,1.0,0.125,0.125,0.625,0.0,32.0,29.0,7.0,persistent_diffuse_tail
t96_g202_p5_vs_p4,fragile_profile,add_chord,8,1.0,0.0,1.0,0.0,0.0,nan,40.0,5.333333333333333,persistent_split_tail
t96_g202_p5_vs_p4,fragile_profile,token_shift,8,1.0,0.25,0.75,0.0,0.0,144.0,36.0,4.0,persistent_split_tail
t96_g202_p5_vs_p4,matched_alive_control,add_chord,8,1.0,0.0,1.0,0.0,0.0,nan,39.0,5.333333333333333,persistent_split_tail
t96_g202_p5_vs_p4,matched_alive_control,token_shift,8,1.0,0.125,0.75,0.0,0.0,16.0,30.0,4.0,persistent_split_tail
