profile_role,role_note,target_nodes,growth_seed,placement,replicate_index,run_seed,requested_perturbation,actual_perturbation,requested_match,support_size,support_signature,final_alive,first_zero_step,last_alive_fraction,mean_radius_control,mean_component_count,outcome_class,tail_label,fragility_label,mean_support_degree,min_support_degree,max_support_degree,support_ball_1,support_shell_1,support_ball_2,support_shell_2,support_ball_3,support_shell_3,shell2_over_shell1,ball3_over_ball1
fragile_p3,fragile reference profile,48,101,3,0,4901003,token_shift,token_shift,1,2.0,"2,3",0,16.0,0.008333333333333333,0.5,0.024793388429752067,dies_out,extinction,extinct,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,1,14901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,4.710743801652892,3.6859504132231407,persistent_split,persistent_split_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,2,24901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,6.570247933884297,3.355371900826446,persistent_split,persistent_split_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,3,34901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,5.1652892561983474,2.603305785123967,persistent_diffuse,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,4,44901003,token_shift,token_shift,1,2.0,"2,3",0,176.0,0.175,1.2727272727272727,0.35537190082644626,dies_out,extinction,extinct,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,5,54901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,6.239669421487603,2.6363636363636362,persistent_split,persistent_split_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,6,64901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,5.991735537190083,3.074380165289256,persistent_diffuse,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,7,74901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,5.1652892561983474,2.7355371900826446,persistent_diffuse,mixed_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,8,84901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,4.900826446280992,2.1322314049586777,persistent_diffuse,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,9,94901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,4.239669421487603,2.9669421487603307,persistent_split,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,10,104901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,3.644628099173554,2.950413223140496,persistent_split,persistent_split_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,11,114901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,5.446280991735537,2.0,persistent_diffuse,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,12,124901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,3.2479338842975207,1.9421487603305785,persistent_split,persistent_split_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,13,134901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,6.2727272727272725,2.5867768595041323,persistent_diffuse,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,14,144901003,token_shift,token_shift,1,2.0,"2,3",1,-1.0,1.0,4.702479338842975,2.644628099173554,persistent_split,persistent_diffuse_tail,alive_tail,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,15,154901003,token_shift,token_shift,1,2.0,"2,3",0,48.0,0.041666666666666664,1.0,0.09090909090909091,dies_out,extinction,extinct,5.5,5.0,6.0,11.0,9.0,21.0,10.0,33.0,12.0,1.1111111111111112,3.0
fragile_p3,fragile reference profile,48,101,3,0,54901003,add_chord,local_chord_anywhere,1,3.0,"1,2,3",1,-1.0,1.0,3.15702479338843,2.958677685950413,persistent_split,persistent_split_tail,alive_tail,4.333333333333333,2.0,6.0,12.0,9.0,24.0,12.0,35.0,11.0,1.3333333333333333,2.9166666666666665
