purpose_ref,spec_digest,target_nodes,growth_seed,run_offset,arm,run_seed,steps,windows,frozen_local_rate,independent_arm_rng,independent_arm_id_allocator,aggregate_hazard_ratio_low,aggregate_hazard_ratio_high,per_growth_hazard_ratio_low,per_growth_hazard_ratio_high,total_time_ratio_low,total_time_ratio_high,final_token_ratio_low,final_token_ratio_high,nonseed_tv_max,max_node_growth_fraction,max_node_growth_absolute,prepared_before_fresh_dynamics
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32003,current_global,1042058015,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32003,preparation_only,1142058015,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32003,exposure_matched_local,1242058015,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32041,current_global,1042058053,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32041,preparation_only,1142058053,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32041,exposure_matched_local,1242058053,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32087,current_global,1042058099,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32087,preparation_only,1142058099,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32087,exposure_matched_local,1242058099,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32119,current_global,1042058131,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32119,preparation_only,1142058131,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32119,exposure_matched_local,1242058131,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32159,current_global,1042058171,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32159,preparation_only,1142058171,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32159,exposure_matched_local,1242058171,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32191,current_global,1042058203,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32191,preparation_only,1142058203,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32191,exposure_matched_local,1242058203,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32233,current_global,1042058245,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32233,preparation_only,1142058245,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32233,exposure_matched_local,1242058245,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32261,current_global,1042058273,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32261,preparation_only,1142058273,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1801,32261,exposure_matched_local,1242058273,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32003,current_global,1043058015,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32003,preparation_only,1143058015,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32003,exposure_matched_local,1243058015,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32041,current_global,1043058053,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32041,preparation_only,1143058053,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32041,exposure_matched_local,1243058053,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32087,current_global,1043058099,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32087,preparation_only,1143058099,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32087,exposure_matched_local,1243058099,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32119,current_global,1043058131,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32119,preparation_only,1143058131,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32119,exposure_matched_local,1243058131,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
purpose://prompt.unknown,371ed15f495f76429f6a9e568032d4f45d1e1a6cf51b3704de021a7cae98c49e,1024,1901,32159,current_global,1043058171,3414,4,0.0005039538147742117,1,1,0.75,1.25,0.5,2.0,0.75,1.25,0.75,1.25,0.05,0.05,50,1
