left_kind,right_kind,previous_declared_disjoint,current_declared_disjoint,previous_failures,current_failures,different_fields,parity_pass
birth,birth,166467,166467,0,0,,1
birth,death,106444,106444,0,0,,1
birth,delete,323630,323630,0,0,,1
birth,move,335912,335912,0,0,,1
birth,seed,452932,452932,0,0,,1
birth,stuck,2,2,0,0,,1
birth,swap,411048,411048,0,0,,1
birth,triad,411048,411048,0,0,,1
death,death,26611,26611,0,0,,1
death,delete,161815,161815,0,0,,1
death,move,167956,167956,0,0,,1
death,seed,106444,106444,0,0,,1
death,swap,205524,205524,0,0,,1
death,triad,205524,205524,0,0,,1
delete,delete,103625,103625,0,0,,1
delete,move,488748,488748,0,0,,1
delete,seed,202014,202014,0,0,,1
delete,swap,154296,154296,0,0,,1
delete,triad,263316,263316,0,0,,1
move,move,281932,281932,0,0,,1
move,seed,335912,335912,0,0,,1
move,swap,585588,585588,0,0,,1
move,triad,663558,663558,0,0,,1
seed,seed,79380,79380,0,0,,1
seed,stuck,0,0,0,0,,1
seed,swap,203128,203128,0,0,,1
seed,triad,255108,255108,0,0,,1
swap,swap,38840,38840,0,0,,1
swap,triad,198420,198420,0,0,,1
triad,triad,188228,188228,0,0,,1
