purpose_ref,spec_digest,source_target_sha256,target_nodes,growth_seed,run_offset,arm,run_seed,steps,topological_replays,frozen_local_rate,independent_arm_rng,independent_arm_id_allocator,max_local_metric_cv,growth_ratio_low,growth_ratio_high,scheduler_ratio_low,scheduler_ratio_high,max_nonseed_event_tv,prepared_before_fresh_dynamics
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2801,41011,current_global,1052067013,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2801,41011,exposure_matched_local,1152067013,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2801,41047,current_global,1052067049,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2801,41047,exposure_matched_local,1152067049,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2801,41081,current_global,1052067083,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2801,41081,exposure_matched_local,1152067083,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2903,41011,current_global,1053087013,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2903,41011,exposure_matched_local,1153087013,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2903,41047,current_global,1053087049,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2903,41047,exposure_matched_local,1153087049,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2903,41081,current_global,1053087083,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
purpose://prompt.unknown,26748eee56aff6723e943697ff04d87bc66d7681faa6b0f4d7adeb6a482fb18d,d5cbe90ccd48cc3d84133228ad0644a780ca7fecf316f76c30973300541ebd20,1024,2903,41081,exposure_matched_local,1153087083,2048,4,0.0005039538147742117,1,1,0.35,0.6,1.67,0.6,1.67,0.05,1
