growth_seed,run_offset,arm,run_seed,source_window,target_window,transition,metric,source_value,target_value,retention_ratio
3407,61001,current_global,1570147005,1,4,1_to_4,causal_depth_retention,60.0,15.0,0.25
3407,61001,current_global,1570147005,1,4,1_to_4,antichain_width_retention,98.0,96.0,0.9795918367346939
3407,61001,current_global,1570147005,1,4,1_to_4,dependency_density_retention,1.1956380208333333,1.3364238410596025,1.1177495343683908
3407,61001,current_global,1570147005,4,16,4_to_16,causal_depth_retention,15.0,4.0,0.26666666666666666
3407,61001,current_global,1570147005,4,16,4_to_16,antichain_width_retention,96.0,56.0,0.5833333333333334
3407,61001,current_global,1570147005,4,16,4_to_16,dependency_density_retention,1.3364238410596025,1.3101265822784811,0.980322665629587
3407,61001,exposure_matched_local,1670147005,1,4,1_to_4,causal_depth_retention,54.0,14.0,0.25925925925925924
3407,61001,exposure_matched_local,1670147005,1,4,1_to_4,antichain_width_retention,120.0,116.0,0.9666666666666667
3407,61001,exposure_matched_local,1670147005,1,4,1_to_4,dependency_density_retention,1.1461588541666667,1.2163212435233162,1.0612152400180708
3407,61001,exposure_matched_local,1670147005,4,16,4_to_16,causal_depth_retention,14.0,4.0,0.2857142857142857
3407,61001,exposure_matched_local,1670147005,4,16,4_to_16,antichain_width_retention,116.0,103.0,0.8879310344827587
3407,61001,exposure_matched_local,1670147005,4,16,4_to_16,dependency_density_retention,1.2163212435233162,1.301775147928994,1.0702560321631345
3407,61043,current_global,1570147047,1,4,1_to_4,causal_depth_retention,70.0,18.0,0.2571428571428571
3407,61043,current_global,1570147047,1,4,1_to_4,antichain_width_retention,91.0,85.0,0.9340659340659341
3407,61043,current_global,1570147047,1,4,1_to_4,dependency_density_retention,1.1995442708333333,1.3446475195822454,1.1209653134753481
3407,61043,current_global,1570147047,4,16,4_to_16,causal_depth_retention,18.0,5.0,0.2777777777777778
3407,61043,current_global,1570147047,4,16,4_to_16,antichain_width_retention,85.0,70.0,0.8235294117647058
3407,61043,current_global,1570147047,4,16,4_to_16,dependency_density_retention,1.3446475195822454,1.5029940119760479,1.117760595314226
3407,61043,exposure_matched_local,1670147047,1,4,1_to_4,causal_depth_retention,72.0,18.0,0.25
3407,61043,exposure_matched_local,1670147047,1,4,1_to_4,antichain_width_retention,103.0,103.0,1.0
