purpose_ref,spec_digest,source_script_sha256,design_selection_sha256,target_nodes,events_per_initial_node,growth_seed,run_offset,arm,run_seed,steps,topological_replays,selected_bins,fresh_shuffles,frozen_local_rate,max_local_median_clock_minus_null,max_local_median_clock_minus_count,max_local_median_null_z,min_local_negative_run_fraction,prepared_before_fresh_dynamics
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3701,71003,current_global,1573097008,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3701,71003,exposure_matched_local,1673097008,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3701,71047,current_global,1573097052,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3701,71047,exposure_matched_local,1673097052,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3701,71089,current_global,1573097094,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3701,71089,exposure_matched_local,1673097094,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3803,71003,current_global,1574117008,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3803,71003,exposure_matched_local,1674117008,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3803,71047,current_global,1574117052,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3803,71047,exposure_matched_local,1674117052,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3803,71089,current_global,1574117094,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
purpose://prompt.unknown,3c06109cc2da91851dc883ea022dc78bdef1e2a28630be3430b6281243544302,3828155a391cb3dc4ac39e055a47f61cdc0da873077d5c59a0f561dbd4df6503,6ba19c245110e66c132758e76c7179416257bfb4648703bd67f259e9803befa3,1536,2,3803,71089,exposure_matched_local,1674117094,3072,2,128;64;32,32,0.0005039538147742117,-0.005,-0.005,-2.0,0.8333333333333334,1
