artifact_role,stage,growth_seed,run_offset,arm,run_seed,depth_window,clock_bins,event_count,fine_edges,occupied_clock_bins,depth_components,clock_entropy,depth_entropy,joint_cells,observed_nmi,event_count_nmi,waiting_null_mean_nmi,waiting_null_sd_nmi,size_order_null_mean_nmi,size_order_null_sd_nmi,nmi_minus_event_count,nmi_minus_waiting_null,nmi_minus_size_order_null,waiting_null_z,size_order_null_z,all_relative_deltas_negative
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51017,current_global,1055157020,16,128,2048,2291,128,101,4.6615327869325,3.9542558944894135,1335,0.37197918378907324,0.38799044261478516,0.38493663167814696,0.0016821439671452956,0.37840426144165545,0.002401680773614878,-0.016011258825711916,-0.012957447889073714,-0.006425077652582212,-7.702936337288253,-2.6752421567299045,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51017,current_global,1055157020,16,64,2048,2291,64,101,3.984619816391029,3.9542558944894135,1050,0.3163906473989611,0.332872690251154,0.32951755161141244,0.001479274194191598,0.32675380341207755,0.0027190608308474734,-0.016482042852192902,-0.013126904212451329,-0.010363156013116437,-8.87388170766069,-3.8112998045308393,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51017,current_global,1055157020,16,32,2048,2291,32,101,3.2987674881110216,3.9542558944894135,754,0.27843188607757885,0.29065015289713675,0.28955184220222746,0.0020155310825887775,0.28963649534897506,0.0030089308686397516,-0.0122182668195579,-0.011119956124648611,-0.011204609271396215,-5.517134526333366,-3.7237842145776803,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51017,exposure_matched_local,1155157020,16,128,2048,2296,128,122,4.739209505119604,4.389430931201968,1614,0.40103321951990656,0.42041264855739147,0.41903811425040116,0.0016765208958297235,0.41453326497472376,0.002003430795964038,-0.019379429037484908,-0.018004894730494603,-0.0135000454548172,-10.739439499549952,-6.738463580580564,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51017,exposure_matched_local,1155157020,16,64,2048,2296,64,122,4.058623217115125,4.389430931201968,1322,0.33407832470628473,0.35119530825629514,0.35335602953043455,0.0018715575256477734,0.35027756003608607,0.0028191944059153913,-0.0171169835500104,-0.01927770482414981,-0.01619923532980133,-10.300353881710109,-5.74605117540358,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51017,exposure_matched_local,1155157020,16,32,2048,2296,32,122,3.3691326284082956,4.389430931201968,961,0.28895927315150116,0.3009542744090575,0.30292433876090535,0.0018380390657026092,0.30245456666274856,0.003114056918328685,-0.011995001257556315,-0.013965065609404193,-0.013495293511247397,-7.597806744148772,-4.333669507393052,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51059,current_global,1055157062,16,128,2048,2313,128,116,4.719649109359565,4.085724813418213,1417,0.39183280404144294,0.40575539823981155,0.4013736911547392,0.0012533626493514028,0.39682643274913426,0.0017857963360916344,-0.01392259419836861,-0.00954088711329626,-0.004993628707691322,-7.6122318773688775,-2.796303591158832,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51059,current_global,1055157062,16,64,2048,2313,64,116,4.040267183751116,4.085724813418213,1142,0.33573186654741227,0.3440763755076439,0.3424858196042311,0.0015541693421680268,0.3405159216912961,0.0020854814192911705,-0.008344508960231645,-0.006753953056818807,-0.004784055143883803,-4.34569957955625,-2.2939811880509797,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51059,current_global,1055157062,16,32,2048,2313,32,116,3.3537384796060303,4.085724813418213,850,0.2925967409002921,0.3003006453723695,0.2999523489640332,0.0016955507267233088,0.3003881196394773,0.0024753140542735476,-0.007703904472077416,-0.007355608063741137,-0.0077913787391852285,-4.338182248286975,-3.147632408798258,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51059,exposure_matched_local,1155157062,16,128,2048,2339,128,115,4.7013503594240555,4.367054499900893,1555,0.3996366711981031,0.41713504946312024,0.4140199522678976,0.0017982613351594122,0.4071596424628862,0.002214097772898602,-0.017498378265017156,-0.014383281069794529,-0.007522971264783129,-7.998437595567544,-3.397759284556968,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51059,exposure_matched_local,1155157062,16,64,2048,2339,64,115,4.021887628989429,4.367054499900893,1262,0.33376850868655084,0.34976007535405546,0.3484358251936535,0.0017941990300937875,0.3444170241785044,0.002600203218471806,-0.01599156666750462,-0.014667316507102679,-0.010648515491953559,-8.174854774242064,-4.095262791887442,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51059,exposure_matched_local,1155157062,16,32,2048,2339,32,115,3.3397403885826162,4.367054499900893,921,0.28760757470617965,0.3009188213645668,0.30057451338385155,0.0014484161644850967,0.3010939762355536,0.003590292008731043,-0.013311246658387177,-0.012966938677671902,-0.01348640152937397,-8.952495143052737,-3.7563522678871517,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51091,current_global,1055157094,16,128,2048,2397,128,116,4.714889326346065,3.8401385578216005,1323,0.37070517517198937,0.38417079856546005,0.3826276204900727,0.0016518896234813264,0.3780712704181908,0.0020818756792427328,-0.013465623393470683,-0.011922445318083341,-0.0073660952462014095,-7.217458811174691,-3.5382013055077204,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51091,current_global,1055157094,16,64,2048,2397,64,116,4.036271247189962,3.8401385578216005,1045,0.3183193462050815,0.3314185687512115,0.3296474056006211,0.0016115729248504654,0.3268092726357869,0.0027806739682576724,-0.013099222546129996,-0.011328059395539603,-0.008489926430705397,-7.029194410541931,-3.0531901717428074,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51091,current_global,1055157094,16,32,2048,2397,32,116,3.3505853598037487,3.8401385578216005,767,0.27932093567302874,0.2911864408101746,0.29021032009892855,0.0019383193030467667,0.28977536320449043,0.0026957262130550006,-0.011865505137145849,-0.010889384425899817,-0.010454427531461696,-5.617951804319974,-3.878148856821016,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51091,exposure_matched_local,1155157094,16,128,2048,2457,128,112,4.677384457971079,3.903352863036018,1331,0.37005566822073344,0.38839969007781533,0.38697931401297037,0.0017186145211810619,0.3816743947978062,0.0021872229573331402,-0.018344021857081894,-0.01692364579223693,-0.011618726577072747,-9.847261025472253,-5.312090629863975,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51091,exposure_matched_local,1155157094,16,64,2048,2457,64,112,4.00110940136604,3.903352863036018,1034,0.319681142017868,0.3329321009365685,0.33324987420011926,0.0017765170541989572,0.33020900103419093,0.0023900110199049853,-0.013250958918700484,-0.013568732182251242,-0.010527859016322916,-7.637828272000164,-4.40494162103966,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3109,51091,exposure_matched_local,1155157094,16,32,2048,2457,32,112,3.314800793371782,3.903352863036018,744,0.2854951636998253,0.2972175225964183,0.2961853888944999,0.001626255393626533,0.29636983485892027,0.0030809230596096863,-0.01172235889659301,-0.010690225194674607,-0.010874671159094962,-6.573521746074284,-3.529679563134772,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51017,current_global,1056097020,16,128,2048,2329,128,128,4.644211660503583,4.5847702884838775,1538,0.429807839725541,0.4567610058618602,0.45167675216955994,0.0015759045232051421,0.4412331046272844,0.002309138923952008,-0.026953166136319207,-0.02186891244401895,-0.011425264901743393,-13.87705417555438,-4.9478464821811,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51017,current_global,1056097020,16,64,2048,2329,64,128,3.9667628541200353,4.5847702884838775,1249,0.3669292892588546,0.3915932286062242,0.3888172826739551,0.001781142062817078,0.3845038504572989,0.003063707817040501,-0.0246639393473696,-0.021887993415100504,-0.017574561198444305,-12.288740955610336,-5.736369865524933,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51017,current_global,1056097020,16,32,2048,2329,32,128,3.280263215342648,4.5847702884838775,887,0.3299914594390015,0.34824080427778514,0.34410821693587207,0.0019841131647223343,0.3450297488176853,0.002959337362302069,-0.018249344838783654,-0.01411675749687058,-0.015038289378683789,-7.1148953335260705,-5.081640765345355,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51017,exposure_matched_local,1156097020,16,128,2048,2334,128,125,4.647035195829178,4.365008212819277,1500,0.4038104644100195,0.4336321789860431,0.4287090673377395,0.0015310031849344516,0.4190580501145311,0.0021860994109084643,-0.029821714576023617,-0.024898602927720004,-0.015247585704511624,-16.26293346266684,-6.974790637803281,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51017,exposure_matched_local,1156097020,16,64,2048,2334,64,125,3.9700859813674625,4.365008212819277,1226,0.3396512496628716,0.3697306749110117,0.3671350161433828,0.0019689727364658963,0.3620893194087575,0.003400851378544261,-0.030079425248140113,-0.027483766480511207,-0.022438069745885914,-13.958429170452478,-6.597780158064585,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51017,exposure_matched_local,1156097020,16,32,2048,2334,32,125,3.2825825684541634,4.365008212819277,885,0.30015021912395773,0.3233035108034824,0.3218139322481998,0.0024314888248501325,0.32088908444826025,0.004361686772048132,-0.02315329167952468,-0.02166371312424209,-0.020738865324302524,-8.909649471893976,-4.7547809845510995,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51059,current_global,1056097062,16,128,2048,2359,128,117,4.5976248775981725,4.207032769266374,1408,0.3932926700547332,0.4146622672022917,0.4109180344378588,0.0018959014096692436,0.40027040175292317,0.0021806476084891132,-0.02136959714755854,-0.01762536438312562,-0.006977731698189993,-9.296561674164542,-3.1998437854085897,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51059,current_global,1056097062,16,64,2048,2359,64,117,3.921194473433273,4.207032769266374,1139,0.33631519536788634,0.35441580421199875,0.3528846355911057,0.0016494844415214786,0.34716136893543,0.002299965934904544,-0.01810060884411241,-0.016569440223219378,-0.010846173567543638,-10.045223711195352,-4.71579748331959,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51059,current_global,1056097062,16,32,2048,2359,32,117,3.2353087419295297,4.207032769266374,839,0.29580285013000085,0.3102461849245854,0.3106071136923067,0.001983308927637211,0.3100835250282114,0.0038320024101809423,-0.01444333479458454,-0.014804263562305853,-0.014280674898210555,-7.464426421930504,-3.726687347656506,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51059,exposure_matched_local,1156097062,16,128,2048,2255,128,116,4.7121987926600895,4.403163385641262,1476,0.42283112248453747,0.4377769085110229,0.43624269369503954,0.0018136590354941313,0.43087556831761836,0.002198919962710174,-0.014945786026485441,-0.013411571210502071,-0.008044445833080893,-7.394758853804122,-3.658362273070683,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51059,exposure_matched_local,1156097062,16,64,2048,2255,64,116,4.036737396278986,4.403163385641262,1180,0.36645910231490736,0.37745272783510014,0.3769830928594294,0.0019189012734013688,0.3755998668126531,0.0028941485622743907,-0.010993625520192785,-0.010523990544522022,-0.009140764497745757,-5.484383532597073,-3.1583604991453553,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51059,exposure_matched_local,1156097062,16,32,2048,2255,32,116,3.3488672464301033,4.403163385641262,859,0.32504302102873,0.33815344941495096,0.33777168571304755,0.0018914840037246587,0.3385425290989476,0.0025893797011805955,-0.013110428386220951,-0.012728664684317548,-0.013499508070217603,-6.729459334180256,-5.21341387825921,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51091,current_global,1056097094,16,128,2048,2307,128,123,4.606030409019019,4.087711898374276,1433,0.371308522819692,0.39978128442275984,0.39518373436796655,0.0015369418690464587,0.383065926498599,0.0024428340942726375,-0.02847276160306783,-0.023875211548274544,-0.011757403678906986,-15.534231989585315,-4.81301767748898,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51091,current_global,1056097094,16,64,2048,2307,64,123,3.9286545005707585,4.087711898374276,1139,0.31577777443540944,0.3336920573287621,0.3333544816302007,0.001565539516291276,0.32607103263601916,0.002658009408762296,-0.017914282893352673,-0.017576707194791263,-0.010293258200609723,-11.227252338177987,-3.872543929557716,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51091,current_global,1056097094,16,32,2048,2307,32,123,3.2441129375605553,4.087711898374276,847,0.2684904979801747,0.28327510485499147,0.2844106898001386,0.0022398752664266885,0.28370558028112175,0.0034569191229196243,-0.014784606874816753,-0.015920191819963903,-0.015215082300947036,-7.107624276490029,-4.401341703388413,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51091,exposure_matched_local,1156097094,16,128,2048,2310,128,103,4.680796530490854,4.022997069224611,1361,0.3907190308592112,0.4073697070333605,0.4051514670946709,0.0016465291867701686,0.3987574349962589,0.002189859584271992,-0.01665067617414928,-0.0144324362354597,-0.00803840413704765,-8.765369209014974,-3.6707395281327946,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51091,exposure_matched_local,1156097094,16,64,2048,2310,64,103,3.99884220633581,4.022997069224611,1081,0.3365261306028103,0.3509336417734794,0.3496397533627571,0.0016195737550401962,0.34723198028814783,0.002670253648015884,-0.01440751117066913,-0.01311362275994682,-0.010705849685337554,-8.09695928890954,-4.009300649506638,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16c,3203,51091,exposure_matched_local,1156097094,16,32,2048,2310,32,103,3.3135546293733604,4.022997069224611,777,0.3016198063258673,0.31347747056673614,0.3121366588834985,0.0016619490489035952,0.3122360189814345,0.002499797364133586,-0.011857664240868815,-0.010516852557631184,-0.01061621265556717,-6.328023452084322,-4.246829286199636,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61001,current_global,1570147005,16,128,3072,3673,128,158,4.541606030868573,3.7981971437659965,1670,0.35431607510731067,0.3749035345669917,0.37248085007970666,0.0013251356948256981,0.360536865628282,0.0019153031778121482,-0.020587459459681046,-0.01816477497239599,-0.006220790520971353,-13.707860291836225,-3.2479403746812374,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61001,current_global,1570147005,16,64,3072,3673,64,158,3.859212880878453,3.7981971437659965,1337,0.3093094337882513,0.3276548276424124,0.32834122668928206,0.0013854764826787783,0.3229440815940123,0.002460275405258753,-0.018345393854161063,-0.019031792901030742,-0.013634647805760958,-13.736640887785642,-5.541919321965896,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61001,current_global,1570147005,16,32,3072,3673,32,158,3.1715574321150144,3.7981971437659965,964,0.28213724145579816,0.29928195915176903,0.2985973509656027,0.0011969772333060935,0.2986147551949986,0.0028333009795700496,-0.017144717695970868,-0.016460109509804532,-0.016477513739200422,-13.751397312997447,-5.81565949329565,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61001,exposure_matched_local,1670147005,16,128,3072,3521,128,169,4.615886805022963,4.5059532130475874,2075,0.36106684422560825,0.3904180865850781,0.3888981086650095,0.0014752506118094315,0.3781988593312806,0.001758290855712025,-0.029351242359469842,-0.02783126443940126,-0.01713201510567236,-18.865448498452423,-9.74356151032515,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61001,exposure_matched_local,1670147005,16,64,3072,3521,64,169,3.9329243200837025,4.5059532130475874,1636,0.3064406968724485,0.3317204311743055,0.3331400224997922,0.0014168177210809017,0.3267375332523556,0.003070712752408171,-0.025279734301856982,-0.026699325627343673,-0.02029683637990709,-18.84457346212083,-6.609812775222798,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61001,exposure_matched_local,1670147005,16,32,3072,3521,32,169,3.2447518806858677,4.5059532130475874,1144,0.27432216502800066,0.29172249324150384,0.29205554361826946,0.0014993066446168277,0.2908623725407682,0.0034731845615267377,-0.01740032821350318,-0.0177333785902688,-0.016540207512767524,-11.8277196022171,-4.7622598856355625,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61043,current_global,1570147047,16,128,3072,3685,128,167,4.609271269749083,4.527633426631414,1947,0.3867560676320723,0.40987281972284023,0.40792391866835037,0.0012594972088537913,0.4005641126698576,0.001996817469324299,-0.02311675209076791,-0.02116785103627805,-0.013808045037785266,-16.806588285766754,-6.915026160331898,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61043,current_global,1570147047,16,64,3072,3685,64,167,3.925388460777171,4.527633426631414,1474,0.3480544253848698,0.36296844365898223,0.3631248365672269,0.0010637000441556057,0.3611295042963943,0.002593419154378171,-0.014914018274112428,-0.01507041118235708,-0.013075078911524485,-14.167914408916271,-5.041637364886172,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61043,current_global,1570147047,16,32,3072,3685,32,167,3.2375154940199122,4.527633426631414,1017,0.32587906833096836,0.3351790347388223,0.33503846593656605,0.0014002102430904018,0.3369149184336773,0.0025253340482536838,-0.009299966407853966,-0.009159397605597697,-0.011035850102708966,-6.541444508634649,-4.370055561695081,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61043,exposure_matched_local,1670147047,16,128,3072,3629,128,187,4.530099077891119,4.45734918505624,1919,0.37201604376265873,0.4060562778768597,0.40346577156693647,0.0014214620762666873,0.39102936980848346,0.00282022006680134,-0.034040234114200985,-0.03144972780427774,-0.01901332604582473,-22.124915134476865,-6.741788085845874,1
v16f_old_data_design_calibration_not_analysis_holdout_evidence,v16d,3407,61043,exposure_matched_local,1670147047,16,64,3072,3629,64,187,3.851870085056062,4.45734918505624,1497,0.32775443230924045,0.3553052489216785,0.35533554997169203,0.001666914132016804,0.347363562009905,0.0035215808871816106,-0.027550816612438023,-0.027581117662451582,-0.01960912970066453,-16.546213828711807,-5.568274683691305,1
