stage,growth_seed,run_offset,arm,run_seed,source_events,reconstructed_events,error_categories,total_errors,error_detail,residual_mean,residual_sd,min_total_rate,max_total_rate,min_concrete_hazard,max_concrete_hazard,reconstruction_pass
v16c,3109,51017,current_global,1055157020,2048,2048,0,0,{},1.006497362815903,0.9954967495456809,25.53,168.49,0.00026143790849673205,0.9800000000000002,1
v16c,3109,51017,exposure_matched_local,1155157020,2048,2048,0,0,{},0.9890616101847146,0.9584762522232264,25.50209489155458,126.33047445777291,0.00025641025641025646,0.9800000000000002,1
v16c,3109,51059,current_global,1055157062,2048,2048,0,0,{},1.0168345537412247,1.0341229773783003,25.52,144.87,0.00037037037037037046,0.9800000000000002,1
v16c,3109,51059,exposure_matched_local,1155157062,2048,2048,0,0,{},0.9887794216395621,0.9805219231283423,25.46209489155458,134.7945060882911,0.00025974025974025974,0.9800000000000002,1
v16c,3109,51091,current_global,1055157094,2048,2048,0,0,{},1.0236318340352697,1.0396885323460066,25.48,154.74,0.0002222222222222223,0.9800000000000002,1
v16c,3109,51091,exposure_matched_local,1155157094,2048,2048,0,0,{},1.0079688865498369,1.0003200050754113,25.24209489155458,149.16105748788317,0.00020833333333333335,0.9800000000000002,1
v16c,3203,51017,current_global,1056097020,2048,2048,0,0,{},1.0271475016535203,1.0213510312421885,14.72,124.1,0.0003030303030303031,0.9800000000000002,1
v16c,3203,51017,exposure_matched_local,1156097020,2048,2048,0,0,{},1.0099241620532524,1.018526969538777,14.65705535340684,151.77206539551273,0.00012345679012345677,0.9800000000000002,1
v16c,3203,51059,current_global,1056097062,2048,2048,0,0,{},1.0130446436277283,1.0387276427283387,14.65,160.73,0.00012345679012345682,0.9800000000000002,1
v16c,3203,51059,exposure_matched_local,1156097062,2048,2048,0,0,{},0.9933269355201737,1.0095931629801358,14.597055353406839,126.2704744577729,0.00025641025641025646,0.9800000000000002,1
v16c,3203,51091,current_global,1056097094,2048,2048,0,0,{},1.0332863793973777,1.0095362426394996,14.72,168.11,0.0001,0.9800000000000002,1
v16c,3203,51091,exposure_matched_local,1156097094,2048,2048,0,0,{},1.042110966107866,1.0431022575558269,14.627055353406838,126.13997050395812,0.0002469135802469136,0.9800000000000002,1
v16d,3407,61001,current_global,1570147005,3072,3072,0,0,{},1.0436484055622954,1.0514897823353766,14.88,237.27,0.00015873015873015873,0.9800000000000002,1
v16d,3407,61001,exposure_matched_local,1670147005,3072,3072,0,0,{},0.9608332002945924,0.9661210762907768,14.877055353406838,222.75583030110258,0.000125,0.9800000000000002,1
v16d,3407,61043,current_global,1570147047,3072,3072,0,0,{},0.9936652285055719,0.9790252824849393,14.91,202.63,0.00014705882352941178,0.9800000000000002,1
v16d,3407,61043,exposure_matched_local,1670147047,3072,3072,0,0,{},0.9902634390775574,1.0084003354410596,14.547055353406838,211.63028680914007,0.00012121212121212122,0.9800000000000002,1
v16d,3407,61091,current_global,1570147095,3072,3072,0,0,{},1.0482175556718478,1.0700202036130757,14.71,211.42,0.00018518518518518523,0.9800000000000002,1
v16d,3407,61091,exposure_matched_local,1670147095,3072,3072,0,0,{},1.029371572045546,1.0252164124998537,14.877055353406838,220.83431843965826,0.00014705882352941175,0.9800000000000002,1
v16d,3511,61001,current_global,1571187005,3072,3072,0,0,{},1.011025994442459,0.9785282747826612,20.98,192.9,0.00017094017094017097,0.9800000000000002,1
v16d,3511,61001,exposure_matched_local,1671187005,3072,3072,0,0,{},1.0029824625242225,1.022108945655,21.200079076295484,203.52625517862188,0.00030303030303030303,0.9800000000000002,1
v16d,3511,61043,current_global,1571187047,3072,3072,0,0,{},1.0227818241822344,1.051512279153932,21.19,208.38,0.00014285714285714287,0.9800000000000002,1
v16d,3511,61043,exposure_matched_local,1671187047,3072,3072,0,0,{},1.0133483555637939,1.0318179748767444,20.940079076295483,175.39315237943774,0.0002222222222222223,0.9800000000000002,1
v16d,3511,61091,current_global,1571187095,3072,3072,0,0,{},0.98595367470087,1.020044452664641,21.23,197.56,0.00010416666666666666,0.9800000000000002,1
v16d,3511,61091,exposure_matched_local,1671187095,3072,3072,0,0,{},0.9926182862723772,1.0165035396626496,21.050079076295486,209.1492789015105,0.00019047619047619045,0.9800000000000002,1
