stage,growth_seed,run_offset,arm,run_seed,depth_window,clock_bins,event_count,depth_components,observed_nmi,waiting_null_mean_nmi,waiting_minus_observed_nmi,rate_null_mean_nmi,rate_null_sd_nmi,observed_minus_rate_null,rate_conditional_z,rate_lower_tail_p,rate_explained_fraction,family_rate_null_mean_nmi,family_rate_null_sd_nmi,observed_minus_family_rate_null,family_rate_conditional_z,family_rate_lower_tail_p,family_rate_explained_fraction,family_hazard_null_mean_nmi,family_hazard_null_sd_nmi,observed_minus_family_hazard_null,family_hazard_conditional_z,family_hazard_lower_tail_p,family_hazard_explained_fraction
v16e_analysis_holdout,3701,71003,current_global,1573097008,16,128,3072,183,0.36852857747325,0.38549504685415376,0.016966469380903737,0.36994343800035895,0.0013567717391315822,-0.0014148605271089298,-1.0428139725364032,0.18461538461538463,0.9166084295238586,0.36998865571357614,0.0011857334847484927,-0.0014600782403261237,-1.2313713487106444,0.13846153846153847,0.9139433073819421,0.36959429756803397,0.001049418617786537,-0.0010657200947839507,-1.0155338172213841,0.18461538461538463,0.9371866903562476
v16e_analysis_holdout,3701,71003,current_global,1573097008,16,64,3072,183,0.31885975697329255,0.3321667233378007,0.013306966364508122,0.31841471633599944,0.0014885139522438356,0.0004450406372931148,0.29898318159681725,0.6,1.0334441844296016,0.31786630825117773,0.0015484834376314775,0.0009934487221148203,0.6415623815998802,0.7230769230769231,1.0746562886612918,0.3181335016296385,0.0015438213534550711,0.0007262553436540586,0.4704270620617468,0.676923076923077,1.054577078182981
v16e_analysis_holdout,3701,71003,current_global,1573097008,16,32,3072,183,0.28489052985233393,0.295185776116144,0.010295246263810065,0.2825281401412379,0.0014589655903805869,0.0023623897110960357,1.6192223632085667,0.9692307692307692,1.2294641284492949,0.28229897833760953,0.0011085102470805663,0.0025915515147243995,2.337868794221481,1.0,1.251723120391422,0.28253897073743495,0.001524200832605472,0.0023515591148989823,1.5428144799522399,0.9230769230769231,1.2284121287283047
v16e_analysis_holdout,3701,71003,exposure_matched_local,1673097008,16,128,3072,154,0.3627899115784919,0.3797077814723136,0.016917869893821713,0.3625389051306982,0.00129222533065695,0.0002510064477936891,0.19424355941550903,0.6153846153846154,1.0148367642835079,0.3624716591078766,0.0014643277765091904,0.00031825247061528783,0.21733690756994967,0.6307692307692307,1.0188116159193015,0.3621121674151657,0.0016608590213440012,0.000677744163326166,0.4080684480840051,0.6307692307692307,1.0400608449869728
v16e_analysis_holdout,3701,71003,exposure_matched_local,1673097008,16,64,3072,154,0.3100446780869333,0.3256348731350767,0.015590195048143407,0.3101933476007883,0.001359358775329437,-0.00014866951385500426,-0.10936738450007402,0.4461538461538462,0.9904639093099282,0.3100758315374635,0.0014693851145542996,-3.115345053017471e-05,-0.021201691933312058,0.5230769230769231,0.9980017279813388,0.3101890946431209,0.001265715549654767,-0.00014441655618757654,-0.11409874535156592,0.47692307692307695,0.9907367062604663
v16e_analysis_holdout,3701,71003,exposure_matched_local,1673097008,16,32,3072,154,0.2768841493068538,0.28987480974529334,0.01299066043843955,0.278759652373269,0.002066665225915726,-0.0018755030664152073,-0.9075021164030976,0.23076923076923078,0.8556268116388012,0.2788555457101097,0.001917704431762592,-0.0019713964032558873,-1.0279980431833002,0.16923076923076924,0.8482450978841308,0.27902217917973576,0.0020143089403671923,-0.0021380298728819747,-1.0614210313201653,0.16923076923076924,0.835417923283137
v16e_analysis_holdout,3701,71047,current_global,1573097052,16,128,3072,172,0.37682263891147716,0.39899448298128826,0.022171844069811097,0.3782146182255582,0.0016014512939836398,-0.0013919793140810266,-0.8691986570621528,0.23076923076923078,0.9372186043840923,0.37837601652846165,0.0016837687208735822,-0.001553377616984486,-0.922559967843181,0.2153846153846154,0.9299391781714925,0.37848300382736694,0.0016543549514526613,-0.0016603649158897782,-1.0036328143678233,0.2,0.9251138105309648
v16e_analysis_holdout,3701,71047,current_global,1573097052,16,64,3072,172,0.32402594034856186,0.3428699486432551,0.018844008294693237,0.324050921162733,0.0015849749531971103,-2.4980814171127186e-05,-0.01576101510042003,0.5076923076923077,0.9986743364903866,0.32409234237271756,0.0016091557905859662,-6.64020241556984e-05,-0.041265130787317014,0.4307692307692308,0.9964762261235898,0.3242990682122199,0.0013749913859848963,-0.0002731278636580181,-0.19863969072241033,0.38461538461538464,0.9855058510171143
v16e_analysis_holdout,3701,71047,current_global,1573097052,16,32,3072,172,0.28886948568087173,0.3036458214859671,0.014776335805095353,0.2892583289830646,0.0013087660852358133,-0.0003888433021928539,-0.2971067989760693,0.4153846153846154,0.9736847275723953,0.28897735667293456,0.0011347207286294219,-0.00010787099206283068,-0.09506391250393673,0.5076923076923077,0.9926997468461949,0.28868586706118177,0.0013861272757091745,0.00018361861968996251,0.13246880204129813,0.5538461538461539,1.0124265326744026
v16e_analysis_holdout,3701,71047,exposure_matched_local,1673097052,16,128,3072,149,0.362381065014478,0.3785903502193722,0.01620928520489423,0.3625997324952761,0.0012795620240774743,-0.00021866748079812925,-0.17089244341694332,0.5230769230769231,0.9865097394466164,0.36259253660949686,0.0015452345106069273,-0.00021147159501888613,-0.1368540461446371,0.4307692307692308,0.9869536754800863,0.3623243997419628,0.0013187504175546695,5.666527251518838e-05,0.04296891342052545,0.6,1.0034958526424151
