purpose_ref,spec_digest,source_event_log_sha256,source_depth_membership_sha256,source_run_summary_sha256,design_selection_sha256,target_nodes,growth_seed,run_offset,arm,run_seed,steps,depth_window,clock_bins,null_replicates_per_family,primary_null_family,min_median_explained_fraction,min_conditionally_nonsurprising_fraction,prepared_before_v16e_mechanism_computation
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3701,71003,current_global,1573097008,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3701,71003,exposure_matched_local,1673097008,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3701,71047,current_global,1573097052,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3701,71047,exposure_matched_local,1673097052,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3701,71089,current_global,1573097094,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3701,71089,exposure_matched_local,1673097094,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3803,71003,current_global,1574117008,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3803,71003,exposure_matched_local,1674117008,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3803,71047,current_global,1574117052,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
purpose://prompt.unknown,13db516eaceb203d141f3238c6000ede5d6345e8a69946dcdee94689b42f94d0,260bb00439d4abe8b6d61da9137df749c1cf9ef8a37c1875ea21214fc488fb20,e3f506aa2a92836c9899e96434f3d039e3f7eb79e44eef99ae31793d4a51de3c,9f991bd118e45b121e7f93afba59cab399b30648eafb2aa31d2af305258d8821,7bc40370856261146fd4fea12ed7d9c03c6de60689f60187a88c70f568ee6dff,1536,3803,71047,exposure_matched_local,1674117052,3072,16,128;64;32,64,total_rate_profile,0.5,0.8333333333333334,1
