growth_seed,run_offset,arm,run_seed,scale_window,parent_coarse_event_id,child_coarse_event_id,fine_edge_witness_count,first_parent_event_id,first_child_event_id,conflict_types,witness_resources
4001,81013,current_global,1840091013,16,0,25,1,387,390,RAW;WAW,token:36
4001,81013,current_global,1840091013,16,0,77,1,297,2496,WAR,edge:5:240
4001,81013,current_global,1840091013,16,1,20,1,274,313,RAW;WAW,token:33
4001,81013,current_global,1840091013,16,2,29,1,416,433,RAW;WAW,token:29
4001,81013,current_global,1840091013,16,2,40,1,619,664,RAW;WAW,token:44
4001,81013,current_global,1840091013,16,2,41,7,101,1697,RAW;WAR;WAW,adj:70;edge:70:1410;edge:70:875;token:59
4001,81013,current_global,1840091013,16,2,47,1,719,768,RAW;WAW,token:47
4001,81013,current_global,1840091013,16,3,56,1,1065,1077,RAW;WAW,token:23
4001,81013,current_global,1840091013,16,3,74,2,456,1934,WAR,edge:7:1048
4001,81013,current_global,1840091013,16,4,57,1,1221,1232,RAW;WAW,token:25
4001,81013,current_global,1840091013,16,5,17,1,220,237,RAW;WAW,token:51
4001,81013,current_global,1840091013,16,5,18,1,358,1448,RAW,edge:1:1463
4001,81013,current_global,1840091013,16,5,23,1,309,363,RAW;WAW,token:56
4001,81013,current_global,1840091013,16,5,27,1,383,420,RAW;WAW,token:49
4001,81013,current_global,1840091013,16,5,30,1,371,476,RAW;WAW,token:40
4001,81013,current_global,1840091013,16,5,33,1,542,546,RAW;WAW,token:50
4001,81013,current_global,1840091013,16,5,36,1,512,575,RAW;WAW,token:41
4001,81013,current_global,1840091013,16,5,39,1,607,662,RAW;WAW,token:53
4001,81013,current_global,1840091013,16,5,43,1,616,725,RAW;WAW,token:46
4001,81013,current_global,1840091013,16,5,46,1,676,751,RAW;WAW,token:81
4001,81013,current_global,1840091013,16,5,49,2,611,800,RAW;WAR;WAW,token:31
4001,81013,current_global,1840091013,16,5,51,1,869,880,RAW;WAW,token:19
4001,81013,current_global,1840091013,16,5,52,1,596,894,RAW;WAW,token:55
4001,81013,current_global,1840091013,16,5,55,1,748,912,RAW;WAW,token:45
4001,81013,current_global,1840091013,16,5,68,9,5,2138,WAR,edge:134:1148;edge:51:134
4001,81013,current_global,1840091013,16,5,70,2,358,2359,RAW,edge:1:1463
4001,81013,current_global,1840091013,16,5,102,1,371,2520,WAR,edge:337:494
4001,81013,current_global,1840091013,16,5,105,1,67,2814,WAR,edge:32:623
4001,81013,current_global,1840091013,16,6,28,1,355,429,RAW;WAW,token:34
4001,81013,current_global,1840091013,16,7,18,3,332,1119,RAW;WAR;WAW,edge:5:107;token:58;token:66
4001,81013,current_global,1840091013,16,7,32,1,529,535,RAW;WAW,token:30
4001,81013,current_global,1840091013,16,7,76,1,320,2095,WAR,edge:107:696
4001,81013,current_global,1840091013,16,8,42,1,645,704,RAW;WAW,token:20
4001,81013,current_global,1840091013,16,9,18,15,165,838,RAW;WAR;WAW,adj:72;edge:237:1500;edge:3:609;edge:5:35;edge:668:1406;token:12;token:39;token:48;token:52;token:67;token:69
4001,81013,current_global,1840091013,16,9,19,1,311,312,RAW;WAW,token:35
4001,81013,current_global,1840091013,16,9,21,1,339,351,RAW;WAW,token:43
4001,81013,current_global,1840091013,16,9,22,1,340,356,RAW;WAW,token:54
4001,81013,current_global,1840091013,16,9,24,2,338,492,RAW;WAW,edge:3:609;token:32
4001,81013,current_global,1840091013,16,9,34,3,338,1005,RAW;WAW,edge:3:609;token:42
4001,81013,current_global,1840091013,16,9,37,2,527,591,RAW;WAR;WAW,token:68
4001,81013,current_global,1840091013,16,9,50,1,794,851,RAW;WAW,token:65
4001,81013,current_global,1840091013,16,9,54,3,165,1385,RAW,edge:237:1500
4001,81013,current_global,1840091013,16,9,76,4,165,3038,RAW;WAR,edge:107:262;edge:237:1500;edge:72:107
4001,81013,current_global,1840091013,16,9,77,8,25,2496,WAR,edge:446:1053;edge:5:240
4001,81013,current_global,1840091013,16,9,86,1,338,1640,RAW,edge:3:609
4001,81013,current_global,1840091013,16,9,108,2,338,2174,RAW,edge:3:609
4001,81013,current_global,1840091013,16,10,26,1,307,400,RAW;WAW,token:38
4001,81013,current_global,1840091013,16,10,76,1,123,3052,WAR,edge:72:107
4001,81013,current_global,1840091013,16,11,45,5,523,978,RAW;WAW,node:1539;token:22
4001,81013,current_global,1840091013,16,12,18,1,466,468,RAW;WAW,token:26
4001,81013,current_global,1840091013,16,13,18,7,364,905,RAW;WAR;WAW,edge:5:107;edge:5:35;edge:72:312;token:60;token:61;token:70;token:78
4001,81013,current_global,1840091013,16,13,44,1,661,732,RAW;WAW,token:37
4001,81013,current_global,1840091013,16,13,53,1,698,904,RAW;WAW,token:57
4001,81013,current_global,1840091013,16,13,76,1,493,3052,WAR,edge:72:107
4001,81013,current_global,1840091013,16,14,31,1,485,502,RAW;WAW,token:27
4001,81013,current_global,1840091013,16,15,54,1,808,907,RAW;WAW,token:28
4001,81013,current_global,1840091013,16,16,35,1,565,567,RAW;WAW,token:63
4001,81013,current_global,1840091013,16,16,38,1,600,648,RAW;WAW,token:24
4001,81013,current_global,1840091013,16,16,48,3,501,777,RAW;WAR;WAW,token:64;token:86
4001,81013,current_global,1840091013,16,16,89,1,510,1760,WAR,edge:872:1211
4001,81013,current_global,1840091013,16,17,93,1,1265,1686,RAW;WAW,token:51
4001,81013,current_global,1840091013,16,18,68,1,1923,2200,RAW;WAW,token:60
4001,81013,current_global,1840091013,16,18,69,4,745,1660,RAW;WAW,edge:107:668;edge:5:1406;token:98
4001,81013,current_global,1840091013,16,18,74,1,1211,1325,RAW;WAW,token:61
4001,81013,current_global,1840091013,16,18,76,45,322,3052,RAW;WAR;WAW,adj:107;adj:35;adj:72;edge:107:262;edge:107:668;edge:107:696;edge:35:240;edge:42:107;edge:72:107;edge:72:312;token:100;token:102;token:104;token:106;token:108;token:115;token:117;token:118;token:126;token:26;token:77;token:78
4001,81013,current_global,1840091013,16,18,77,9,571,1993,RAW;WAR;WAW,adj:240;adj:5;edge:35:240;edge:446:1053;edge:5:240;token:67
4001,81013,current_global,1840091013,16,18,79,1,1406,1447,RAW;WAW,token:97
4001,81013,current_global,1840091013,16,18,83,1,1378,1510,RAW;WAW,token:103
4001,81013,current_global,1840091013,16,18,89,1,1576,1625,RAW;WAW,token:80
