growth_seed,run_offset,arm,run_seed,scale_window,membership_rows,unique_fine_events,coarse_nodes,event_coverage_errors,duplicate_membership_errors,depth_bin_errors,quotient_edges,quotient_witness_errors,self_edges,quotient_invalid_edges,quotient_acyclic,identity_membership_pass,identity_edge_pass,map_integrity_pass
4001,81013,current_global,1840091013,16,3072,3072,167,0,0,0,195,0,0,0,1,1,1,1
4001,81013,exposure_matched_local,1940091013,16,3072,3072,164,0,0,0,208,0,0,0,1,1,1,1
4001,81047,current_global,1840091047,16,3072,3072,148,0,0,0,172,0,0,0,1,1,1,1
4001,81047,exposure_matched_local,1940091047,16,3072,3072,150,0,0,0,189,0,0,0,1,1,1,1
4001,81091,current_global,1840091091,16,3072,3072,165,0,0,0,202,0,0,0,1,1,1,1
4001,81091,exposure_matched_local,1940091091,16,3072,3072,156,0,0,0,170,0,0,0,1,1,1,1
4127,81013,current_global,1841351013,16,3072,3072,147,0,0,0,189,0,0,0,1,1,1,1
4127,81013,exposure_matched_local,1941351013,16,3072,3072,162,0,0,0,199,0,0,0,1,1,1,1
4127,81047,current_global,1841351047,16,3072,3072,170,0,0,0,224,0,0,0,1,1,1,1
4127,81047,exposure_matched_local,1941351047,16,3072,3072,179,0,0,0,237,0,0,0,1,1,1,1
4127,81091,current_global,1841351091,16,3072,3072,149,0,0,0,214,0,0,0,1,1,1,1
4127,81091,exposure_matched_local,1941351091,16,3072,3072,177,0,0,0,223,0,0,0,1,1,1,1
