growth_seed,run_offset,arm,run_seed,steps,initial_nodes,final_nodes,initial_tokens,final_tokens,total_time,invalid_events,n_events,fine_edges,fine_causal_depth,fine_max_layer_width,fine_comparable_pair_fraction,fine_acyclic,fine_edge_witness_errors,topological_replay_failures,min_reordered_position_fraction,relabel_pass,coarse_map_transport_pass,seed_events,birth_events,move_events,swap_events,stuck_events,death_events,delete_events,triad_events
4001,81013,current_global,1840091013,3072,1536,1537,21,196,37.41103780625939,0,3072,3498,59,106,0.02612201339140345,1,0,0,0.998046875,1,1,1,175,2864,32,0,0,0,0
4001,81013,exposure_matched_local,1940091013,3072,1536,1538,21,199,40.16029822998065,0,3072,3650,66,110,0.033786115746770866,1,0,0,0.9970703125,1,1,2,178,2839,53,0,0,0,0
4001,81047,current_global,1840091047,3072,1536,1537,21,221,35.526536912603085,0,3072,3564,54,108,0.03171936055030935,1,0,0,0.998046875,1,1,1,200,2833,38,0,0,0,0
4001,81047,exposure_matched_local,1940091047,3072,1536,1536,21,202,37.207140326066394,0,3072,3669,61,103,0.03154573530608922,1,0,0,0.9970703125,1,1,0,181,2841,50,0,0,0,0
4001,81091,current_global,1840091091,3072,1536,1537,21,218,34.89187931949374,0,3072,3529,60,108,0.022043198130359275,1,0,0,0.998046875,1,1,1,197,2815,59,0,0,0,0
4001,81091,exposure_matched_local,1940091091,3072,1536,1542,21,220,33.73709583543852,0,3072,3604,57,123,0.02726870319114295,1,0,0,0.9983723958333334,1,1,6,199,2829,38,0,0,0,0
4127,81013,current_global,1841351013,3072,1536,1538,13,203,40.75320498030607,0,3072,3622,60,108,0.03008232253337675,1,0,0,0.9983723958333334,1,1,2,190,2835,45,0,0,0,0
4127,81013,exposure_matched_local,1941351013,3072,1536,1537,13,207,38.49547828181355,0,3072,3602,64,97,0.03927322465537827,1,0,0,0.998046875,1,1,1,194,2831,46,0,0,0,0
4127,81047,current_global,1841351047,3072,1536,1536,13,203,45.78341068548985,0,3072,3501,64,105,0.030153341406165202,1,0,0,0.998046875,1,1,0,190,2847,35,0,0,0,0
4127,81047,exposure_matched_local,1941351047,3072,1536,1537,13,197,41.816080392965446,0,3072,3482,69,106,0.027876709540866167,1,0,0,0.9983723958333334,1,1,1,184,2844,43,0,0,0,0
4127,81091,current_global,1841351091,3072,1536,1537,13,198,42.24211216326564,0,3072,3690,62,108,0.037663746201020296,1,0,0,0.9986979166666666,1,1,1,185,2840,46,0,0,0,0
4127,81091,exposure_matched_local,1941351091,3072,1536,1538,13,206,43.556779285733576,0,3072,3495,66,99,0.033001516199934876,1,0,0,0.9983723958333334,1,1,2,193,2838,39,0,0,0,0
