stage,target_nodes,growth_seed,run_offset,arm,run_seed,bin_label,open_volume_low,open_volume_high,observed_count,observed_probability,null_mean_probability,observed_minus_null_probability
v16c,1024,3109,51017,current_global,1055157020,open_0,0,0,2091,0.03452774108322325,0.03926661869620914,-0.004738877612985894
v16c,1024,3109,51017,current_global,1055157020,open_1,1,1,2191,0.03617899603698811,0.04262638308328218,-0.006447387046294065
v16c,1024,3109,51017,current_global,1055157020,open_2_3,2,3,4619,0.07627146631439895,0.09213266002562294,-0.015861193711223992
v16c,1024,3109,51017,current_global,1055157020,open_4_7,4,7,9760,0.16116248348745046,0.1876217923179351,-0.02645930883048464
v16c,1024,3109,51017,current_global,1055157020,open_8_15,8,15,18767,0.3098910171730515,0.2989840544176106,0.010906962755440897
v16c,1024,3109,51017,current_global,1055157020,open_16_31,16,31,20869,0.3446003963011889,0.28048254532778516,0.06411785097340372
v16c,1024,3109,51017,current_global,1055157020,open_32_63,32,63,2189,0.036145970937912816,0.055797609358285816,-0.019651638420373
v16c,1024,3109,51017,current_global,1055157020,open_64_127,64,127,74,0.0012219286657859975,0.002943673529343986,-0.0017217448635579887
v16c,1024,3109,51017,current_global,1055157020,open_128_plus,128,,0,0.0,0.00014466324392510685,-0.00014466324392510685
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_0,0,0,2097,0.038211337670147054,0.03613483904077802,0.002076498629369032
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_1,1,1,2156,0.03928643014632191,0.0397789528078995,-0.0004925226615775866
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_2_3,2,3,4430,0.08072304524499353,0.0878494138449973,-0.007126368600003763
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_4_7,4,7,8915,0.16244829534065855,0.18733652271028944,-0.024888227369630894
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_8_15,8,15,16441,0.29958636272526834,0.3123469212158754,-0.012760558490607032
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_16_31,16,31,17936,0.3268281127571567,0.25939402233559045,0.06743409042156623
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_32_63,32,63,2644,0.04817872045773429,0.07127938821248295,-0.023100667754748658
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_64_127,64,127,260,0.00473769565771971,0.0055691765497971986,-0.0008314808920774882
v16c,1024,3109,51017,exposure_matched_local,1155157020,open_128_plus,128,,0,0.0,0.00031076328228978457,-0.00031076328228978457
v16c,1024,3109,51059,current_global,1055157062,open_0,0,0,2107,0.03473000593393552,0.03693381168014242,-0.002203805746206898
v16c,1024,3109,51059,current_global,1055157062,open_1,1,1,2180,0.03593327619173205,0.04055440292451132,-0.004621126732779271
v16c,1024,3109,51059,current_global,1055157062,open_2_3,2,3,4583,0.07554229577371926,0.08805079017314799,-0.012508494399428721
v16c,1024,3109,51059,current_global,1055157062,open_4_7,4,7,9542,0.15728225753280148,0.1745869723388772,-0.017304714806075733
v16c,1024,3109,51059,current_global,1055157062,open_8_15,8,15,17613,0.29031779521329204,0.27017481520557773,0.020142980007714306
v16c,1024,3109,51059,current_global,1055157062,open_16_31,16,31,19822,0.3267290828772994,0.30556572012172,0.021163362755579396
v16c,1024,3109,51059,current_global,1055157062,open_32_63,32,63,4429,0.07300389002439507,0.08187019805548033,-0.008866308031085263
v16c,1024,3109,51059,current_global,1055157062,open_64_127,64,127,379,0.006247115448012132,0.002247734942023393,0.003999380505988739
v16c,1024,3109,51059,current_global,1055157062,open_128_plus,128,,13,0.00021428100481308104,1.5554558519618752e-05,0.0001987264462934623
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_0,0,0,2102,0.03387099373177138,0.041502679513054905,-0.007631685781283523
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_1,1,1,2193,0.03533734027296605,0.04576478126995862,-0.010427440996992575
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_2_3,2,3,4582,0.07383296540388985,0.09810472742754658,-0.02427176202365673
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_4_7,4,7,9581,0.15438534298006734,0.18597640933805673,-0.03159106635798939
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_8_15,8,15,18208,0.293398217824973,0.2691962337136007,0.02420198411137231
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_16_31,16,31,20228,0.3259478882998437,0.27994459542063005,0.046003292879213675
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_32_63,32,63,4862,0.07834480091525806,0.07565038492149831,0.0026944159937597467
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_64_127,64,127,303,0.004882450571230603,0.0038375997870123487,0.001044850784218254
v16c,1024,3109,51059,exposure_matched_local,1155157062,open_128_plus,128,,0,0.0,2.2588608641742516e-05,-2.2588608641742516e-05
v16c,1024,3109,51091,current_global,1055157094,open_0,0,0,2141,0.03025335952182453,0.03917762960721439,-0.00892427008538986
v16c,1024,3109,51091,current_global,1055157094,open_1,1,1,2313,0.03268380222978988,0.044359377104981924,-0.011675574875192045
v16c,1024,3109,51091,current_global,1055157094,open_2_3,2,3,5048,0.07133066738261103,0.09983840657833612,-0.028507739195725093
v16c,1024,3109,51091,current_global,1055157094,open_4_7,4,7,11220,0.15854399525215843,0.2046711959727686,-0.04612720072061016
v16c,1024,3109,51091,current_global,1055157094,open_8_15,8,15,22774,0.32180757111164493,0.29385525161844595,0.027952319493198985
v16c,1024,3109,51091,current_global,1055157094,open_16_31,16,31,23115,0.32662606508499487,0.26015927996868765,0.06646678511630721
v16c,1024,3109,51091,current_global,1055157094,open_32_63,32,63,4005,0.05659257584535602,0.05309789160188091,0.003494684243475113
v16c,1024,3109,51091,current_global,1055157094,open_64_127,64,127,145,0.0020489197247382327,0.0046329512999322255,-0.002584031575193993
v16c,1024,3109,51091,current_global,1055157094,open_128_plus,128,,8,0.0001130438468821094,0.00020801624775222357,-9.497240087011417e-05
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_0,0,0,2137,0.025694669889021148,0.03325774798029558,-0.00756307809127443
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_1,1,1,2291,0.02754632134569371,0.0385435211804368,-0.010997199834743093
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_2_3,2,3,4965,0.059697723911553584,0.08869383445269681,-0.028996110541143226
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_4_7,4,7,11178,0.13440103884860946,0.18717987082484394,-0.05277883197623448
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_8_15,8,15,23368,0.2809700729839243,0.2900370675184979,-0.009066994534573602
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_16_31,16,31,30254,0.3637653452608544,0.26848828158945737,0.09527706367139704
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_32_63,32,63,7457,0.08966081111952771,0.08221721416450115,0.0074435969550265685
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_64_127,64,127,1231,0.014801187942622852,0.01018446467291471,0.004616723269708141
v16c,1024,3109,51091,exposure_matched_local,1155157094,open_128_plus,128,,288,0.0034628286981928363,0.001397997616355806,0.0020648310818370303
v16c,1024,3203,51017,current_global,1056097020,open_0,0,0,2085,0.02891295605508022,0.027174768657285995,0.0017381873977942268
v16c,1024,3203,51017,current_global,1056097020,open_1,1,1,2101,0.029134830058380596,0.029838146322490544,-0.0007033162641099482
v16c,1024,3203,51017,current_global,1056097020,open_2_3,2,3,4248,0.05890754787624977,0.06558147677066356,-0.006673928894413789
v16c,1024,3203,51017,current_global,1056097020,open_4_7,4,7,8551,0.11857778763884459,0.13873079841354233,-0.020153010774697735
v16c,1024,3203,51017,current_global,1056097020,open_8_15,8,15,16526,0.22916811115887564,0.2407020380618912,-0.011533926903015551
v16c,1024,3203,51017,current_global,1056097020,open_16_31,16,31,24839,0.34444552299862713,0.30407788713777933,0.040367635860847795
v16c,1024,3203,51017,current_global,1056097020,open_32_63,32,63,13458,0.1866237710260286,0.17319041417504086,0.013433356850987732
v16c,1024,3203,51017,current_global,1056097020,open_64_127,64,127,305,0.004229473187913414,0.02047669877997569,-0.016247225592062275
v16c,1024,3203,51017,current_global,1056097020,open_128_plus,128,,0,0.0,0.00022777168133049117,-0.00022777168133049117
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_0,0,0,2088,0.03133347339355923,0.030774948747345186,0.0005585246462140418
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_1,1,1,2148,0.032233860560040815,0.03460427165479282,-0.0023704110947520077
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_2_3,2,3,4472,0.06710885680842762,0.0786175239095152,-0.011508667101087569
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_4_7,4,7,9372,0.1406404754044239,0.17023457955121923,-0.029594104146795336
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_8_15,8,15,17878,0.26828536270596354,0.28186871683658304,-0.013583354130619507
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_16_31,16,31,23092,0.34652900747321347,0.28664980733299766,0.059879200140215805
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_32_63,32,63,6633,0.09953780125453945,0.10415726116753243,-0.004619459912992979
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_64_127,64,127,948,0.014226117230409075,0.012985179027877694,0.001240938202531381
v16c,1024,3203,51017,exposure_matched_local,1156097020,open_128_plus,128,,7,0.00010504516942285183,0.00010771177213677376,-2.6666027139219344e-06
v16c,1024,3203,51059,current_global,1056097062,open_0,0,0,2111,0.02913974932361548,0.03368878264231798,-0.004549033318702496
v16c,1024,3203,51059,current_global,1056097062,open_1,1,1,2195,0.030299265639666503,0.038156547249379426,-0.007857281609712923
v16c,1024,3203,51059,current_global,1056097062,open_2_3,2,3,4740,0.06542984926287891,0.0860359097646058,-0.02060606050172689
v16c,1024,3203,51059,current_global,1056097062,open_4_7,4,7,10255,0.1415576169178952,0.16990773642877466,-0.028350119510879457
v16c,1024,3203,51059,current_global,1056097062,open_8_15,8,15,18934,0.26136049914416654,0.2422271914468676,0.01913330769729893
v16c,1024,3203,51059,current_global,1056097062,open_16_31,16,31,24164,0.33355419358400973,0.294042103267097,0.03951209031691272
v16c,1024,3203,51059,current_global,1056097062,open_32_63,32,63,8190,0.11305284081497433,0.12728556119489365,-0.014232720379919322
v16c,1024,3203,51059,current_global,1056097062,open_64_127,64,127,1688,0.023300756446358567,0.008552998948210874,0.014747757498147693
v16c,1024,3203,51059,current_global,1056097062,open_128_plus,128,,167,0.0023052288664347632,0.00010316905785298175,0.0022020598085817815
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_0,0,0,2091,0.028532831177337483,0.03213153779301754,-0.003598706615680059
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_1,1,1,2146,0.029283336062442007,0.03453821776908536,-0.005254881706643354
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_2_3,2,3,4460,0.060859123410294196,0.0733352455622647,-0.012476122151970505
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_4_7,4,7,9249,0.12620763058785,0.14493708848709988,-0.018729457899249874
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_8_15,8,15,18297,0.2496725069592271,0.23786065478672586,0.011811852172501247
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_16_31,16,31,27152,0.3705037934610556,0.3261748772643058,0.044328916196749835
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_32_63,32,63,9620,0.13127012717646416,0.147139443654863,-0.015869316478398843
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_64_127,64,127,269,0.0036706511653294034,0.00382660849685215,-0.00015595733152274673
v16c,1024,3203,51059,exposure_matched_local,1156097062,open_128_plus,128,,0,0.0,5.63261857857221e-05,-5.63261857857221e-05
v16c,1024,3203,51091,current_global,1056097094,open_0,0,0,2123,0.036194080741953086,0.03426607306114769,0.0019280076808053936
v16c,1024,3203,51091,current_global,1056097094,open_1,1,1,2246,0.038291052918712494,0.03747086771106203,0.0008201852076504673
v16c,1024,3203,51091,current_global,1056097094,open_2_3,2,3,4837,0.08246385706492089,0.08089640622758258,0.0015674508373383078
v16c,1024,3203,51091,current_global,1056097094,open_4_7,4,7,9976,0.17007637752318602,0.16748063093384058,0.0025957465893454434
v16c,1024,3203,51091,current_global,1056097094,open_8_15,8,15,17292,0.2948036006546645,0.2947663741057494,3.722654891508137e-05
v16c,1024,3203,51091,current_global,1056097094,open_16_31,16,31,18969,0.32339402618657936,0.3051372277404288,0.01825679844615058
v16c,1024,3203,51091,current_global,1056097094,open_32_63,32,63,2497,0.0425702400436443,0.07547623937376836,-0.032905999330124065
v16c,1024,3203,51091,current_global,1056097094,open_64_127,64,127,716,0.012206764866339334,0.004452833008239286,0.007753931858100048
v16c,1024,3203,51091,current_global,1056097094,open_128_plus,128,,0,0.0,5.334783818129171e-05,-5.334783818129171e-05
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_0,0,0,2110,0.028151725794185536,0.03270712613888031,-0.004555400344694777
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_1,1,1,2232,0.029779455911195313,0.036089437918488856,-0.006309982007293543
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_2_3,2,3,4766,0.06358821096449681,0.07831823825221314,-0.01473002728771633
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_4_7,4,7,10099,0.13474136435804726,0.15970738097476198,-0.024966016616714715
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_8_15,8,15,20231,0.26992301637069555,0.262408837389974,0.007514178980721542
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_16_31,16,31,26178,0.3492681885498526,0.2987300470256716,0.05053814152418101
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_32_63,32,63,8212,0.10956491574495338,0.12424733956838974,-0.01468242382343636
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_64_127,64,127,1099,0.014662913103227442,0.007417527212201082,0.0072453858910263595
v16c,1024,3203,51091,exposure_matched_local,1156097094,open_128_plus,128,,24,0.0003202092033461862,0.0003740655194193326,-5.385631607314641e-05
v16d,1536,3407,61001,current_global,1570147005,open_0,0,0,3279,0.017033500776611275,0.021696722690629163,-0.004663221914017888
v16d,1536,3407,61001,current_global,1570147005,open_1,1,1,3783,0.01965164179259544,0.025355058695405726,-0.005703416902810284
v16d,1536,3407,61001,current_global,1570147005,open_2_3,2,3,9152,0.0475421162267601,0.062073612903474455,-0.014531496676714356
v16d,1536,3407,61001,current_global,1570147005,open_4_7,4,7,22881,0.11886048529113832,0.1567447032243748,-0.037884217933236486
v16d,1536,3407,61001,current_global,1570147005,open_8_15,8,15,52728,0.2739074196246292,0.2923048706848764,-0.01839745106024715
v16d,1536,3407,61001,current_global,1570147005,open_16_31,16,31,67416,0.35020752923331067,0.2680660608804311,0.08214146835287955
v16d,1536,3407,61001,current_global,1570147005,open_32_63,32,63,25406,0.13197716399224946,0.12741492961508352,0.004562234377165936
v16d,1536,3407,61001,current_global,1570147005,open_64_127,64,127,6858,0.035625418824641694,0.0414872064824256,-0.005861787657783904
v16d,1536,3407,61001,current_global,1570147005,open_128_plus,128,,1000,0.0051947242380638225,0.004856834823299223,0.0003378894147645995
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_0,0,0,3197,0.027777777777777776,0.02434391704270825,0.0034338607350695265
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_1,1,1,3330,0.028933375039099155,0.027556485808968044,0.0013768892301311113
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_2_3,2,3,7007,0.060881729399089424,0.0644372449370048,-0.003555515537915374
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_4_7,4,7,15251,0.13251138219858896,0.15465417412001076,-0.022142791921421795
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_8_15,8,15,31500,0.2736940882076947,0.29803508220954805,-0.024340994001853355
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_16_31,16,31,43180,0.3751781183748653,0.2881310938295097,0.08704702454535562
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_32_63,32,63,11263,0.09786084176137351,0.12042908768296716,-0.02256824592159365
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_64_127,64,127,364,0.0031626872415111387,0.021620385646394815,-0.018457698404883677
v16d,1536,3407,61001,exposure_matched_local,1670147005,open_128_plus,128,,0,0.0,0.0007925287228884159,-0.0007925287228884159
v16d,1536,3407,61043,current_global,1570147047,open_0,0,0,3250,0.01723068440278448,0.024193236411743018,-0.006962552008958539
v16d,1536,3407,61043,current_global,1570147047,open_1,1,1,3521,0.018667458394524352,0.027586458823761432,-0.00891900042923708
v16d,1536,3407,61043,current_global,1570147047,open_2_3,2,3,7823,0.041475582794763995,0.06252913628845498,-0.021053553493690987
v16d,1536,3407,61043,current_global,1570147047,open_4_7,4,7,17639,0.09351755144022013,0.13271155056339243,-0.0391939991231723
v16d,1536,3407,61043,current_global,1570147047,open_8_15,8,15,38292,0.20301457450813024,0.21774078038003444,-0.014726205871904208
v16d,1536,3407,61043,current_global,1570147047,open_16_31,16,31,67501,0.3578733624222631,0.2835611102878862,0.07431225213437687
v16d,1536,3407,61043,current_global,1570147047,open_32_63,32,63,43586,0.2310820339630044,0.21943825531507383,0.011643778647930564
v16d,1536,3407,61043,current_global,1570147047,open_64_127,64,127,5913,0.03134924211497373,0.03067859473349194,0.0006706473814817905
v16d,1536,3407,61043,current_global,1570147047,open_128_plus,128,,1092,0.005789509959335585,0.0015608771961617255,0.00422863276317386
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_0,0,0,3209,0.017742417038028153,0.02113394684405445,-0.003391529806026295
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_1,1,1,3408,0.018842679110501696,0.02416643326776011,-0.005323754157258415
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_2_3,2,3,7378,0.040792631008592,0.05595302731116493,-0.015160396302572932
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_4_7,4,7,16824,0.09301914124268795,0.1244310481822523,-0.031411906939564346
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_8_15,8,15,37617,0.20798270542832814,0.22325649187906016,-0.015273786450732019
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_16_31,16,31,66134,0.3656519191003284,0.2932841642432443,0.07236775485708408
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_32_63,32,63,40962,0.2264770603651322,0.20765140981395394,0.01882565055117827
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_64_127,64,127,4852,0.026826490329857462,0.04748537221517577,-0.02065888188531831
v16d,1536,3407,61043,exposure_matched_local,1670147047,open_128_plus,128,,482,0.0026649563765439605,0.002638106243333997,2.6850133209963597e-05
v16d,1536,3407,61091,current_global,1570147095,open_0,0,0,3166,0.02134329263771008,0.023437836829457125,-0.0020945441917470456
v16d,1536,3407,61091,current_global,1570147095,open_1,1,1,3303,0.02226686531344169,0.025907822341289206,-0.003640957027847516
v16d,1536,3407,61091,current_global,1570147095,open_2_3,2,3,7009,0.0472505174029406,0.057811831360513294,-0.01056131395757269
v16d,1536,3407,61091,current_global,1570147095,open_4_7,4,7,15173,0.10228735918887398,0.12522499579505636,-0.02293763660618238
v16d,1536,3407,61091,current_global,1570147095,open_8_15,8,15,31710,0.21376999669671087,0.22894089164773626,-0.015170894951025388
v16d,1536,3407,61091,current_global,1570147095,open_16_31,16,31,57339,0.3865455011224442,0.3153453549406729,0.07120014618177128
v16d,1536,3407,61091,current_global,1570147095,open_32_63,32,63,28735,0.1937143126799113,0.2001619991388077,-0.006447686458896401
v16d,1536,3407,61091,current_global,1570147095,open_64_127,64,127,1884,0.012700809642907703,0.022466453539984912,-0.009765643897077209
v16d,1536,3407,61091,current_global,1570147095,open_128_plus,128,,18,0.00012134531505962774,0.0007028144064822622,-0.0005814690914226345
v16d,1536,3407,61091,exposure_matched_local,1670147095,open_0,0,0,3259,0.01733990252623066,0.02866553471887602,-0.01132563219264536
v16d,1536,3407,61091,exposure_matched_local,1670147095,open_1,1,1,3647,0.019404303317939003,0.03300539681055629,-0.013601093492617285
v16d,1536,3407,61091,exposure_matched_local,1670147095,open_2_3,2,3,8497,0.04520931321429331,0.0756271393214904,-0.030417826107197087
v16d,1536,3407,61091,exposure_matched_local,1670147095,open_4_7,4,7,20409,0.10858854576797838,0.1559706498678056,-0.04738210409982721
v16d,1536,3407,61091,exposure_matched_local,1670147095,open_8_15,8,15,46749,0.24873369229786962,0.24018514942046532,0.008548542877404308
v16d,1536,3407,61091,exposure_matched_local,1670147095,open_16_31,16,31,68803,0.3660746589482197,0.2893423785836244,0.07673228036459534
