stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_family,null_replicate,null_seed,comparable_pairs,leave_one_out_js,mean_open_volume,tail_mass_ge_8,spectrum_entropy,prob_open_0,prob_open_1,prob_open_2_3,prob_open_4_7,prob_open_8_15,prob_open_16_31,prob_open_32_63,prob_open_64_127,prob_open_128_plus
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,0,5983849214487474673,58625,0.0004629332563419414,13.065808102345416,0.6236929637526653,2.4425243514022488,0.038857142857142854,0.04235394456289979,0.09437953091684435,0.20071641791044775,0.28025586353944565,0.2875053304904051,0.05313432835820896,0.0026609808102345416,0.00013646055437100213
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,1,5897245516791990988,56039,0.0002029460034664884,13.2343903353022,0.6346829886329164,2.4550636785153537,0.04061457199450383,0.043523260586377344,0.09186459430039794,0.18931458448580452,0.3009689680401149,0.2705437284748122,0.06068987669301736,0.002248434126233516,0.00023198129873837863
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,2,9838961531192054001,81069,0.011802070956124278,15.86707619435296,0.7346581307281451,2.3451289112093474,0.028161196018206713,0.030480208217691103,0.06542574843651704,0.14127471659944,0.2853618522493185,0.35986628674339144,0.0835214446952596,0.0058345360125325344,7.401102764311883e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,3,3904683273466758071,50577,0.0014674484566012437,12.286533404511932,0.5993238033098048,2.4752719272656574,0.04504023568024992,0.04897483045653162,0.10500820531071435,0.20165292524269926,0.2892223738062756,0.259011012911007,0.04923186428613797,0.0018190086402910413,3.954366609328351e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,4,14965528249024717835,52032,0.0015979134036698634,12.310539667896679,0.6012453874538746,2.4618217277196255,0.04378075030750307,0.04760531980319803,0.10222555350553506,0.2051429889298893,0.296875,0.2536131611316113,0.04929658671586716,0.001460639606396064,0.0
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,5,57043796975827278,54549,0.002312645341177295,12.503638930136209,0.6030358026728263,2.4718955816745667,0.041742286751361164,0.04586701864378816,0.10218335808172468,0.20717153385029974,0.3106198097123687,0.23815285339786246,0.04931346129168271,0.004803021136959431,0.00014665713395295972
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,6,1615526335409505116,83368,0.02238507265553032,16.308415699069187,0.7452619710200556,2.2506090288014957,0.027300642932540062,0.0299035601189905,0.06567268016505134,0.13186114576336244,0.2385087803473755,0.43108866711448035,0.0732775165531139,0.0023390269647826506,4.798004030323385e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,7,7938691755201130506,58766,0.00021564270035863843,13.05938808154375,0.6442330599326141,2.4220949278882102,0.038746894462784606,0.041843923357043185,0.08966068815301365,0.18551543409454446,0.3129530681006024,0.2746826396215499,0.05426607221862982,0.002161113569070551,0.0001701664227614607
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,8,31362942011428809,62170,0.001259386370620748,14.029065465658677,0.6545439922792343,2.446128092505127,0.03675406144442657,0.04075920862152163,0.08811323789609136,0.17982949975872609,0.27917001769342126,0.30665916036673635,0.06430754383142995,0.003635193823387486,0.000772076564259289
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,9,4660125285685349110,53225,0.0022350890728373056,12.245880695162048,0.6056552372005637,2.4234727664298306,0.04283701268201033,0.04670737435415688,0.09987787693752935,0.2049224988257398,0.2871395021136684,0.279135744480977,0.03829027712541099,0.0010897134805072804,0.0
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,10,3412659749032730189,62815,0.0013657665308711325,13.460765740667037,0.6527899387089071,2.4331518062886928,0.03628114303908302,0.039465095916580435,0.08692191355567938,0.18454190877975005,0.3194778317280904,0.26116373477672533,0.07004696330494309,0.0020854891347608056,1.5919764387487064e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,11,9278990586261844658,69390,0.0055399574529954865,15.126646490848826,0.6909208819714656,2.4274982806584253,0.032814526588845656,0.03586972186193976,0.07734543882403805,0.16304943075371092,0.27799394725464766,0.3311572272661767,0.07208531488687131,0.00945381178844214,0.00023058077532785704
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,12,1628191157148610344,53832,0.00047771324002626324,12.804948729380294,0.6302942487739635,2.4397061626065772,0.04233541388021994,0.04527047109525933,0.09520359637390399,0.18689626987665328,0.29454599494724326,0.2821184425620449,0.052440927329469464,0.0011703076237182346,1.8576311487591023e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,13,7152451166822620092,79554,0.018601142543864455,16.087827136284787,0.7446011514191618,2.2826853399387876,0.028596927872891368,0.030419589209844885,0.06463534203182744,0.13174698946627447,0.25444352263871084,0.41002338034542574,0.07702943912311135,0.0027654172008949895,0.00033939211101893053
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,14,266301282055520599,52641,0.0013718966935867072,12.395053285461902,0.6171615280864726,2.434397339284297,0.04335024030698505,0.04781444121502251,0.10054900172869057,0.19112478866282936,0.2948082293269505,0.27828118766740756,0.042989304914420316,0.0010828061776941927,0.0
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,15,9892630420526533627,66778,0.0016851509616481971,13.558582167779807,0.665144209170685,2.3825508470671735,0.03408308125430531,0.03665877983767109,0.0824672796429962,0.18164665009434244,0.3127676779777771,0.29932013537392554,0.04687172422055168,0.006184671598430621,0.0
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,16,3803107563399158890,55301,0.00012543974535754766,13.093253286559014,0.6309108334388166,2.459738882783145,0.04117466230267084,0.04479123343158352,0.09551364351458383,0.18760962731234518,0.29467821558380497,0.27558272002314604,0.058118298041626736,0.002405019800726931,0.00012657998951194372
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,17,446663810665030423,60345,0.0004663036973357607,13.300223713646533,0.6403844560444113,2.424230272014389,0.03783246333581904,0.041776452067279805,0.09316430524484216,0.1868423233076477,0.28593918303090565,0.29800314856243265,0.05468555804126274,0.0016405667412378823,0.0001159996685723755
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,18,14010844338134043688,51824,0.0008013827927787965,12.655391324482865,0.6126119172584131,2.4632411374467846,0.04393717196665638,0.047005248533497995,0.100088761963569,0.19635690027786354,0.29951373880827414,0.26148116702686014,0.04878048780487805,0.002701451065143563,0.00013507255325717813
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,19,1605776534164300178,69758,0.00246161473448331,14.57137532612747,0.6785458298689756,2.4308962485921004,0.032713093838699504,0.036124888901631354,0.0812236589351759,0.17139252845551764,0.3100432925255885,0.2871641962212219,0.07574758450643654,0.00531838642162906,0.0002723701940996015
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,20,8505952220696839537,55471,0.0004209331181451947,12.882749544807197,0.6209731210902995,2.453931262689533,0.04106650321789764,0.04476212795875322,0.09897063330388851,0.19422761442916117,0.28286852589641437,0.2832831569649006,0.05253195363343008,0.002199347406753078,9.013718880135566e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,21,7628129267057565331,61112,0.000439575466471164,13.326646157874068,0.6484814766330671,2.4382580437346415,0.037243094645896056,0.04103940306322817,0.08904961382379893,0.1841864118340097,0.3076646157874067,0.27407055897368765,0.06430815551773793,0.0021108783872234587,0.00032726796701138894
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,22,13372351387473772263,64048,0.0021944536242757846,14.297792280789407,0.6589901324006995,2.458165316933753,0.03556707469397952,0.039329877591806145,0.08824631526355234,0.17786660004996252,0.2766831126655009,0.3011179115663253,0.07755121159130653,0.003372470647014739,0.0002654259305520859
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,23,3394035971303701114,49823,0.001927185851698298,12.153101981012785,0.5996828773859463,2.456383402322692,0.04574192641952512,0.0489532946631074,0.10368705216466291,0.20193484936675832,0.29404090480300266,0.2606426750697469,0.04375489231880858,0.0012042630913433555,4.014210304477852e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,24,5582330654473513511,57886,0.0008844139944175604,12.786217738313237,0.632691842587154,2.4349629709331637,0.03933593615036451,0.042410945651798364,0.09225028504301558,0.19331099056766748,0.31722696334174066,0.26192861831876446,0.04845731264899976,0.005027122274816017,5.182600283315482e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,25,147594505126028505,63567,0.0007043959810437498,13.547642644768512,0.656142338005569,2.4201491138693307,0.035851935752827725,0.038557742224739254,0.0840845092579483,0.1853634747589158,0.31650070004876746,0.2774710148347413,0.056821935910142056,0.005002595686441078,0.0003460915254770557
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,26,5972922437013084193,52982,0.0009723663661479916,12.49431882526141,0.6134158770903325,2.4466933605135863,0.04301460873504209,0.046053376618474196,0.09867502170548488,0.19884111585066627,0.29895058699180854,0.26422181118115584,0.04899777282850779,0.0011324600807821525,0.00011324600807821524
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,27,16473257736177982295,61632,0.0006471730823148804,13.570077232606438,0.6358709761163033,2.4598696206692754,0.037009994807892,0.040465991692627205,0.08935293354101766,0.19730010384215993,0.29551207165109034,0.27011941848390447,0.06582619418483905,0.0043321651090342675,8.112668743509865e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,28,12618636386693014218,52425,0.0009457445229707766,12.53657606103958,0.6205627086313782,2.4493222426440147,0.04341440152598951,0.04715307582260372,0.09903671912255603,0.18983309489747258,0.30872675250357656,0.26317596566523604,0.04585598474010491,0.0024225083452551264,0.0003814973772055317
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,29,16466095582234822292,63845,0.0032898758072150347,14.30996945727935,0.6781893648680398,2.419318412395976,0.03572715169551257,0.03871877202600047,0.08232437935625343,0.16504033205419374,0.28484611167671703,0.31491894431827083,0.07696765604197667,0.0012217088260631217,0.00023494400501213877
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,30,9838013382363678173,53593,0.0014879956257932894,13.353143134364563,0.634523165338757,2.44943946454892,0.042468232791595915,0.0457335846099304,0.09719552926688187,0.18007948799283488,0.2702405164853619,0.30617804564028883,0.05692907655850578,0.0011195491948575373,5.597745974287687e-05
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,31,576812772105211092,56834,0.0016545544968370315,12.362582257099623,0.6257521905901398,2.4151445191613115,0.04004645106802266,0.04372382728648344,0.09483759721293591,0.19563993384241826,0.32207833339198366,0.2597036984903403,0.040292782489354965,0.0035014252032234227,0.0001759510152373579
v16c,1024,3109,51017,current_global,1055157020,scheduler_order_layer_indegree_rewire,32,18271260953838850424,51680,0.0012084339342261015,12.443208204334365,0.6095975232198142,2.465626630946918,0.04411764705882353,0.04761996904024768,0.10077399380804954,0.197890866873065,0.3048761609907121,0.25251547987616096,0.04976780185758514,0.0021671826625387,0.0002708978328173375
