stage,target_nodes,growth_seed,run_offset,arm,run_seed,n_events,direct_edges,causal_depth,comparable_pairs,observed_js_to_null_center,null_median_leave_one_out_js,js_effect_ratio,empirical_p_upper,effect_positive,p_le_010,observed_mean_open_volume,null_mean_open_volume,observed_tail_mass_ge_8,null_mean_tail_mass_ge_8,tail_mass_ge_8_delta,observed_spectrum_entropy,null_mean_spectrum_entropy,max_open_interval_volume
v16h,1536,4001,81013,current_global,1840091013,3072,3498,59,123219,0.0038934680624283947,0.0009377523078478009,4.151915201748896,0.06153846153846154,1,1,17.186002158757983,16.898023326302532,0.7521080352867658,0.699793357162201,0.052314678124564806,2.366215229670389,2.5036575671395402,143
v16h,1536,4001,81013,exposure_matched_local,1940091013,3072,3650,66,159371,0.007849110820449437,0.0034412575485764907,2.280884446936062,0.18461538461538463,1,0,22.37004850317812,20.282247353420836,0.8060751328660798,0.7456527948668197,0.06042233799926011,2.4417036077223555,2.530187301558619,172
v16h,1536,4001,81047,current_global,1840091047,3072,3564,54,149622,0.004932748083295576,0.0019918025744645137,2.4765246046645566,0.07692307692307693,1,1,19.023345497319912,17.90304503490412,0.7854927751266525,0.722440723251,0.06305205187565255,2.3478917775310966,2.4819030477543063,183
v16h,1536,4001,81047,exposure_matched_local,1940091047,3072,3669,61,148803,0.004265671329964817,0.0019390036318497061,2.199929520449425,0.06153846153846154,1,1,19.380408997130434,19.154902947052125,0.773653756980706,0.7336101885823157,0.040043568398390295,2.397978503575885,2.5119729666812947,327
v16h,1536,4001,81091,current_global,1840091091,3072,3529,60,103979,0.004689360946426012,0.0003493035084045467,13.42488934006073,0.015384615384615385,1,1,16.267669433250944,15.560695919204923,0.7359659161946162,0.6800663114454146,0.055899604749201526,2.3495885824170633,2.485820595951842,95
v16h,1536,4001,81091,exposure_matched_local,1940091091,3072,3604,57,128628,0.010443578198787268,0.001312551341350587,7.9567007169723745,0.015384615384615385,1,1,17.82748701682371,15.295211939380494,0.7554964704418945,0.6737783589930647,0.08171811144882979,2.394525513579027,2.479455287211648,194
v16h,1536,4127,81013,current_global,1841351013,3072,3622,60,141900,0.0071722924343305215,0.0018755018304390427,3.824199111899312,0.03076923076923077,1,1,19.90141649048626,19.923074245397274,0.7854052149400987,0.7362628014794289,0.04914241346066983,2.3837794698340153,2.5376388369208365,200
v16h,1536,4127,81013,exposure_matched_local,1941351013,3072,3602,64,185254,0.010793775707122928,0.0018131763517999,5.9529651908421295,0.03076923076923077,1,1,22.135095598475605,20.208173143559062,0.8171537456681097,0.7438739569589404,0.07327978870916929,2.3922423271281343,2.5394493084192504,210
v16h,1536,4127,81047,current_global,1841351047,3072,3501,64,142235,0.004580765831062221,0.001802414375807416,2.5414609939571777,0.1076923076923077,1,0,21.007867261925686,21.63762907194664,0.7973143037930186,0.7720253384154419,0.025288965377576744,2.373658033486751,2.4876273048096356,283
v16h,1536,4127,81047,exposure_matched_local,1941351047,3072,3482,69,131496,0.0016466078198298568,0.0010486424357001186,1.570228100420627,0.36923076923076925,1,0,19.749612155502827,20.445260340502173,0.783810914400438,0.7755962783880361,0.00821463601240191,2.373034409752664,2.422711438117783,196
v16h,1536,4127,81091,current_global,1841351091,3072,3690,62,177662,0.010524765603735728,0.0010177148821696068,10.341565980934265,0.015384615384615385,1,1,21.149283470860397,19.460033919539466,0.8072744875099909,0.7165663500427968,0.09070813746719408,2.366206735306116,2.566409349138857,243
v16h,1536,4127,81091,exposure_matched_local,1941351091,3072,3495,66,155670,0.004538995999768312,0.002057974928185065,2.205564284386724,0.1076923076923077,1,0,21.96797070726537,21.298302960130155,0.8112160339179032,0.7600750519449935,0.05114098197290973,2.376162989839867,2.512636101449391,152
