purpose_ref,spec_digest,holdout_script_sha256,source_chain_sha256,design_selection_sha256,frozen_baseline_sha256,holdout_stage,target_nodes,growth_seed,run_offset,arm,run_seed,n_events,interval_bins,null_family,null_replicates,isomorphism_replays,min_local_median_effect_ratio,min_local_positive_fraction,max_empirical_p,min_local_p_le_010_fraction,target_ratio_low,target_ratio_high,prepared_before_holdout_interval_analysis
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4001,81013,current_global,1840091013,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4001,81013,exposure_matched_local,1940091013,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4001,81047,current_global,1840091047,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4001,81047,exposure_matched_local,1940091047,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4001,81091,current_global,1840091091,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4001,81091,exposure_matched_local,1940091091,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4127,81013,current_global,1841351013,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4127,81013,exposure_matched_local,1941351013,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4127,81047,current_global,1841351047,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
purpose://prompt.unknown,4abd9769b44ae7baee5e666f92d119435bc58e310b49d3c720ce04d4e705a184,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,8a88541b8692c39ce7305d80a8aa9585e341e2dc3e2503aa32f1a30bcdd9d3cc,6aa3462c0b4fd3c5469f3dcfc3bc827203c80f2f5af791f8763ccd912589be9f,e159e43456f0b4017b99e7cbcd49872964dbe9a7d0e12f092ae98ac08606c4c1,v16h,1536,4127,81047,exposure_matched_local,1941351047,3072,open_0;open_1;open_2_3;open_4_7;open_8_15;open_16_31;open_32_63;open_64_127;open_128_plus,scheduler_order_layer_indegree_rewire,64,2,2.0,0.8333333333333334,0.1,0.5,0.5,2.0,1
