stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_family,null_replicate,null_seed,edge_count,target_accepted_swaps,accepted_swaps,attempted_swaps,acceptance_rate,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,mixing_pass,structure_pass,null_edge_sha256,run_unique_null_count,run_unique_null_fraction,run_uniqueness_pass,null_integrity_pass
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,0,17466526809564155810,3498,263,263,112121,0.0023456801134488633,374,0.1069182389937107,1,1,1,1,1,1,1,1,3a0082b7e4584f6e85b606115635f4a253e86d63c3688bf1959ee1954efe824a,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,1,2368970834420227997,3498,263,263,108651,0.0024205943801713743,371,0.10606060606060606,1,1,1,1,1,1,1,1,1c84f58fbfa65cf55d4bc96ee68423e9e0c8bac9919286bd3a6cd9e6459e9d7e,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,2,6939045647440926250,3498,263,263,109304,0.0024061333528507646,393,0.11234991423670669,1,1,1,1,1,1,1,1,c77c3d3bdaa64ac75db58987c93e4d84dce1978f28c330a57233af800dd27741,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,3,10265575642805244095,3498,263,263,109534,0.0024010809429035732,378,0.10806174957118353,1,1,1,1,1,1,1,1,4eef5c356fe6d231fd8635764f50e78e54e4e5c0a3f20ba284715c5d28dc3152,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,4,6370897229376143072,3498,263,263,119049,0.0022091743735772663,372,0.10634648370497427,1,1,1,1,1,1,1,1,0cc1d319c203553bf7551114ba20a15bcf7e8c85b28370beb10cb8426c96fa69,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,5,6747057556435050314,3498,263,263,102175,0.0025740151700513825,369,0.10548885077186965,1,1,1,1,1,1,1,1,10f16b80535af0b22c218f8a57898af95dae100579cf1cb13c9382192680de0b,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,6,1212508249106204463,3498,263,263,109409,0.0024038241826540778,362,0.10348770726129217,1,1,1,1,1,1,1,1,3c52ac29bcfff5bdace3bc22b28edf17da037e70eac618e42619d911e64d1362,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,7,9894952637493347816,3498,263,263,110006,0.002390778684799011,377,0.10777587192681533,1,1,1,1,1,1,1,1,dec60c8d4f0c704810edc4a192e7fe7eea64ccd86a32982737f2699a7af6805c,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,8,6324137960332827126,3498,263,263,124384,0.0021144198610753796,371,0.10606060606060606,1,1,1,1,1,1,1,1,3b926d98fe10ac109ce0a9c8c7d7ece3688abc5e84fca0c01260f48428eb7c58,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,9,9525270281319425814,3498,263,263,103040,0.0025524068322981368,369,0.10548885077186965,1,1,1,1,1,1,1,1,2f2ee8d7292dd2fff6d2b5905080431950b1ce7d5717cc605edcb8ea9df40f33,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,10,3851694293042290851,3498,263,263,114750,0.0022919389978213506,377,0.10777587192681533,1,1,1,1,1,1,1,1,751eb49c8569d2991d6e0db916b352d607ecf783376a1f7a3f52cff7734852f2,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,11,12983752663327454298,3498,263,263,122592,0.002145327590707387,384,0.1097770154373928,1,1,1,1,1,1,1,1,09ea48f99fa5361fedd14b2a36b54c01f5ef2f4853f46f4c33c342c5f45dd715,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,12,12599545747573795103,3498,263,263,116554,0.0022564648145923776,383,0.10949113779302458,1,1,1,1,1,1,1,1,2278f537fac08adbcb1fc43a2bc5b51f0abc5749d86c1bd829e928b3529f8cff,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,13,3315345122392225740,3498,263,263,105288,0.002497910493123623,393,0.11234991423670669,1,1,1,1,1,1,1,1,90888de749abc4d1087f0d47d9e251b60142941520826ad9aeb8348c214e60ca,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,14,843438269437072969,3498,263,263,117744,0.0022336594646011686,400,0.11435105774728416,1,1,1,1,1,1,1,1,47a6e4fb5f39fe0c7986880fdd84397f0552437f2d8b296f39a4e68117dbc4d1,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,15,10858844032517342416,3498,263,263,118307,0.0022230299136991047,380,0.10863350485991996,1,1,1,1,1,1,1,1,fd76be52967f6356457a7d3b6cff9cdd0777b87f7c8eaef9f8c82fcbb66af466,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,16,8051441745522019804,3498,263,263,110086,0.0023890412949875554,382,0.10920526014865638,1,1,1,1,1,1,1,1,a25c0686a3f191624c2ede76f46ef505892f4f40608d0937230f6cf6c1803233,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,17,10992339137080254174,3498,263,263,116025,0.002266752854988149,376,0.10748999428244711,1,1,1,1,1,1,1,1,d902c3d34716332f28986b0f1829e5e0f71406102fb0cdd767d8acf137429fb1,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,18,624882551148037303,3498,263,263,111271,0.002363598781353632,357,0.10205831903945112,1,1,1,1,1,1,1,1,2c728559f77af66db958af8b87e2ac9cb1e127a55b53379e0c3e4e1901ca100d,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,19,4675121015892694685,3498,263,263,113435,0.0023185083968792703,377,0.10777587192681533,1,1,1,1,1,1,1,1,76713968b1b3e71f901b69e0a8a481c4ee609699c3172847a5fc144e49830e93,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,20,13971000788950662661,3498,263,263,111156,0.002366044118176257,376,0.10748999428244711,1,1,1,1,1,1,1,1,2584858b627507cc25054067ef105f6ca41a51023c08481eff16e9ebc88bea3e,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,21,15607160636843625033,3498,263,263,107782,0.0024401105936056114,377,0.10777587192681533,1,1,1,1,1,1,1,1,8f9e13a6b5b66c6d51d0d543cbc23f273b058f8f8389c4e765180fabf22a8b43,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,22,3358373220865620470,3498,263,263,112521,0.0023373414740359578,378,0.10806174957118353,1,1,1,1,1,1,1,1,a495b72b207913d6e3639cfe021896683088c8716219c7425033b74e25681d9c,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,23,14720677781095392692,3498,263,263,106931,0.0024595299772750654,384,0.1097770154373928,1,1,1,1,1,1,1,1,9c4c1496f0b6c8687e660dad80060af086a1f444ad70fe8ace1142f65387e21d,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,24,5233485526736872288,3498,263,263,125629,0.002093465680694744,379,0.10834762721555175,1,1,1,1,1,1,1,1,b861d170cdecbe8554c46ac09d56d583249304892ac873c9fdbf95fc1d232d8b,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,25,13152559447376952649,3498,263,263,121541,0.002163878855694786,382,0.10920526014865638,1,1,1,1,1,1,1,1,245eda030e11c8c47db06df9a0ac0b40d461ac5d5e2bebfbc0f015a2cac4178a,32,1.0,1,1
v16h,1536,4001,81013,current_global,1840091013,degree_depth_global_age_bin_double_edge_swap,26,3361360669746804212,3498,263,263,112056,0.00234704076533162,361,0.10320182961692395,1,1,1,1,1,1,1,1,bdbeb91e471b6875db994676adda07b36b970d15ed806c513a4357961d5a4a4b,32,1.0,1,1
