stage,target_nodes,growth_seed,run_offset,arm,run_seed,n_events,direct_edges,causal_depth,comparable_pairs,observed_js_to_null_center,null_median_leave_one_out_js,js_effect_ratio,empirical_p_upper,effect_positive,p_le_010,observed_mean_open_volume,null_mean_open_volume,observed_tail_mass_ge_8,null_mean_tail_mass_ge_8,tail_mass_ge_8_delta,mean_acceptance_rate,min_changed_edge_fraction,unique_null_fraction,all_null_integrity_pass
v16h,1536,4001,81013,current_global,1840091013,3072,3498,59,123219,0.005239777995079414,0.0003330435745380567,15.733010319587077,0.030303030303030304,1,1,17.186002158757983,19.228730392504737,0.7521080352867658,0.8026753062749316,-0.05056727098816571,0.002332632898139007,0.10120068610634649,1.0,1
v16h,1536,4001,81013,exposure_matched_local,1940091013,3072,3650,66,159371,0.0063658707196114,0.000634066067720519,10.039759330596006,0.030303030303030304,1,1,22.37004850317812,24.807463034424778,0.8060751328660798,0.867058931427167,-0.060983798561087155,0.003455385571591845,0.1,1.0,1
v16h,1536,4001,81047,current_global,1840091047,3072,3564,54,149622,0.0038023355560819205,0.0005034732302685241,7.552209983545639,0.030303030303030304,1,1,19.023345497319912,20.90282431262819,0.7854927751266525,0.8167800253772247,-0.03128725025057222,0.002634535099482271,0.1026936026936027,1.0,1
v16h,1536,4001,81047,exposure_matched_local,1940091047,3072,3669,61,148803,0.0031059881177366486,0.00050445565399789,6.157108346633062,0.030303030303030304,1,1,19.380408997130434,21.319764183457373,0.773653756980706,0.8089198616479524,-0.035266104667246334,0.003955966787299276,0.10002725538293814,1.0,1
v16h,1536,4001,81091,current_global,1840091091,3072,3529,60,103979,0.004640127146335783,0.0004242685410750987,10.936769279611626,0.030303030303030304,1,1,16.267669433250944,18.072852830873526,0.7359659161946162,0.7868162015857,-0.05085028539108383,0.0024236871500182226,0.10002833663927459,1.0,1
v16h,1536,4001,81091,exposure_matched_local,1940091091,3072,3604,57,128628,0.0028323381978111453,0.00041564803745738356,6.814270590899987,0.030303030303030304,1,1,17.82748701682371,19.526157705608625,0.7554964704418945,0.7944925610044518,-0.03899609056255726,0.0028531538144008777,0.1004439511653718,1.0,1
v16h,1536,4127,81013,current_global,1841351013,3072,3622,60,141900,0.005553822746027515,0.00039113231528113327,14.199345155195388,0.030303030303030304,1,1,19.90141649048626,21.856045790598806,0.7854052149400987,0.8332534570109041,-0.0478482420708054,0.0031879413786918653,0.10022087244616235,1.0,1
v16h,1536,4127,81013,exposure_matched_local,1941351013,3072,3602,64,185254,0.0061889039705291535,0.0008037529481757118,7.700007800377201,0.030303030303030304,1,1,22.135095598475605,25.98984882414204,0.8171537456681097,0.8633045437470748,-0.04615079807896505,0.0026311754319753205,0.10022209883398112,1.0,1
v16h,1536,4127,81047,current_global,1841351047,3072,3501,64,142235,0.002845878060285515,0.00021983987746677773,12.945231288693677,0.030303030303030304,1,1,21.007867261925686,22.99218779352436,0.7973143037930186,0.8237488207261463,-0.026434516933127705,0.0021370283979628077,0.10025706940874037,1.0,1
v16h,1536,4127,81047,exposure_matched_local,1941351047,3072,3482,69,131496,0.0031479184133886597,0.00038156618673852933,8.249993114682855,0.030303030303030304,1,1,19.749612155502827,21.068183368719133,0.783810914400438,0.8283167805168586,-0.0445058661164206,0.0019085839209340705,0.10022975301550832,1.0,1
v16h,1536,4127,81091,current_global,1841351091,3072,3690,62,177662,0.005570489412117191,0.00028809110881547256,19.335860224985936,0.030303030303030304,1,1,21.149283470860397,24.64602877548025,0.8072744875099909,0.8416688435830392,-0.034394356073048304,0.0036049333350499342,0.1,1.0,1
v16h,1536,4127,81091,exposure_matched_local,1941351091,3072,3495,66,155670,0.00844088351313015,0.000681335643915616,12.388730266070683,0.030303030303030304,1,1,21.96797070726537,25.53003895692183,0.8112160339179032,0.8630599589313023,-0.05184392501339907,0.001677955191493352,0.10042918454935622,1.0,1
