purpose_ref,spec_digest,script_sha256,v16h_sha256,v16i_sha256,v16j_sha256,source_chain_sha256,frozen_baselines_sha256,target_nodes,steps,growth_seed,run_offset,arm,run_seed,primary_null_replicates,primary_target_swap_multiplier,longer_null_replicates,longer_target_swap_multiplier,min_local_median_effect_ratio,min_local_positive_fraction,min_local_p_le_010_fraction,formal_history_generated_after_freeze
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,8036,96729,current_global,1880456729,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,8036,96729,exposure_matched_local,1980456729,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,8036,92980,current_global,1880452980,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,8036,92980,exposure_matched_local,1980452980,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,8036,91663,current_global,1880451663,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,8036,91663,exposure_matched_local,1980451663,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,6132,96729,current_global,1861416729,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,6132,96729,exposure_matched_local,1961416729,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,6132,92980,current_global,1861412980,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
purpose://validation,3cba919f951c580ce3851c4294294d723bafb63053c1a67fe25112b9b6d61f14,2728d4713da22435453a79b641a587d568db3e25e9b155a19d5ac298df461d30,b78e6b21d9068e0ea00dc746629d2e0864cfd4ed7b670520dfe4ebf97ba87cce,995fdff08d0bdaef799ec7d216855612a3e151546aef91a51de436d6723facba,46c4dfb64f9aeddbffb088507309e4a09c1695fce2ada3d25d21f8a20e5262d5,61b78da6899b7d4f6108e322f3e9c694d7664f1145699e78e7399d3fe187f14d,27349c15d9f68702cea9ff9eedec2e2a75d42240fecedc65924a75ac8a441343,1536,3072,6132,92980,exposure_matched_local,1961412980,32,0.075,16,0.1,2.0,0.8333333333333334,0.5,1
