growth_seed,run_offset,arm,run_seed,replay_index,replay_seed,topological_order_valid,changed_positions,changed_position_fraction,context_failures,final_structure_equal
8036,96729,current_global,1880456729,0,1953456766,1,3067,0.9983723958333334,0,1
8036,96729,current_global,1880456729,1,1953561495,1,3069,0.9990234375,0,1
8036,96729,exposure_matched_local,1980456729,0,2053456766,1,3067,0.9983723958333334,0,1
8036,96729,exposure_matched_local,1980456729,1,2053561495,1,3065,0.9977213541666666,0,1
8036,92980,current_global,1880452980,0,1953453017,1,3066,0.998046875,0,1
8036,92980,current_global,1880452980,1,1953557746,1,3064,0.9973958333333334,0,1
8036,92980,exposure_matched_local,1980452980,0,2053453017,1,3071,0.9996744791666666,0,1
8036,92980,exposure_matched_local,1980452980,1,2053557746,1,3068,0.9986979166666666,0,1
8036,91663,current_global,1880451663,0,1953451700,1,3070,0.9993489583333334,0,1
8036,91663,current_global,1880451663,1,1953556429,1,3069,0.9990234375,0,1
8036,91663,exposure_matched_local,1980451663,0,2053451700,1,3069,0.9990234375,0,1
8036,91663,exposure_matched_local,1980451663,1,2053556429,1,3071,0.9996744791666666,0,1
6132,96729,current_global,1861416729,0,1934416766,1,3071,0.9996744791666666,0,1
6132,96729,current_global,1861416729,1,1934521495,1,3070,0.9993489583333334,0,1
6132,96729,exposure_matched_local,1961416729,0,2034416766,1,3069,0.9990234375,0,1
6132,96729,exposure_matched_local,1961416729,1,2034521495,1,3063,0.9970703125,0,1
6132,92980,current_global,1861412980,0,1934413017,1,3067,0.9983723958333334,0,1
6132,92980,current_global,1861412980,1,1934517746,1,3069,0.9990234375,0,1
6132,92980,exposure_matched_local,1961412980,0,2034413017,1,3069,0.9990234375,0,1
6132,92980,exposure_matched_local,1961412980,1,2034517746,1,3068,0.9986979166666666,0,1
6132,91663,current_global,1861411663,0,1934411700,1,3068,0.9986979166666666,0,1
6132,91663,current_global,1861411663,1,1934516429,1,3069,0.9990234375,0,1
6132,91663,exposure_matched_local,1961411663,0,2034411700,1,3066,0.998046875,0,1
6132,91663,exposure_matched_local,1961411663,1,2034516429,1,3068,0.9986979166666666,0,1
