stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_family,target_swap_multiplier,null_replicate,null_seed,null_edge_sha256,leave_one_out_js,tail_mass_ge_8,prob_open_0,prob_open_1,prob_open_2_3,prob_open_4_7,prob_open_8_15,prob_open_16_31,prob_open_32_63,prob_open_64_127,prob_open_128_plus
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,0,2330597680323356239,747ffd185d72308e414f86e809a7901c3e2dedb304e62b235f4823a0eac9d1bb,0.00048214703694583185,0.8793827111863902,0.007492898815229142,0.009648420232577478,0.025980051032243098,0.07749591873356004,0.19995360705172813,0.3329700677949782,0.24461994984309554,0.06990892101381722,0.031930165482771146
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,1,13444271006279263053,b9d27bda8484ba4c11e2b80a2ab9a37a7e2b11d3f96b283ce172fa529b93d622,0.0003897401386558888,0.8795773674755785,0.0073280397971874104,0.009500728126959831,0.026244459325871362,0.07734940527440289,0.20890121921404806,0.34608671620055914,0.22327880353327592,0.06919650924242908,0.03211411928526632
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,2,6904603549592541258,78e77029b5c9f70db8e5131e9e35aae539884ce427c40d3bce5a8685b6c3f0a4,0.00013496589061067786,0.8814927852174815,0.007150420429772657,0.009380255372158206,0.025366967715145853,0.07660957126544171,0.2066521332918094,0.34330115228900654,0.2199460188933873,0.08049828713796325,0.031095193605315062
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,3,15302507304379764253,c8167900467277e0b122ba117a4de4b98c10585fcfe81e695fb6f749fd016981,0.000800266826617966,0.8801296127914358,0.0073748906311654,0.009442176053800889,0.025911835852390673,0.07714148467120727,0.205626275969737,0.34883082571325635,0.23366544287944552,0.06389069978898249,0.02811636844001441
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,4,15936763093186923271,efbb9379fc5ea1fbc2a7c5ed294f37e4194d5b29fcafb25a697fedd61488af56,0.0006450190370941005,0.874387878471588,0.007419391314180344,0.009500387060859884,0.026696326835929686,0.08199601631744209,0.2131813793283407,0.3375562108046517,0.2145991528151067,0.073787281789004,0.03526385373448495
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,5,359568418940499147,25c54c42b9aa436a9562ad4efa98e84e3c13b90f88fd8edffef71c093511456e,0.0010796055408958587,0.8784548552928605,0.007233776170271962,0.009449014735235782,0.026298317388252702,0.07856403641337911,0.21051089598074366,0.35148100606819394,0.2265571483071657,0.06238921172495632,0.027516593211800836
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,6,9762116257329908670,3eb17f8903c7f57a3bbf6aa5a40d3a46caa67452f8980123201a5d7c91dc6b2b,9.320432395738297e-05,0.8863670072595244,0.006944599649316004,0.009067802292246145,0.02483435971725849,0.07278623108165493,0.20165752030249035,0.33721537401890767,0.23848949878195216,0.07698793736450615,0.03201667679166811
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,7,2145496646337343660,e042ddec85f9a5dc0dd2b0aa0996f4c4f982456fccdebb477ce244bd1b0f64cc,0.0004087487712857759,0.8915478512310264,0.006322552946335359,0.008280232573073558,0.022758255004742833,0.07109110824482187,0.20577102670847452,0.3303139442932813,0.2419963561839375,0.08425361400135405,0.02921291004397899
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,8,15190167350455485855,542ccebd23ed523edcccfbf67f27e8d2e7f3aae27745aa2d4ac7402e75bef3bb,2.3944021161875048e-05,0.8822626521725639,0.007107764550127737,0.009213615630462439,0.025181262476340206,0.07623470517050568,0.20278435712586493,0.3388372309506325,0.23205320480332634,0.07660912466514279,0.031978734627597406
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,9,10955346036630218612,0ab3d00ad6b727b6497eaa14125d3e8ac4a0afd722ef14abeb671bd8212c0968,0.000196597221459487,0.885925063823397,0.007156146234836729,0.009104219852830756,0.0241548614239709,0.07365970866496471,0.20068912582803558,0.3389689809948107,0.22675868915919975,0.08404665365169946,0.035461614189651436
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,10,6279286815308438247,6bd93e19f8f2effad42a5bcfb7eab4c1b93a03b935c1ae6c161b9c3da40f48d4,0.0010848607424620463,0.8828783906997949,0.007005275326451529,0.00908324921032922,0.02494993324432577,0.07608315151909864,0.20745139861278453,0.3339493308150705,0.21195537138949494,0.09599384545247322,0.03352844442997167
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,11,15721024696273142121,0f0f90c59082eb571c35a6c3b59496a9cb1c7699ffcdde1280ba0bbf6258f06b,0.00029868240028862406,0.8870770263636346,0.006696173033302352,0.0086345899733977,0.024101177990915247,0.0734910326387501,0.1988672194097821,0.33800247977662606,0.2372125603208575,0.08540094573014675,0.027593821126222183
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,12,5180202129912893769,d415bf5c87207eeda0ef97ab8ca19466ece72403e02811b21423b5e9ac2269e5,0.0010175783369289336,0.8951840868193595,0.005964145714647644,0.007853861944863321,0.022404156334540508,0.06859374918658909,0.1895494701332866,0.3434355353415111,0.23998354957772045,0.09274359379256851,0.029471937974272788
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,13,2672217671127349861,6ccd51b7a19a89fe3c4b60e9b991bcde61229b3875df80a8e7ee3adff329fdc8,0.00039036397131094207,0.8826624280732882,0.007021197074056277,0.009171297494219166,0.02537200639074738,0.07577307096768894,0.19764084492580408,0.3415990011376845,0.24281965031604627,0.0736927923376746,0.02691013935607881
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,14,785696529922164090,3779bad7d4a78dbc4efada184a828057fe577557d20bdf640868c38e87ed33ad,0.0005844724237949886,0.8917757658327452,0.0064346178667260435,0.008215931434523517,0.022923090277122575,0.07065059458888263,0.196516248825352,0.35175282009865155,0.2216489981998166,0.08462937733278485,0.03722832137614021
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,15,1281842259288609226,84c56e38005a327a060f7b34c23fb72f8b6d3765a577085deed5853526af1036,0.00026006511798261096,0.88569079579245,0.0065963871622088865,0.008711303372340507,0.02440893758596049,0.07459257608704004,0.20488562932683813,0.3316288504537177,0.22834756083505575,0.08618331578906928,0.03464543938776921
v16k,1536,6132,91663,exposure_matched_local,1961411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,0,6745500043547401182,284af7c21699432bc22d06365e021e4f5301553f5d40adf96703c6c25c40ace7,0.0004108747173339145,0.8812270910085651,0.006498077652027942,0.008460571793488105,0.024435012688056795,0.07937924685786202,0.24338661881492243,0.3490027878246938,0.1853501959693246,0.07902820128355706,0.024459287116067242
v16k,1536,6132,91663,exposure_matched_local,1961411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,1,12165088919951305503,e96ab2f5dd9d002fad5f538728974ae3275c2c9d2964174daf2948313864dbf4,0.002607058786387937,0.8821717373666006,0.006776246064497595,0.008843476674262689,0.02492517207511132,0.07728336781952785,0.23184816239697817,0.36093264128016894,0.15571972623267116,0.1096486290281881,0.024022578428594166
v16k,1536,6132,91663,exposure_matched_local,1961411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,2,12964747662908367241,44a6546e845299ada7a432c736729a15111aa1995e3e2577f5954f7befd2cacd,0.0003429802686150563,0.8904689620654571,0.006323946054657745,0.008095820021445155,0.02274574704581116,0.0723655248126289,0.2291179172991526,0.3712112493903475,0.1844867867522281,0.08197748441390246,0.02367552420982641
v16k,1536,6132,91663,exposure_matched_local,1961411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,3,11436547869566553482,591d433bc9fb2547272f12ba394ee50bcfccb0c5c40742c70d12f4a939979955,0.0008108252982569869,0.8785257528194397,0.00679959694609154,0.008993140332519474,0.0257799480680541,0.07990156183389528,0.23374026276014417,0.3676413595318374,0.18955354028601326,0.072187342557067,0.015403247684377785
v16k,1536,6132,91663,exposure_matched_local,1961411663,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,4,9393861350498795002,5fd9dd9d7f722b6fd0162c86711988a477dc623606009910145b8d9d1d3d63cf,0.002927113995660713,0.8791053381003235,0.006759684883378991,0.008909086688025258,0.025804429586293354,0.07942146074197892,0.22026241661636564,0.33292512110940864,0.18784340127842009,0.11877041061119624,0.019303988484932907
