stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_family,null_replicate,null_seed,edge_count,target_accepted_swaps,accepted_swaps,attempted_swaps,acceptance_rate,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,mixing_pass,structure_pass,null_edge_sha256,run_unique_null_count,run_unique_null_fraction,run_uniqueness_pass,null_integrity_pass
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,0,17453183456407356398,3725,280,280,73265,0.0038217429877840715,387,0.10389261744966442,1,1,1,1,1,1,1,1,7da78e78cb9222b3259ac8d443a1fa0bfdf9caa3a1d5604b94d47e45d3593e2d,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,1,11460420733669486396,3725,280,280,71070,0.003939777683973547,376,0.10093959731543624,1,1,1,1,1,1,1,1,0f1af0858391832a082e694024ee2a7117587a86f03898de63774721c31fa3d4,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,2,4432239146089493072,3725,280,285,80435,0.0035432336669360353,374,0.1004026845637584,1,1,1,1,1,1,1,1,90797bf9b115408a42c13181350a46c42cbc2b94a8dca892b1d7b50d0ca87285,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,3,36971638799361862,3725,280,284,70468,0.004030198104103991,374,0.1004026845637584,1,1,1,1,1,1,1,1,c382851c95d11479d87321e7e840e88ce2c57d970b072738ab87bbd6b2fe3ed7,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,4,12957449975524138027,3725,280,285,81275,0.003506613349738542,373,0.10013422818791946,1,1,1,1,1,1,1,1,ea1ffafe451f48e840f5da0494f6dddb0d40156a206d028fccb8e553b2de0d20,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,5,16228055196642958699,3725,280,280,82722,0.003384831121104422,377,0.10120805369127517,1,1,1,1,1,1,1,1,7464765844bac0082bb9bbc1bdb412fddea306a2ce9098e7b2f2be1180b95630,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,6,6849223157729207061,3725,280,280,79558,0.0035194449332562406,373,0.10013422818791946,1,1,1,1,1,1,1,1,108c0eed0d244a12208f578c3ecfd9f2bb22f56c0247a9bdfbe98c5e88773cec,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,7,13527225895806995619,3725,280,288,82908,0.0034737299174989146,373,0.10013422818791946,1,1,1,1,1,1,1,1,eef3c61438d685b1856f8bfba4c497160e3d5eb3847449b3b926d31a2e169ea2,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,8,11882291614303616595,3725,280,280,79061,0.0035415691681106995,384,0.10308724832214765,1,1,1,1,1,1,1,1,5b11bfb177179d5e4f329c9a26807c6abeb6ba07cabb78a1de5896af109cbf36,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,9,14643698513690189650,3725,280,280,82456,0.0033957504608518483,374,0.1004026845637584,1,1,1,1,1,1,1,1,5ade90dd4d7eb624e08b23659d772131f84741cf16511eabcddd4662bf15b8d2,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,10,11311389201516229022,3725,280,287,78958,0.003634843841029408,373,0.10013422818791946,1,1,1,1,1,1,1,1,84be7412880c7de8bb0d80f5481b0bb54eb32db4482ef3e74db59f43b8d3cffa,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,11,9371954915130939511,3725,280,286,83259,0.0034350640771568237,373,0.10013422818791946,1,1,1,1,1,1,1,1,db6d797677521027d6182abfed79ca71689ac06afc847a5ce1c727db1290ba49,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,12,18388170313818493796,3725,280,280,75255,0.003720683011095608,383,0.10281879194630872,1,1,1,1,1,1,1,1,f7906f64a1796d88eb4d8e1abea43ae6c508c5798d9e4c8983b5a4d27b8e74f7,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,13,9209855651795802414,3725,280,280,79044,0.003542330853701736,375,0.10067114093959731,1,1,1,1,1,1,1,1,478304044edd9ce37d871528c0aacf643e342702b2253eefe666b94b6d7aa715,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,14,1734374426760488173,3725,280,289,82842,0.0034885686004683613,373,0.10013422818791946,1,1,1,1,1,1,1,1,6ef7faa065b7644dcf8c50193097f01860a8b34cf1c0cb17b1ee8ee9d1c04228,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,15,8726012120512154638,3725,280,280,81261,0.0034456873530968116,373,0.10013422818791946,1,1,1,1,1,1,1,1,b7d0e17d54b4946d76db757302c007576684328e97f1000181527d02d33958d4,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,16,4877783362323576917,3725,280,280,74828,0.0037419147912546107,377,0.10120805369127517,1,1,1,1,1,1,1,1,743588266c633e766e24c8c2e04ec82c156af61342000bebaa18647f44d80f47,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,17,5039397230497430208,3725,280,280,75895,0.0036893075960208184,376,0.10093959731543624,1,1,1,1,1,1,1,1,cd9bda71b30630e065bc18ae1b5a51431b4d8b6ac274ef3f13afb75374f7fe7a,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,18,15721401742448932465,3725,280,293,73526,0.003984984903299513,373,0.10013422818791946,1,1,1,1,1,1,1,1,3e0ee37a2a743d07f4daf9c65d46c22f40a32b134ebdeffe5fdf6918c31c223b,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,19,7459777331372973069,3725,280,284,76793,0.003698253747086323,373,0.10013422818791946,1,1,1,1,1,1,1,1,9e333a4908a3fb5b2fd15dfd3bb7b8d80606924e014570278e608449fdaa7708,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,20,3749810803650011826,3725,280,285,84177,0.003385722940945864,374,0.1004026845637584,1,1,1,1,1,1,1,1,e4b01f1a08d1a2dfc22aedcb66217cdd308550fd3099a5726ec5be37a1747d6e,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,21,442132347535512879,3725,280,280,82279,0.00340305545765019,381,0.10228187919463087,1,1,1,1,1,1,1,1,782d09735ef47cf2402d7e52297e98e5972105c4198c9e680e4cc75d48a02c42,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,22,13168558951116699914,3725,280,280,73526,0.003808176699398852,382,0.1025503355704698,1,1,1,1,1,1,1,1,525e59760c36d980a6d20aa5d61c7a5f7e18cec61fe5793b509d13eda9408484,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,23,12734042369750003305,3725,280,280,77044,0.003634286900991641,382,0.1025503355704698,1,1,1,1,1,1,1,1,e2fddb9bbcca29589427dd1c4fd37410e4635b65220072a8afb6c443e9a0a45f,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,24,6810585897538916285,3725,280,280,80273,0.00348809686943306,396,0.10630872483221476,1,1,1,1,1,1,1,1,08cd4c92840a2f1c5a57598728b1fcd4d5d88298e2b7bde88f23da6fa291c230,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,25,17866265695365079109,3725,280,302,88736,0.0034033537684817886,373,0.10013422818791946,1,1,1,1,1,1,1,1,47715f624115a1e193b3a8ce9568643dfecddf41ac2e41a330e32804d2541f73,32,1.0,1,1
v16k,1536,6132,91663,current_global,1861411663,degree_depth_global_age_bin_double_edge_swap,26,9715591966042517697,3725,280,290,72943,0.00397570705893643,374,0.1004026845637584,1,1,1,1,1,1,1,1,75b171edc8e44f35b5d7ab3195f3acc6c18f334aff95b7aa1a01b7b5a2ffb137,32,1.0,1,1
