stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_family,target_swap_multiplier,null_replicate,null_seed,edge_count,target_accepted_swaps,accepted_swaps,attempted_swaps,acceptance_rate,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,mixing_pass,structure_pass,null_edge_sha256,run_unique_null_count,run_unique_null_fraction,perturbation_integrity_pass
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,0,7192565793275850459,3586,359,359,107007,0.0033549207061220293,477,0.13301728945900726,1,1,1,1,1,1,1,1,290350c096db9c455a0e029ee3ac45e797c07205e521e47d56e7934ef2589240,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,1,3242224734044207772,3586,359,359,105058,0.0034171600449275637,466,0.12994980479643056,1,1,1,1,1,1,1,1,80d0249be2d6bcc869e1539945da8789956ca118168abc9932710485fceb57e5,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,2,12056925811788518740,3586,359,359,99094,0.0036228227743354794,484,0.13496932515337423,1,1,1,1,1,1,1,1,b7288f973a1c3e90954c21790a4df75bdb9f184cdbf585e60b8cdf1641d19f60,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,3,12486558371837508028,3586,359,359,101252,0.0035456089756251727,473,0.13190184049079753,1,1,1,1,1,1,1,1,bf57c603900315ac967a5729765cfd5497510828e633207784a4c8c278ac9a90,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,4,13225270396291186868,3586,359,359,105366,0.0034071711937437126,467,0.130228667038483,1,1,1,1,1,1,1,1,a74b2a9bc16a2b67e8f0610390e320cb2509984b35ea1940fab2b87a3d1c1cb5,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,5,7049029756033777662,3586,359,359,109916,0.0032661304996542814,481,0.13413273842721696,1,1,1,1,1,1,1,1,720d6e6fa7c45afe866e97cd238551d0338559360a913123debdf46e72804bc6,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,6,7862667983769384030,3586,359,359,107574,0.003337237622473832,488,0.13608477412158393,1,1,1,1,1,1,1,1,f89e744ed43127f74c714788c30cd528bd46c52e0595c3cafb585c750543ae62,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,7,10551703230485680331,3586,359,359,97887,0.003667494151419494,509,0.1419408812046849,1,1,1,1,1,1,1,1,dd164f2dff3ff10a06eda133bf632335eb46e4c7a5326b2c444c18b9c9a70828,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,8,8445430640874211656,3586,359,359,107112,0.003351631936664426,462,0.12883435582822086,1,1,1,1,1,1,1,1,c3557e7dd44e419b174e9334c581ce3f3b7bf6395fa279e8e4dacb20da9dc932,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,9,9193773112404225890,3586,359,359,110931,0.003236245954692557,444,0.1238148354712772,1,1,1,1,1,1,1,1,b053b6bcf2dd2069c48b7a1e835b87f2f91e40c2508e15a995cfa6544eb000d0,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,10,174480692442793000,3586,359,359,102945,0.0034872990431783963,481,0.13413273842721696,1,1,1,1,1,1,1,1,3847ce1c982e9f1af12870bbcd07824543373805014893af3915e12647e8204d,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,11,6881703268279419656,3586,359,359,103874,0.003456110287463658,491,0.1369213608477412,1,1,1,1,1,1,1,1,8cf2641d8da79bd9979b255e3e69b9fd8197ebae2d428fa73272c2e8637e8ff4,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,12,15303109483563723693,3586,359,359,103447,0.003470376134638994,492,0.13720022308979365,1,1,1,1,1,1,1,1,084e6c0fd3803b11565d16e39b1e4d73ba62980f5e158c0c43a3dd8f0378522a,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,13,6797090108166992406,3586,359,359,101022,0.0035536813763338677,442,0.12325711098717233,1,1,1,1,1,1,1,1,5d9badfb3940892c8400967c1477055bb216e90571d9e83e1c7de23f5294c74e,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,14,2634575373244932140,3586,359,359,109528,0.003277700679278358,495,0.13803680981595093,1,1,1,1,1,1,1,1,464a86631dcb850ed0816f836ceff61effbe479fb0dba9c185a9bc28e88f8015,16,1.0,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,15,12724688180605714762,3586,359,359,105303,0.00340920961416104,479,0.1335750139431121,1,1,1,1,1,1,1,1,144bc0308986bca4418b23cb98dace52914500a39b83836bc116a2d06bf4f0c9,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,0,1486665807432355809,3901,391,391,74003,0.005283569585016823,465,0.11920020507562164,1,1,1,1,1,1,1,1,47ce6f08c9919bbd92b9583eababaf9a33ee83cc3907d1b453470b5d80cf3498,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,1,10077720207117622628,3901,391,391,73938,0.005288214449944548,446,0.11432965906177903,1,1,1,1,1,1,1,1,d57907717f1832fb229403c9f70cf6c2582c71909b1ee8d3d9f6086f735f48a8,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,2,14724975490451993450,3901,391,391,72899,0.005363585234365355,462,0.11843117149448859,1,1,1,1,1,1,1,1,f10d1da00ec5f738a8a1046605b171b388d77452bde184870a3f29f770307f1d,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,3,3886758774254960842,3901,391,391,71358,0.005479413660696769,465,0.11920020507562164,1,1,1,1,1,1,1,1,237bc67b9d5421c005962275308e8068a39598f98c22a570951c9e884c4f9eb0,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,4,897738420683569524,3901,391,391,69555,0.005621450650564301,449,0.11509869264291207,1,1,1,1,1,1,1,1,cc52c7db02dd72cadd48a5f461b5cace87fcc0f3e4eeea38720f029f5d0c5462,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,5,1243453123724913331,3901,391,391,79063,0.004945423270050466,480,0.12304537298128684,1,1,1,1,1,1,1,1,18107ce0e36d2bdd97bf50122c238c81688919057661b519f6f753907efd6e3d,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,6,8687946868560587961,3901,391,391,70426,0.005551926845199217,483,0.12381440656241989,1,1,1,1,1,1,1,1,0697c397438b150d5e12622755ec03b384667493eb5cf7b849a64e05e1e7e508,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,7,17979330031781305644,3901,391,391,71408,0.005475576966166256,467,0.11971289412971033,1,1,1,1,1,1,1,1,ae44acf612d5fa9d5f0bf64c5225b18507e2eea7d53966bf661d233073b40d72,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,8,13723446901194344791,3901,391,391,75627,0.005170111203670647,471,0.12073827223788772,1,1,1,1,1,1,1,1,b71cb56732e16aa38c68058126fa552fb57a47aaae8f762037381bdd091cdccf,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,9,15928918243403544006,3901,391,391,74280,0.005263866451265482,443,0.113560625480646,1,1,1,1,1,1,1,1,72ddf90154e0677873be047e2fcd83db0c9eb2bd134bde913182e2138b4f08aa,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,10,668897273509027965,3901,391,391,69855,0.005597308710901153,441,0.11304793642655729,1,1,1,1,1,1,1,1,424bf5e2ce93c7fd11a112b3ea4503078bac7a03764a7a994d82b48f8e163d88,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,11,10318675948892862177,3901,391,391,77643,0.0050358692992285205,434,0.11125352473724685,1,1,1,1,1,1,1,1,519306b2b4a8dec35c12aa82da98944f5b37e52cd6329f538609294614e251ce,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,12,6344211478883816722,3901,391,391,70636,0.005535421031768503,466,0.11945654960266598,1,1,1,1,1,1,1,1,a87a93a5230844b2e4b9dbd8c9b85194006347a339928347abf372b607a88402,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,13,6908781384060593741,3901,391,391,75037,0.005210762690406066,450,0.11535503716995642,1,1,1,1,1,1,1,1,ad0a2b4eced2d2f2ecea6a13e7600bdc4a73ccbf3aae0eb09f2aaca8599313e8,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,14,6702334075646793015,3901,391,391,78226,0.0049983381484416944,440,0.11279159189951295,1,1,1,1,1,1,1,1,217abf618b84d5cc08ffd9333f44dc15d5a2156ff3264f30ad4cb72440be071c,16,1.0,1
v16m,1536,5764,106802,exposure_matched_local,1957746802,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,15,13404958803399893307,3901,391,391,74160,0.005272384034519957,447,0.11458600358882338,1,1,1,1,1,1,1,1,bcad137d9ff07d81b84ca5eea2d822e203054481e583107a3822a69e78583871,16,1.0,1
v16m,1536,5764,108688,current_global,1857748688,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,0,16461189100384008222,3621,363,363,115453,0.0031441365750565164,437,0.12068489367578017,1,1,1,1,1,1,1,1,4b09ffbd1cf087982b8857921d14a2c3cbd4c0910379fbd033ba42f656e579f8,16,1.0,1
v16m,1536,5764,108688,current_global,1857748688,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,1,10117199174490165144,3621,363,363,117248,0.003096001637554585,415,0.11460922397127865,1,1,1,1,1,1,1,1,b0cd7c6d6bb87fac10b2d0dcaf862fb98e9290f7e25586d8df6a9c0a5f51320b,16,1.0,1
v16m,1536,5764,108688,current_global,1857748688,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,2,11503802334448034547,3621,363,363,121610,0.0029849518954033387,388,0.10715272024302679,1,1,1,1,1,1,1,1,773b62028f63fb31ef7f44b99517576c66ad2c7d331ac68f72453d1c3b728659,16,1.0,1
v16m,1536,5764,108688,current_global,1857748688,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,3,6013635832524789004,3621,363,363,114936,0.003158279390269367,432,0.11930405965202982,1,1,1,1,1,1,1,1,ef212597f11e461481617dbcef2d1e455b86c54550aef2717f92738b464513d2,16,1.0,1
v16m,1536,5764,108688,current_global,1857748688,degree_depth_global_age_bin_double_edge_swap_longer_010,0.1,4,4400950829977943232,3621,363,363,120632,0.0030091518005172756,421,0.11626622479977906,1,1,1,1,1,1,1,1,c2b63c5a7b9c6da5450a709e494441fb4dcd6acd93d23da6c8f0ca9b1d81b90f,16,1.0,1
