stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_family,null_replicate,null_seed,edge_count,target_accepted_swaps,accepted_swaps,attempted_swaps,acceptance_rate,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,mixing_pass,structure_pass,null_edge_sha256,run_unique_null_count,run_unique_null_fraction,run_uniqueness_pass,null_integrity_pass
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,0,11173986107726220386,3586,269,269,78750,0.003415873015873016,399,0.11126603457891801,1,1,1,1,1,1,1,1,cdf654bfd1052a5a8b210dc126c17486d0e6e18f3d47dfd3d730e63e7209d6bd,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,1,15698365140514466199,3586,269,269,78000,0.003448717948717949,399,0.11126603457891801,1,1,1,1,1,1,1,1,db44ef6b15cb7772bf7113c8dd01e0c9a0a46e71d62ee9755240be6bb644a459,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,2,2192759795993029571,3586,269,269,74035,0.0036334166272708854,397,0.11070831009481316,1,1,1,1,1,1,1,1,d197157a6d3a5095b9292ef72e8c8d6383ab64262f95ccccd2f20fef4683b76e,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,3,9012902188822765520,3586,269,269,83415,0.003224839657136007,389,0.10847741215839375,1,1,1,1,1,1,1,1,d652e483d4cebcaf0e2e54350f365448ffd24a9c5cf9006d64c0da46ffa40925,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,4,2119588903610573320,3586,269,269,82242,0.003270834853238005,385,0.10736196319018405,1,1,1,1,1,1,1,1,447fbc64b3095bbacd803cad360a444e803d84aad685229271685e3e71d6e9b7,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,5,7540122300235077764,3586,269,269,73580,0.0036558847512911117,380,0.10596765197992192,1,1,1,1,1,1,1,1,f202fea57b337b2c25380684192134a127b3a236c143b6f7534814aeaaf834f3,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,6,11980014977306376307,3586,269,269,70524,0.0038143043502920993,392,0.10931399888455103,1,1,1,1,1,1,1,1,1c4c8838b873c1593ae2f3a140518e14886da8495ad94a594e9310bba276b729,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,7,9617852965951872368,3586,269,269,74767,0.0035978439685957707,404,0.11266034578918015,1,1,1,1,1,1,1,1,680ba41b3f47ee1c442a9deeaa2cf9a92fb5125e98dc2700863ef33f9a5331f3,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,8,5065425175079656678,3586,269,269,83886,0.003206732947094867,380,0.10596765197992192,1,1,1,1,1,1,1,1,7736c7ebaeb7133d259d8eac98fc99558e1960909712edfeba3e7e8ffa0c27e4,32,1.0,1,1
v16m,1536,5764,106802,current_global,1857746802,degree_depth_global_age_bin_double_edge_swap,9,11534628277785822687,3586,269,269,76325,0.0035244022273173926,388,0.10819854991634133,1,1,1,1,1,1,1,1,9dc0651a1d7c78dfcd8dc19290795eb631180913daf3e1142ea3323444202257,32,1.0,1,1
