growth_seed,run_offset,arm,run_seed,replay_index,replay_seed,topological_order_valid,changed_positions,changed_position_fraction,context_failures,final_structure_equal
5764,106802,current_global,1857746802,0,1930746839,1,3065,0.9977213541666666,0,1
5764,106802,current_global,1857746802,1,1930851568,1,3068,0.9986979166666666,0,1
5764,106802,exposure_matched_local,1957746802,0,2030746839,1,3070,0.9993489583333334,0,1
5764,106802,exposure_matched_local,1957746802,1,2030851568,1,3068,0.9986979166666666,0,1
5764,108688,current_global,1857748688,0,1930748725,1,3066,0.998046875,0,1
5764,108688,current_global,1857748688,1,1930853454,1,3067,0.9983723958333334,0,1
5764,108688,exposure_matched_local,1957748688,0,2030748725,1,3066,0.998046875,0,1
5764,108688,exposure_matched_local,1957748688,1,2030853454,1,3071,0.9996744791666666,0,1
5764,100399,current_global,1857740399,0,1930740436,1,3063,0.9970703125,0,1
5764,100399,current_global,1857740399,1,1930845165,1,3069,0.9990234375,0,1
5764,100399,exposure_matched_local,1957740399,0,2030740436,1,3071,0.9996744791666666,0,1
5764,100399,exposure_matched_local,1957740399,1,2030845165,1,3066,0.998046875,0,1
6681,106802,current_global,1866916802,0,1939916839,1,3064,0.9973958333333334,0,1
6681,106802,current_global,1866916802,1,1940021568,1,3068,0.9986979166666666,0,1
6681,106802,exposure_matched_local,1966916802,0,2039916839,1,3069,0.9990234375,0,1
6681,106802,exposure_matched_local,1966916802,1,2040021568,1,3070,0.9993489583333334,0,1
6681,108688,current_global,1866918688,0,1939918725,1,3068,0.9986979166666666,0,1
6681,108688,current_global,1866918688,1,1940023454,1,3066,0.998046875,0,1
6681,108688,exposure_matched_local,1966918688,0,2039918725,1,3067,0.9983723958333334,0,1
6681,108688,exposure_matched_local,1966918688,1,2040023454,1,3068,0.9986979166666666,0,1
6681,100399,current_global,1866910399,0,1939910436,1,3069,0.9990234375,0,1
6681,100399,current_global,1866910399,1,1940015165,1,3065,0.9977213541666666,0,1
6681,100399,exposure_matched_local,1966910399,0,2039910436,1,3071,0.9996744791666666,0,1
6681,100399,exposure_matched_local,1966910399,1,2040015165,1,3071,0.9996744791666666,0,1
