stage,target_nodes,growth_seed,run_offset,arm,run_seed,edge_color,edge_count,edge_fraction,bucket_movable_by_size
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,birth->birth|write-read:token,8,0.002249086308687096,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,birth->token|read-write:token,141,0.039640146190610064,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,birth->token|write-read:token&write-write:token,145,0.040764689344953614,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->birth|write-read:token,140,0.03935901040202418,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:adj&read-write:edge&write-read:adj&write-read:edge&write-write:adj&write-write:edge,3,0.0008434073657576609,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:adj&read-write:edge&write-read:adj&write-write:adj,5,0.0014056789429294349,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:adj&write-read:adj&write-write:adj,3,0.0008434073657576609,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:adj&write-write:adj,5,0.0014056789429294349,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:edge,137,0.03851560303626652,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:edge&read-write:token&write-read:token&write-write:token,45,0.012651110486364914,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:edge&write-read:adj&write-read:edge&write-write:adj&write-write:edge,4,0.001124543154343548,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:token&write-read:edge&write-read:token&write-write:token,49,0.013775653640708463,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|read-write:token&write-read:token&write-write:token,2737,0.7694686533595727,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|write-read:adj&write-read:edge&write-write:adj,2,0.000562271577171774,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|write-read:adj&write-write:adj,2,0.000562271577171774,1
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,token->token|write-read:edge,124,0.03486083778464998,1
