stage,target_nodes,growth_seed,run_offset,arm,run_seed,calibration_family,target_swap_multiplier,null_replicate,null_seed,attempt_ceiling,reused_from_lower_ceiling,edge_count,eligible_edge_count,eligible_edge_fraction,color_bucket_count,movable_color_bucket_count,target_accepted_swaps,accepted_swaps,attempted_swaps,attempts_per_edge,acceptance_rate,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,global_edge_color_histogram_pass,actual_resource_conflict_edges_pass,completion_and_change_pass,structure_pass,null_edge_sha256,run_unique_null_count,run_unique_null_fraction,run_uniqueness_pass,perturbation_integrity_pass
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,0,5322555455076843210,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,1,16544007043191237204,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,2,2783226160496078086,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,3,4870481779753410146,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,4,2546409658541454324,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,5,4984199266925359412,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,6,9780584458107320580,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,7,10499012880943766995,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,8,368803535591816292,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
v16n_calibration,1536,8018,114756,exposure_matched_local,1980294756,primary_0075,0.075,9,14534632374802140905,240,0,3557,3557,1.0,17,17,267,0,853680,240.0,0.0,0,0.0,1,1,1,1,1,1,1,1,0,1,49dba28a89a92030c5e61e2a3fc7a477eaa45cf23d6b3a638c8a890672661aa8,1,0.03125,0,0
