stage,target_nodes,growth_seed,run_offset,arm,run_seed,footprint,edge_count,candidate_pair_count,legal_pair_count,legal_edge_count,legal_edge_fraction
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->birth[node&token],16,120,0,0,0.0
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[adj&edge&node&token],7,21,0,0,0.0
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],319,50721,64,86,0.26959247648902823
v16o,1536,7252,110360,exposure_matched_local,1972630360,seed[adj&node]->token[edge&node&token],12,66,0,0,0.0
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[adj&edge&token]->birth[node&token],3,3,0,0,0.0
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[adj&edge&token]->token[adj&edge&node&token],31,465,43,21,0.6774193548387096
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[adj&edge&token]->token[edge&node&token],154,11781,918,103,0.6688311688311688
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[token]->birth[node&token],155,11935,8,16,0.1032258064516129
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[token]->seed[node&token],1,0,0,0,0.0
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[token]->token[adj&edge&node&token],168,14028,1489,131,0.7797619047619048
v16o,1536,7252,110360,exposure_matched_local,1972630360,token[token]->token[edge&node&token],2632,3462396,3772,2026,0.7697568389057751
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->birth[node&token],22,231,1,2,0.09090909090909091
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[adj&edge&node&token],1,0,0,0,0.0
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],355,62835,57,70,0.19718309859154928
v16o,1536,7252,114756,exposure_matched_local,1972634756,token[adj&edge&token]->birth[node&token],2,1,0,0,0.0
v16o,1536,7252,114756,exposure_matched_local,1972634756,token[adj&edge&token]->token[adj&edge&node&token],42,861,117,36,0.8571428571428571
v16o,1536,7252,114756,exposure_matched_local,1972634756,token[adj&edge&token]->token[edge&node&token],212,22366,2185,150,0.7075471698113207
v16o,1536,7252,114756,exposure_matched_local,1972634756,token[token]->birth[node&token],160,12720,11,21,0.13125
v16o,1536,7252,114756,exposure_matched_local,1972634756,token[token]->token[adj&edge&node&token],236,27730,2368,182,0.7711864406779662
v16o,1536,7252,114756,exposure_matched_local,1972634756,token[token]->token[edge&node&token],2593,3360528,3473,1988,0.7666795217894331
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->birth[node&token],15,105,0,0,0.0
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[adj&edge&node&token],4,6,0,0,0.0
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],315,49455,35,53,0.16825396825396827
v16o,1536,7252,117562,exposure_matched_local,1972637562,seed[adj&node]->token[adj&edge&node&token],2,1,0,0,0.0
v16o,1536,7252,117562,exposure_matched_local,1972637562,seed[adj&node]->token[edge&node&token],32,496,24,16,0.5
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[adj&edge&token]->birth[node&token],1,0,0,0,0.0
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[adj&edge&token]->token[adj&edge&node&token],14,91,3,5,0.35714285714285715
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[adj&edge&token]->token[edge&node&token],126,7875,290,74,0.5873015873015873
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[token]->birth[node&token],153,11628,6,11,0.0718954248366013
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[token]->seed[node&token],3,3,0,0,0.0
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[token]->token[adj&edge&node&token],140,9730,574,102,0.7285714285714285
v16o,1536,7252,117562,exposure_matched_local,1972637562,token[token]->token[edge&node&token],2658,3531153,2986,1934,0.7276147479307751
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->birth[node&token],16,120,0,0,0.0
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[adj&edge&node&token],4,6,0,0,0.0
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[edge&node&token],316,49770,22,33,0.10443037974683544
v16o,1536,8018,110360,exposure_matched_local,1980290360,seed[adj&node]->token[adj&edge&node&token],1,0,0,0,0.0
v16o,1536,8018,110360,exposure_matched_local,1980290360,seed[adj&node]->token[edge&node&token],9,36,0,0,0.0
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[adj&edge&token]->birth[node&token],1,0,0,0,0.0
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[adj&edge&token]->token[adj&edge&node&token],31,465,42,22,0.7096774193548387
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[adj&edge&token]->token[edge&node&token],214,22791,2022,151,0.705607476635514
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[token]->birth[node&token],153,11628,6,11,0.0718954248366013
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[token]->seed[node&token],1,0,0,0,0.0
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[token]->token[adj&edge&node&token],189,17766,1481,150,0.7936507936507936
v16o,1536,8018,110360,exposure_matched_local,1980290360,token[token]->token[edge&node&token],2631,3459765,2660,1937,0.7362219688331433
v16o,1536,8018,114756,exposure_matched_local,1980294756,birth[token]->birth[node&token],8,28,0,0,0.0
