stage,target_nodes,growth_seed,run_offset,arm,run_seed,footprint,first_edge_index,second_edge_index,old_first_edge,old_second_edge,new_first_edge,new_second_edge
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],16,38,4>30,12>54,4>54,12>30
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],16,60,4>30,2>75,4>75,2>30
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],38,48,12>54,2>64,12>64,2>54
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],38,49,12>54,4>64,12>64,4>54
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],230,247,222>235,227>250,222>250,227>235
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],230,271,222>235,227>273,222>273,227>235
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],247,321,227>250,222>321,227>321,222>250
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],271,321,227>273,222>321,227>321,222>273
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],424,495,376>420,365>486,376>486,365>420
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],476,495,376>468,365>486,376>486,365>468
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],563,623,533>551,523>607,533>607,523>551
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],576,598,524>564,530>582,524>582,530>564
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],598,642,530>582,548>624,530>624,548>582
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],623,627,523>607,533>610,523>610,533>607
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],623,736,523>607,524>708,523>708,524>607
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],623,737,523>607,530>708,523>708,530>607
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],642,736,548>624,524>708,548>708,524>624
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],642,737,548>624,530>708,548>708,530>624
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],713,727,622>688,654>701,622>701,654>688
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],713,742,622>688,654>713,622>713,654>688
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],982,994,855>930,750>940,855>940,750>930
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1052,1173,907>992,894>1094,907>1094,894>992
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1222,1223,1025>1140,1123>1141,1025>1141,1123>1140
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1283,1309,1025>1188,1006>1209,1025>1209,1006>1188
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1413,1498,1277>1299,1270>1369,1277>1369,1270>1299
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1413,1560,1277>1299,1270>1416,1277>1416,1270>1299
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1443,1447,1144>1321,1198>1325,1144>1325,1198>1321
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1456,1661,1296>1333,1289>1509,1296>1509,1289>1333
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1498,1646,1270>1369,1277>1496,1270>1496,1277>1369
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1560,1646,1270>1416,1277>1496,1270>1496,1277>1416
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1769,1778,1575>1605,1574>1613,1575>1613,1574>1605
v16o,1536,7252,110360,exposure_matched_local,1972630360,birth[token]->token[edge&node&token],1769,2243,1575>1605,1574>2023,1575>2023,1574>1605
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->birth[node&token],2890,2920,2338>2493,2460>2519,2338>2519,2460>2493
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],661,685,554>608,560>631,554>631,560>608
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],755,959,646>698,656>886,646>886,656>698
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1280,1349,1058>1178,1079>1235,1058>1235,1079>1178
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1358,1428,950>1243,1085>1298,950>1298,1085>1243
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1391,1428,1198>1265,1085>1298,1198>1298,1085>1265
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1415,1559,1220>1286,1183>1420,1220>1420,1183>1286
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1428,1450,1085>1298,1163>1316,1085>1316,1163>1298
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1460,1842,1253>1326,1220>1664,1253>1664,1220>1326
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1559,1842,1183>1420,1220>1664,1183>1664,1220>1420
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1698,1825,1493>1537,1474>1648,1493>1648,1474>1537
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1742,1753,1488>1572,1534>1582,1488>1582,1534>1572
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1824,1840,1425>1648,1556>1662,1425>1662,1556>1648
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],1825,1840,1474>1648,1556>1662,1474>1662,1556>1648
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2041,2047,1524>1817,1790>1821,1524>1821,1790>1817
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2041,2099,1524>1817,1677>1862,1524>1862,1677>1817
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2143,2238,1766>1891,1799>1972,1766>1972,1799>1891
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2143,2405,1766>1891,1799>2107,1766>2107,1799>1891
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2158,2170,1861>1906,1869>1917,1861>1917,1869>1906
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2158,2204,1861>1906,1869>1949,1861>1949,1869>1906
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2482,2839,2067>2166,2085>2461,2067>2461,2085>2166
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2781,2811,2067>2409,2275>2434,2067>2434,2275>2409
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2781,2839,2067>2409,2085>2461,2067>2461,2085>2409
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2781,2893,2067>2409,2275>2496,2067>2496,2275>2409
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2811,2839,2275>2434,2085>2461,2275>2461,2085>2434
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2812,3343,2293>2435,2230>2856,2293>2856,2230>2435
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2839,2893,2085>2461,2275>2496,2085>2496,2275>2461
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2906,2943,2223>2507,2365>2538,2223>2538,2365>2507
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2906,3028,2223>2507,2365>2600,2223>2600,2365>2507
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2919,2947,2456>2518,2460>2542,2456>2542,2460>2518
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2919,3381,2456>2518,2460>2881,2456>2881,2460>2518
v16o,1536,7252,114756,exposure_matched_local,1972634756,birth[token]->token[edge&node&token],2926,3044,2494>2524,2493>2613,2494>2613,2493>2524
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],55,89,60>76,51>107,60>107,51>76
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],75,89,60>94,51>107,60>107,51>94
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],141,203,122>156,101>212,122>212,101>156
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],301,303,285>297,265>298,285>298,265>297
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],341,350,233>331,266>339,233>339,266>331
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],377,382,273>366,290>370,273>370,290>366
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],466,480,435>451,214>463,435>463,214>451
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],475,480,435>459,214>463,435>463,214>459
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],624,635,548>597,580>607,548>607,580>597
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],933,943,715>877,832>886,715>886,832>877
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],986,988,812>928,906>929,812>929,906>928
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],988,1011,906>929,901>949,906>949,901>929
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],992,999,901>933,812>939,901>939,812>933
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1000,1011,906>940,901>949,906>949,901>940
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1232,1278,842>1155,1085>1200,842>1200,1085>1155
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1686,2126,1500>1532,1492>1910,1500>1910,1492>1532
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1726,1805,1438>1565,1462>1637,1438>1637,1462>1565
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1726,1834,1438>1565,1462>1662,1438>1662,1462>1565
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1761,1805,1526>1596,1462>1637,1526>1637,1462>1596
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],1834,1874,1462>1662,1526>1699,1462>1699,1526>1662
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2126,2137,1492>1910,1196>1918,1492>1918,1196>1910
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2126,2138,1492>1910,1500>1918,1492>1918,1500>1910
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2147,2283,1847>1926,1817>2048,1847>2048,1817>1926
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2166,2283,1847>1944,1817>2048,1847>2048,1817>1944
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2583,3126,2199>2301,2212>2765,2199>2765,2212>2301
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2617,3347,2210>2330,2226>2963,2210>2963,2226>2330
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2879,2958,2395>2561,2427>2630,2395>2630,2427>2561
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2879,3255,2395>2561,2427>2878,2395>2878,2427>2561
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2916,3116,2341>2590,2432>2756,2341>2756,2432>2590
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],2916,3336,2341>2590,2432>2952,2341>2952,2432>2590
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],3111,3116,2341>2752,2432>2756,2341>2756,2432>2752
v16o,1536,7252,117562,exposure_matched_local,1972637562,birth[token]->token[edge&node&token],3111,3117,2341>2752,2581>2756,2341>2756,2581>2752
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[edge&node&token],196,237,164>204,147>243,164>243,147>204
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[edge&node&token],808,813,703>737,733>740,703>740,733>737
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[edge&node&token],883,885,708>803,654>804,708>804,654>803
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[edge&node&token],1139,1218,896>1008,933>1069,896>1069,933>1008
v16o,1536,8018,110360,exposure_matched_local,1980290360,birth[token]->token[edge&node&token],1155,1218,896>1019,933>1069,896>1069,933>1019
