stage,target_nodes,growth_seed,run_offset,arm,run_seed,protocol,stage_swap_multipliers,stage_count,null_replicate,null_seed,max_attempts_per_edge,target_accepted_swaps,accepted_swaps,attempted_swaps,attempts_per_edge,acceptance_rate,stage_1_target_accepted_swaps,stage_1_accepted_swaps,stage_1_attempted_swaps,stage_1_changed_edge_fraction,stage_1_completion_pass,stage_2_target_accepted_swaps,stage_2_accepted_swaps,stage_2_attempted_swaps,stage_2_changed_edge_fraction,stage_2_completion_pass,edge_count,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,global_event_footprint_histogram_pass,actual_resource_conflict_edge_fraction,structure_pass,null_edge_sha256,all_stage_completion_pass,final_change_pass,completion_and_change_pass,run_unique_null_count,run_unique_null_fraction,run_uniqueness_pass,perturbation_integrity_pass
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,0,18351430170391997962,240,273,868,41673,11.486493936052922,0.020828834017229382,273,868,41673,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9010474090407938,1,7d59ff3196cba7fa0b23985259d85f1f32511b8d1007700d8eae6886b615ef60,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,1,7456246214168237906,240,273,963,48353,13.327728776185227,0.019916034165408558,273,963,48353,0.10033076074972437,1,,,,,,3628,364,0.10033076074972437,1,1,1,1,1,1,1,0.9007717750826902,1,c5bcb67841cb24cb6416a27deb5aa779831136257f8306aee48bd5794a979f36,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,2,12952648329610476948,240,273,821,42363,11.676681367144432,0.019380119443854305,273,821,42363,0.10033076074972437,1,,,,,,3628,364,0.10033076074972437,1,1,1,1,1,1,1,0.9002205071664829,1,84c87676423643963758b031c40f303266047e1f1fda89c1412f1b3adc3c8aff,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,3,5423628227422889859,240,273,997,50729,13.98263506063947,0.01965345266021408,273,997,50729,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9015986769570011,1,2bedffb3f79383ba62c052f75cbfe97f660283952dd1967bd55e4c8a7ff1b47a,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,4,1875155106423190773,240,273,1020,52812,14.55678059536935,0.01931379231992729,273,1020,52812,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9004961411245865,1,45913d128fd45041363de36605630af42896c1bbffa8210bb0d4e3d2534c9ff6,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,5,882365020864279305,240,273,785,40145,11.065325248070563,0.019554116328309876,273,785,40145,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9013230429988974,1,e12a8c91965cf8f2ed45d8796771c78cec7dad49885ea8c3481cfa9ffbaeb6bd,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,6,3474060955269855022,240,273,919,46309,12.764332965821389,0.019844954544472996,273,919,46309,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9010474090407938,1,04c860a4366df2e2a912f84a6605f16c13b49a849ecf28411297f519c18a9e42,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,7,8985151447168823200,240,273,911,45216,12.463065049614112,0.020147735314932767,273,911,45216,0.10033076074972437,1,,,,,,3628,364,0.10033076074972437,1,1,1,1,1,1,1,0.8999448732083792,1,f0eab232808c0c02890faa0adb188faeb19c5a3d1a04a27c8a7d631215f5e779,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,8,14423304662231433577,240,273,977,46822,12.905733186328556,0.020866259450685574,273,977,46822,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9015986769570011,1,b77ae9afa0f66cb4364062adaf97bfac0c4e1f80bddd4af40437188594933756,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,9,9639183654038153457,240,273,929,47908,13.205071664829108,0.019391333388995576,273,929,47908,0.10033076074972437,1,,,,,,3628,364,0.10033076074972437,1,1,1,1,1,1,1,0.9007717750826902,1,4348dad1879144be4f2151ae971d090529b6882618a269b236f608df9d024841,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,10,16916639799478943957,240,273,1002,51302,14.140573318632855,0.019531402284511324,273,1002,51302,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9002205071664829,1,82e31ebb08b18ed792be49d3058f9567f3d323b559dd86f378a134fd76767233,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,11,5769207462088364703,240,273,921,44724,12.327453142227123,0.020592970217332977,273,921,44724,0.10005512679162072,1,,,,,,3628,363,0.10005512679162072,1,1,1,1,1,1,1,0.9015986769570011,1,e115db76cb580eeba8392bae64c27d0355bb8c09899302a34fe1fde4283a2a45,1,1,1,16,1.0,1,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_short_0075,0.075,1,12,6173069000388564344,240,273,752,38471,10.603914002205071,0.019547191390917835,273,752,38471,0.10033076074972437,1,,,,,,3628,364,0.10033076074972437,1,1,1,1,1,1,1,0.9004961411245865,1,6c9a9d0bdbf8dac6f2198539bf028c9c67a9f495fcfe528971f5494505a406ba,1,1,1,16,1.0,1,1
