stage,target_nodes,growth_seed,run_offset,arm,run_seed,comparison,gate_family,left_protocol,right_protocol,center_jensen_shannon,pooled_median_leave_one_out_js,center_shift_ratio,max_absolute_bin_delta,threshold,stability_pass
v16t,1536,9299,123078,exposure_matched_local,1993113078,short_vs_reference,chain_length,direct_short_0075,direct_reference_0100,2.856546512536488e-05,0.00040920574978254177,0.06980709616261505,0.0024319328146821806,2.0,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,reference_vs_long,chain_length,direct_reference_0100,direct_long_0200,8.172615634740495e-05,0.0005105061346173986,0.16008849023656696,0.004057511183939766,2.0,1
v16t,1536,9299,123078,exposure_matched_local,1993113078,direct_long_vs_staged_long,path_segmentation,direct_long_0200,staged_long_0100x2,6.023401396327969e-05,0.00036557985838622765,0.16476294462492977,0.00429141871917868,2.0,1
v16t,1536,9299,123403,exposure_matched_local,1993113403,short_vs_reference,chain_length,direct_short_0075,direct_reference_0100,4.5859815432504454e-05,0.00030718053127595503,0.14929271474990183,0.004449342256674288,2.0,1
v16t,1536,9299,123403,exposure_matched_local,1993113403,reference_vs_long,chain_length,direct_reference_0100,direct_long_0200,6.335366471561588e-05,0.000447075737019891,0.14170678359312797,0.00563368315347193,2.0,1
v16t,1536,9299,123403,exposure_matched_local,1993113403,direct_long_vs_staged_long,path_segmentation,direct_long_0200,staged_long_0100x2,9.166216652046544e-05,0.00044625785129055593,0.2054018013473218,0.0031795695656113253,2.0,1
v16t,1536,9299,127341,exposure_matched_local,1993117341,short_vs_reference,chain_length,direct_short_0075,direct_reference_0100,6.152399976761243e-05,0.000430307146153497,0.14297694174399303,0.006123308414253237,2.0,1
v16t,1536,9299,127341,exposure_matched_local,1993117341,reference_vs_long,chain_length,direct_reference_0100,direct_long_0200,9.187491563324e-05,0.00038731361517407793,0.23721065316009318,0.004137359701132215,2.0,1
v16t,1536,9299,127341,exposure_matched_local,1993117341,direct_long_vs_staged_long,path_segmentation,direct_long_0200,staged_long_0100x2,0.00024231889735213237,0.0005034899803973568,0.48127848971471704,0.00556983174013137,2.0,1
v16t,1536,9365,123078,exposure_matched_local,1993773078,short_vs_reference,chain_length,direct_short_0075,direct_reference_0100,1.661325000942161e-05,0.0005413641177511839,0.03068775610476869,0.001573704429797776,2.0,1
v16t,1536,9365,123078,exposure_matched_local,1993773078,reference_vs_long,chain_length,direct_reference_0100,direct_long_0200,1.4438510002597397e-05,0.000551342592383325,0.026187909662816176,0.002599524127629982,2.0,1
v16t,1536,9365,123078,exposure_matched_local,1993773078,direct_long_vs_staged_long,path_segmentation,direct_long_0200,staged_long_0100x2,0.0007009632565989337,0.0004789297067597343,1.4636036284769185,0.007658628814099518,2.0,1
v16t,1536,9365,123403,exposure_matched_local,1993773403,short_vs_reference,chain_length,direct_short_0075,direct_reference_0100,0.00011919157150890282,0.0011282766072168945,0.10564038175258383,0.002857391496766025,2.0,1
v16t,1536,9365,123403,exposure_matched_local,1993773403,reference_vs_long,chain_length,direct_reference_0100,direct_long_0200,0.0001407114044464026,0.0011540698412411724,0.12192624693759531,0.008388723352436067,2.0,1
v16t,1536,9365,123403,exposure_matched_local,1993773403,direct_long_vs_staged_long,path_segmentation,direct_long_0200,staged_long_0100x2,0.0006410307512720087,0.0009672440219559273,0.6627394294727597,0.01191656345746725,2.0,1
v16t,1536,9365,127341,exposure_matched_local,1993777341,short_vs_reference,chain_length,direct_short_0075,direct_reference_0100,6.245168432723662e-05,0.0003321729897090453,0.188009519924961,0.005135661194801383,2.0,1
v16t,1536,9365,127341,exposure_matched_local,1993777341,reference_vs_long,chain_length,direct_reference_0100,direct_long_0200,7.822976893641342e-05,0.0003934453482441892,0.19883261877545605,0.004791970433592196,2.0,1
v16t,1536,9365,127341,exposure_matched_local,1993777341,direct_long_vs_staged_long,path_segmentation,direct_long_0200,staged_long_0100x2,0.00018381997215270686,0.00030761179623242386,0.597571271336477,0.003597524124146951,2.0,1
