stage,target_nodes,growth_seed,run_offset,arm,run_seed,protocol,null_replicate,burnin_seed,direct_prefix_seed,staged_reset_seed,edge_count,k_accepted_swaps,burnin_target_accepted_swaps,burnin_accepted_swaps,burnin_attempted_swaps,burnin_changed_edge_fraction,burnin_pass,incremental_target_swaps,incremental_accepted_swaps,incremental_attempted_swaps,segment_1_target_swaps,segment_1_accepted_swaps,segment_2_target_swaps,segment_2_accepted_swaps,incremental_changed_edge_fraction,exact_effort_pass,total_accepted_swaps_since_source,direct_k_prefix_edge_sha256,staged_k_prefix_edge_sha256,path_prefix_reuse_pass,matched_direct_staged_effort_pass,final_changed_edge_fraction_from_source,final_structure_pass,null_edge_sha256,run_unique_null_count,run_unique_null_fraction,run_uniqueness_pass,perturbation_integrity_pass
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,0,8061714324268930033,7247891221663171466,13140504390879625967,3628,363,363,917,48163,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,917,b6f3b530f9e21d0aa882d6bee81eb7be05e1b3fa7084c194d204066e1a969cec,b6f3b530f9e21d0aa882d6bee81eb7be05e1b3fa7084c194d204066e1a969cec,1,1,0.10005512679162072,1,fe7499d76791e0064159726f1a6110637cb5bda7a355f2eefc6d9dcf37c8c603,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,1,6814026081449359796,12942446663685665514,6069507569575588566,3628,363,363,819,41578,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,819,fe7a8e219127bde1fb92745d78908ce46b33e347cdfc0fa7d2474e26f1949c92,fe7a8e219127bde1fb92745d78908ce46b33e347cdfc0fa7d2474e26f1949c92,1,1,0.10005512679162072,1,a7cea3f08a18673ab7932763a5e5d6a4762f27065187cbf2a5073cff5bed29e2,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,2,8839714680063316151,15314825701566581327,8098494785375191124,3628,363,363,908,46968,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,908,83e76a99a3ca23a7bc90332af40782cfadb14a37823a2f2bd466cdcbd729f5b2,83e76a99a3ca23a7bc90332af40782cfadb14a37823a2f2bd466cdcbd729f5b2,1,1,0.10005512679162072,1,bd97f228489447bcfd264dac8b6392b978d011f98c658801d70218a10d25a637,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,3,1945945769189680641,5788719193894307082,5130836247057215941,3628,363,363,1137,56065,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,1137,98d42e980a2cb034e84f8709b2bf9fc6bf3239acb926931b0c572c6332dc9d15,98d42e980a2cb034e84f8709b2bf9fc6bf3239acb926931b0c572c6332dc9d15,1,1,0.10005512679162072,1,48c6ced526e51a7de5172943547816c54adffae1ebc505a21ebafefab4200fd1,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,4,1022978989406800306,12098060930529111244,8887215938929551357,3628,363,363,1131,54581,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,1131,4a2eff82dbb76c9872fc737f0a17e46d50c4aa012c39d6f0658c4ac485d1f940,4a2eff82dbb76c9872fc737f0a17e46d50c4aa012c39d6f0658c4ac485d1f940,1,1,0.10005512679162072,1,a497f3f81215a0bb39d52415a8b4c10526a3cd5ab5d26655d7738dd4f6b56b94,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,5,6672129399358843050,4790268486166972232,7994508332214930025,3628,363,363,1166,61065,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,1166,4dde0a78acdd7efc8abe4ef8816a346cc46380482df34d37039ab6404b421151,4dde0a78acdd7efc8abe4ef8816a346cc46380482df34d37039ab6404b421151,1,1,0.10005512679162072,1,731afecb0e62c9c15edad3986309b5dfd2682aeb3eb77565c4c6a21b7021b44c,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,6,10304846398147559731,17034692918504695063,3971552558777577243,3628,363,363,881,40494,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,881,90c52477ea66f39cc9ed76416df4cfffa1ec3415a3d533b57e8704c27aa8308c,90c52477ea66f39cc9ed76416df4cfffa1ec3415a3d533b57e8704c27aa8308c,1,1,0.10005512679162072,1,815469dbedefb98bbf86b10dc443d18b6d2d6e5486151254f710c30e0724f84b,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,7,4307238561627605317,11466512624896054252,3908081227079493113,3628,363,363,786,39942,0.10033076074972437,1,0,0,0,0,0,0,0,0.0,1,786,6552fbe1186a55bac16740abc08e723f4a3a8e22d6a2dcf425211e33901c943e,6552fbe1186a55bac16740abc08e723f4a3a8e22d6a2dcf425211e33901c943e,1,1,0.10033076074972437,1,622ac7941da6ace06444d150b7846f5303923201d82eeed52fb73683a38a94eb,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,8,17495975078090962530,8205043445140410497,6382687098448733785,3628,363,363,1179,57770,0.10033076074972437,1,0,0,0,0,0,0,0,0.0,1,1179,06a93cb2173bfe5bcd9bde9a79bf7db8190622b346f57bc56606afc12c6cea8a,06a93cb2173bfe5bcd9bde9a79bf7db8190622b346f57bc56606afc12c6cea8a,1,1,0.10033076074972437,1,5de9131a0a1604d0e97a68756988f786492d7a9d0f735f2abe94251cc37f44c2,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,9,10259753078694384780,4298620440657188757,12921651694701238151,3628,363,363,708,37663,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,708,445b2695694b88b66251fbf5bc12ca8eb6660c2350bb2e128c5d7cc5855e9066,445b2695694b88b66251fbf5bc12ca8eb6660c2350bb2e128c5d7cc5855e9066,1,1,0.10005512679162072,1,ac993140f38fb9c71cd4f3e9226ea6bb56904048de2e457fc7c8a7ed03d1c0c8,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,10,13012978856430490448,17965658663748762903,16929373613068492435,3628,363,363,988,45809,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,988,431358b1ab53506853683e03da05993f4cfa86ff1957da79c2d01d5ca1901567,431358b1ab53506853683e03da05993f4cfa86ff1957da79c2d01d5ca1901567,1,1,0.10005512679162072,1,f53d33f6a9cdd697717d5cf62d7d0f04c68f44f38ba83a2bad51209275cda75e,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,11,5055174375678625769,812703488283545644,12175366105809270867,3628,363,363,870,42224,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,870,0e8c3620229e4224a98522843d98c94e2cc92cf81ca7a5d2a94341ebd5ee3e3b,0e8c3620229e4224a98522843d98c94e2cc92cf81ca7a5d2a94341ebd5ee3e3b,1,1,0.10005512679162072,1,9881542c5a4d599e25549927463e104e51797fa82cce30e52cc6c967a4771281,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,12,17226432229141183140,6849196859063192090,10264078923360916326,3628,363,363,1257,61699,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,1257,9c7ca84f1dd7473cfbb5a3303cafcb516acb9ae9a5e716cd450e871e183bb928,9c7ca84f1dd7473cfbb5a3303cafcb516acb9ae9a5e716cd450e871e183bb928,1,1,0.10005512679162072,1,b2e361df577fa17e38528f3a6b9f372e36d1c63199d2e2662edf96ea6eb96e4e,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,13,8008540572094287965,14350579346267177616,11849298390528593038,3628,363,363,890,46917,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,890,6151cfb88fa192e0c4b431c405f76d726d325a96c4ee2d23d9c9507249475729,6151cfb88fa192e0c4b431c405f76d726d325a96c4ee2d23d9c9507249475729,1,1,0.10005512679162072,1,65d1c137bee939d239c47a3ec9c58d83458e88deec6d922407356809af8247e5,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,14,15134377197740112672,4837706730831447422,6199870089697898521,3628,363,363,748,36735,0.10033076074972437,1,0,0,0,0,0,0,0,0.0,1,748,93e5f0cec33be0b33367fa1b11dfb743e5a3e8dd7b6fea85a2bcd3692db4e43b,93e5f0cec33be0b33367fa1b11dfb743e5a3e8dd7b6fea85a2bcd3692db4e43b,1,1,0.10033076074972437,1,4c143709435c693e8f27a5af3c61721efeae11f74c4ab468b73e4293200d2306,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,burnin,15,6176453969762259490,17364633883190396740,5533824951913162064,3628,363,363,1012,49044,0.10005512679162072,1,0,0,0,0,0,0,0,0.0,1,1012,ef1fb4aa6f861906adedb489fbf995c480def34eeec4c66bc3356b39e6d12f7f,ef1fb4aa6f861906adedb489fbf995c480def34eeec4c66bc3356b39e6d12f7f,1,1,0.10005512679162072,1,af4bb3182ca0ee547ababa717eb1ce184f941b8c39dfa94c0a718e9360a783c3,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,0,8061714324268930033,7247891221663171466,13140504390879625967,3628,363,363,917,48163,0.10005512679162072,1,363,363,18457,363,363,0,0,0.07579933847850055,1,1280,b6f3b530f9e21d0aa882d6bee81eb7be05e1b3fa7084c194d204066e1a969cec,b6f3b530f9e21d0aa882d6bee81eb7be05e1b3fa7084c194d204066e1a969cec,1,1,0.10970231532524807,1,b6f3b530f9e21d0aa882d6bee81eb7be05e1b3fa7084c194d204066e1a969cec,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,1,6814026081449359796,12942446663685665514,6069507569575588566,3628,363,363,819,41578,0.10005512679162072,1,363,363,19333,363,363,0,0,0.07497243660418963,1,1182,fe7a8e219127bde1fb92745d78908ce46b33e347cdfc0fa7d2474e26f1949c92,fe7a8e219127bde1fb92745d78908ce46b33e347cdfc0fa7d2474e26f1949c92,1,1,0.11328555678059538,1,fe7a8e219127bde1fb92745d78908ce46b33e347cdfc0fa7d2474e26f1949c92,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,2,8839714680063316151,15314825701566581327,8098494785375191124,3628,363,363,908,46968,0.10005512679162072,1,363,363,19429,363,363,0,0,0.07359426681367144,1,1271,83e76a99a3ca23a7bc90332af40782cfadb14a37823a2f2bd466cdcbd729f5b2,83e76a99a3ca23a7bc90332af40782cfadb14a37823a2f2bd466cdcbd729f5b2,1,1,0.10749724366041896,1,83e76a99a3ca23a7bc90332af40782cfadb14a37823a2f2bd466cdcbd729f5b2,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,3,1945945769189680641,5788719193894307082,5130836247057215941,3628,363,363,1137,56065,0.10005512679162072,1,363,363,17862,363,363,0,0,0.0697353914002205,1,1500,98d42e980a2cb034e84f8709b2bf9fc6bf3239acb926931b0c572c6332dc9d15,98d42e980a2cb034e84f8709b2bf9fc6bf3239acb926931b0c572c6332dc9d15,1,1,0.10446527012127894,1,98d42e980a2cb034e84f8709b2bf9fc6bf3239acb926931b0c572c6332dc9d15,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,4,1022978989406800306,12098060930529111244,8887215938929551357,3628,363,363,1131,54581,0.10005512679162072,1,363,363,18425,363,363,0,0,0.07276736493936053,1,1494,4a2eff82dbb76c9872fc737f0a17e46d50c4aa012c39d6f0658c4ac485d1f940,4a2eff82dbb76c9872fc737f0a17e46d50c4aa012c39d6f0658c4ac485d1f940,1,1,0.10997794928335171,1,4a2eff82dbb76c9872fc737f0a17e46d50c4aa012c39d6f0658c4ac485d1f940,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,5,6672129399358843050,4790268486166972232,7994508332214930025,3628,363,363,1166,61065,0.10005512679162072,1,363,363,18946,363,363,0,0,0.07194046306504961,1,1529,4dde0a78acdd7efc8abe4ef8816a346cc46380482df34d37039ab6404b421151,4dde0a78acdd7efc8abe4ef8816a346cc46380482df34d37039ab6404b421151,1,1,0.10942668136714444,1,4dde0a78acdd7efc8abe4ef8816a346cc46380482df34d37039ab6404b421151,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,6,10304846398147559731,17034692918504695063,3971552558777577243,3628,363,363,881,40494,0.10005512679162072,1,363,363,15826,363,363,0,0,0.07662624035281147,1,1244,90c52477ea66f39cc9ed76416df4cfffa1ec3415a3d533b57e8704c27aa8308c,90c52477ea66f39cc9ed76416df4cfffa1ec3415a3d533b57e8704c27aa8308c,1,1,0.10859977949283352,1,90c52477ea66f39cc9ed76416df4cfffa1ec3415a3d533b57e8704c27aa8308c,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,7,4307238561627605317,11466512624896054252,3908081227079493113,3628,363,363,786,39942,0.10033076074972437,1,363,363,18911,363,363,0,0,0.07221609702315325,1,1149,6552fbe1186a55bac16740abc08e723f4a3a8e22d6a2dcf425211e33901c943e,6552fbe1186a55bac16740abc08e723f4a3a8e22d6a2dcf425211e33901c943e,1,1,0.10474090407938258,1,6552fbe1186a55bac16740abc08e723f4a3a8e22d6a2dcf425211e33901c943e,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,8,17495975078090962530,8205043445140410497,6382687098448733785,3628,363,363,1179,57770,0.10033076074972437,1,363,363,18932,363,363,0,0,0.07083792723263506,1,1542,06a93cb2173bfe5bcd9bde9a79bf7db8190622b346f57bc56606afc12c6cea8a,06a93cb2173bfe5bcd9bde9a79bf7db8190622b346f57bc56606afc12c6cea8a,1,1,0.10722160970231533,1,06a93cb2173bfe5bcd9bde9a79bf7db8190622b346f57bc56606afc12c6cea8a,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,9,10259753078694384780,4298620440657188757,12921651694701238151,3628,363,363,708,37663,0.10005512679162072,1,363,363,19350,363,363,0,0,0.07194046306504961,1,1071,445b2695694b88b66251fbf5bc12ca8eb6660c2350bb2e128c5d7cc5855e9066,445b2695694b88b66251fbf5bc12ca8eb6660c2350bb2e128c5d7cc5855e9066,1,1,0.10391400220507166,1,445b2695694b88b66251fbf5bc12ca8eb6660c2350bb2e128c5d7cc5855e9066,16,1.0,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,direct_plus_k,10,13012978856430490448,17965658663748762903,16929373613068492435,3628,363,363,988,45809,0.10005512679162072,1,363,363,20476,363,363,0,0,0.0733186328555678,1,1351,431358b1ab53506853683e03da05993f4cfa86ff1957da79c2d01d5ca1901567,431358b1ab53506853683e03da05993f4cfa86ff1957da79c2d01d5ca1901567,1,1,0.10970231532524807,1,431358b1ab53506853683e03da05993f4cfa86ff1957da79c2d01d5ca1901567,16,1.0,1,1
