stage,target_nodes,growth_seed,run_offset,arm,run_seed,null_replicate,edge_count,k_accepted_swaps,burnin_accepted_swaps,burnin_changed_edge_fraction,direct_plus_k_accepted_swaps,direct_plus_2k_accepted_swaps,staged_segment_1_accepted_swaps,staged_segment_2_accepted_swaps,staged_total_accepted_swaps,direct_staged_effort_difference,burnin_pass,direct_plus_k_exact_pass,direct_plus_2k_exact_pass,staged_k_plus_k_exact_pass,path_prefix_reuse_pass,matched_effort_pass
v16u,1536,9299,123078,exposure_matched_local,1993113078,0,3628,363,917,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,1,3628,363,819,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,2,3628,363,908,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,3,3628,363,1137,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,4,3628,363,1131,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,5,3628,363,1166,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,6,3628,363,881,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,7,3628,363,786,0.10033076074972437,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,8,3628,363,1179,0.10033076074972437,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,9,3628,363,708,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,10,3628,363,988,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,11,3628,363,870,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,12,3628,363,1257,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,13,3628,363,890,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,14,3628,363,748,0.10033076074972437,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123078,exposure_matched_local,1993113078,15,3628,363,1012,0.10005512679162072,363,726,363,363,726,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,0,3574,358,1286,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,1,3574,358,1121,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,2,3574,358,1092,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,3,3574,358,921,0.1004476776720761,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,4,3574,358,1239,0.1004476776720761,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,5,3574,358,1075,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,6,3574,358,892,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,7,3574,358,1283,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,8,3574,358,1102,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,9,3574,358,1119,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,10,3574,358,1084,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,11,3574,358,1302,0.1004476776720761,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,12,3574,358,1032,0.1004476776720761,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,13,3574,358,1233,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,14,3574,358,1107,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,123403,exposure_matched_local,1993113403,15,3574,358,1163,0.10016787912702854,358,716,358,358,716,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,0,3523,353,1117,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,1,3523,353,1052,0.10048254328697133,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,2,3523,353,948,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,3,3523,353,986,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,4,3523,353,991,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,5,3523,353,1066,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,6,3523,353,1240,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,7,3523,353,1157,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,8,3523,353,1139,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,9,3523,353,1431,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,10,3523,353,1039,0.10048254328697133,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,11,3523,353,1249,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,12,3523,353,1207,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,13,3523,353,1162,0.10048254328697133,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,14,3523,353,1121,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9299,127341,exposure_matched_local,1993117341,15,3523,353,1009,0.10019869429463525,353,706,353,353,706,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,0,3567,357,813,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,1,3567,357,701,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,2,3567,357,730,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,3,3567,357,744,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,4,3567,357,848,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,5,3567,357,768,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,6,3567,357,745,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,7,3567,357,921,0.10036445192038128,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,8,3567,357,731,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,9,3567,357,768,0.10036445192038128,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,10,3567,357,950,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,11,3567,357,955,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,12,3567,357,792,0.10036445192038128,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,13,3567,357,941,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,14,3567,357,791,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123078,exposure_matched_local,1993773078,15,3567,357,791,0.10008410428931876,357,714,357,357,714,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,0,3604,361,1207,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,1,3604,361,1057,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,2,3604,361,1140,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,3,3604,361,911,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,4,3604,361,1099,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,5,3604,361,1059,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,6,3604,361,1153,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,7,3604,361,1120,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,8,3604,361,1163,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,9,3604,361,1111,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,10,3604,361,1834,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,11,3604,361,1210,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,12,3604,361,1092,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,13,3604,361,1048,0.1004439511653718,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,14,3604,361,1005,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
v16u,1536,9365,123403,exposure_matched_local,1993773403,15,3604,361,1326,0.10016648168701443,361,722,361,361,722,0,1,1,1,1,1,1
