stage,target_nodes,growth_seed,run_offset,arm,run_seed,stability_kind,feature,left_count,right_count,left_median,right_median,absolute_center_shift,center_shift_range_ratio,maximum_allowed_ratio,center_stability_pass
v16x,1536,9299,123078,exposure_matched_local,1993113078,primary_half_batch,source_edge_fraction,8,8,0.5621554575523704,0.5560915104740904,0.006063947078279952,0.2972972972972923,0.35,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,primary_half_batch,normalized_mean_parent_lag,8,8,0.06570837209435869,0.06570837209435869,0.0,0.0,0.35,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,primary_half_batch,mean_depth_gap,8,8,2.6033627342888646,2.6033627342888646,0.0,0.0,0.35,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,primary_half_batch,concrete_conflict_fraction,8,8,0.5636714443219404,0.5573318632855568,0.006339581036383546,0.31944444444443737,0.35,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,primary_half_batch,mean_candidate_rank_fraction,8,8,0.3784626833293266,0.3791854632871332,0.0007227799578066185,0.04764252641800007,0.35,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,primary_half_batch,mean_pairwise_changed_fraction,8,8,0.44355016538037484,0.44405549430356483,0.000505328923189996,0.058139534883719965,0.35,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,primary_half_batch,source_edge_fraction,8,8,0.6033855623950756,0.5980693900391718,0.005316172355903759,0.3015873015873022,0.35,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,primary_half_batch,normalized_mean_parent_lag,8,8,0.06061664247575079,0.06061664247575079,0.0,0.0,0.35,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,primary_half_batch,mean_depth_gap,8,8,2.3878007834359263,2.3878007834359263,0.0,0.0,0.35,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,primary_half_batch,concrete_conflict_fraction,8,8,0.6057638500279798,0.5997481813094572,0.00601566871852266,0.3307692307692308,0.35,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,primary_half_batch,mean_candidate_rank_fraction,8,8,0.363236858522962,0.35859747186483454,0.0046393866581274645,0.5040211161047721,0.35,0
v16x,1536,9299,123403,exposure_matched_local,1993113403,primary_half_batch,mean_pairwise_changed_fraction,8,8,0.3983864950568924,0.39847043462040665,8.393956351426812e-05,0.019396551724137515,0.35,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,primary_half_batch,source_edge_fraction,8,8,0.584445075219983,0.5796196423502696,0.004825432869713375,0.17894736842105505,0.35,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,primary_half_batch,normalized_mean_parent_lag,8,8,0.05553673700799508,0.05553673700799508,0.0,0.0,0.35,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,primary_half_batch,mean_depth_gap,8,8,2.154413851830826,2.154413851830826,0.0,0.0,0.35,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,primary_half_batch,concrete_conflict_fraction,8,8,0.5864320181663355,0.5816065852966222,0.004825432869713264,0.18888888888888752,0.35,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,primary_half_batch,mean_candidate_rank_fraction,8,8,0.3830083689355399,0.37846269386443504,0.004545675071104871,0.3136314666026668,0.35,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,primary_half_batch,mean_pairwise_changed_fraction,8,8,0.4195193490396443,0.41910303718421804,0.0004163118554262324,0.11055276381909133,0.35,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,primary_half_batch,source_edge_fraction,8,8,0.5428931875525652,0.5503223997757218,0.007429212223156623,0.31927710843373097,0.35,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,primary_half_batch,normalized_mean_parent_lag,8,8,0.05709874515232221,0.05709874515232221,0.0,0.0,0.35,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,primary_half_batch,mean_depth_gap,8,8,1.9498177740398093,1.9498177740398093,0.0,0.0,0.35,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,primary_half_batch,concrete_conflict_fraction,8,8,0.5442949257078777,0.551443790299972,0.007148864592094295,0.30357142857143227,0.35,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,primary_half_batch,mean_candidate_rank_fraction,8,8,0.38141148986994744,0.38129537708756994,0.00011611278237749767,0.017155046888205107,0.35,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,primary_half_batch,mean_pairwise_changed_fraction,8,8,0.4506494720119615,0.4521540042986637,0.0015045322867022204,0.3411016949152621,0.35,1
v16x,1536,9365,123403,exposure_matched_local,1993773403,primary_half_batch,source_edge_fraction,8,8,0.6058546059933407,0.6055771365149833,0.0002774694783573839,0.010309278350515592,0.35,1
v16x,1536,9365,123403,exposure_matched_local,1993773403,primary_half_batch,normalized_mean_parent_lag,8,8,0.06416833943188124,0.06416833943188124,0.0,0.0,0.35,1
v16x,1536,9365,123403,exposure_matched_local,1993773403,primary_half_batch,mean_depth_gap,8,8,2.9839067702552717,2.9839067702552717,0.0,0.0,0.35,1
v16x,1536,9365,123403,exposure_matched_local,1993773403,primary_half_batch,concrete_conflict_fraction,8,8,0.6080743618201998,0.6079356270810211,0.00013873473917869195,0.005208333333333376,0.35,1
