stage,growth_seed,run_offset,criterion,observed,threshold,direction,criterion_pass
v16x_postrun,9299,123078,unique_endpoint_fraction,1.0,0.9,>=,1
v16x_postrun,9299,123078,median_pairwise_changed_edge_fraction,0.44432194046306506,0.2,>=,1
v16x_postrun,9299,123078,variable_candidate_union_coverage,0.3787858527779635,0.2,>=,1
v16x_postrun,9299,123078,effective_variable_support_ratio,0.28164606965297717,0.1,>=,1
v16x_postrun,9299,123078,maximum_variable_edge_inclusion_rate,1.0,0.95,<=,0
v16x_postrun,9299,123403,unique_endpoint_fraction,1.0,0.9,>=,1
v16x_postrun,9299,123403,median_pairwise_changed_edge_fraction,0.39899272523782875,0.2,>=,1
v16x_postrun,9299,123403,variable_candidate_union_coverage,0.3855932203389831,0.2,>=,1
v16x_postrun,9299,123403,effective_variable_support_ratio,0.2889146776515918,0.1,>=,1
v16x_postrun,9299,123403,maximum_variable_edge_inclusion_rate,0.9375,0.95,<=,1
v16x_postrun,9299,127341,unique_endpoint_fraction,1.0,0.9,>=,1
v16x_postrun,9299,127341,median_pairwise_changed_edge_fraction,0.4183934147033778,0.2,>=,1
v16x_postrun,9299,127341,variable_candidate_union_coverage,0.4231467866101548,0.2,>=,1
v16x_postrun,9299,127341,effective_variable_support_ratio,0.3192939598674403,0.1,>=,1
v16x_postrun,9299,127341,maximum_variable_edge_inclusion_rate,1.0,0.95,<=,0
v16x_postrun,9365,123078,unique_endpoint_fraction,1.0,0.9,>=,1
v16x_postrun,9365,123078,median_pairwise_changed_edge_fraction,0.4510793383795907,0.2,>=,1
v16x_postrun,9365,123078,variable_candidate_union_coverage,0.3720484391475221,0.2,>=,1
v16x_postrun,9365,123078,effective_variable_support_ratio,0.2767513552411312,0.1,>=,1
v16x_postrun,9365,123078,maximum_variable_edge_inclusion_rate,0.9375,0.95,<=,1
v16x_postrun,9365,123403,unique_endpoint_fraction,1.0,0.9,>=,1
v16x_postrun,9365,123403,median_pairwise_changed_edge_fraction,0.3951165371809101,0.2,>=,1
v16x_postrun,9365,123403,variable_candidate_union_coverage,0.4145323551377235,0.2,>=,1
v16x_postrun,9365,123403,effective_variable_support_ratio,0.3093684824700843,0.1,>=,1
v16x_postrun,9365,123403,maximum_variable_edge_inclusion_rate,1.0,0.95,<=,0
v16x_postrun,9365,127341,unique_endpoint_fraction,1.0,0.9,>=,1
v16x_postrun,9365,127341,median_pairwise_changed_edge_fraction,0.4505157513242264,0.2,>=,1
v16x_postrun,9365,127341,variable_candidate_union_coverage,0.34446627373935823,0.2,>=,1
v16x_postrun,9365,127341,effective_variable_support_ratio,0.2535247257915638,0.1,>=,1
v16x_postrun,9365,127341,maximum_variable_edge_inclusion_rate,1.0,0.95,<=,0
