stage,target_nodes,growth_seed,run_offset,arm,run_seed,replicate,relabel_seed,source_endpoint_sha256,replay_endpoint_sha256,permuted_insertion_endpoint_sha256,relabeled_endpoint_sha256,replay_integrity_pass,insertion_integrity_pass,relabel_integrity_pass,candidate_set_covariance_pass,exact_replay_pass,candidate_insertion_covariance_pass,semantic_role_relabel_covariance_pass,representation_pass
v16x,1536,9299,123078,exposure_matched_local,1993113078,0,1901,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,1,1,1,1,1,1,1,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,5,1902,600416b2b256d8c07341b1a36f2b4e74064350f6c6b1c2dd87b3672be9c7e307,600416b2b256d8c07341b1a36f2b4e74064350f6c6b1c2dd87b3672be9c7e307,600416b2b256d8c07341b1a36f2b4e74064350f6c6b1c2dd87b3672be9c7e307,600416b2b256d8c07341b1a36f2b4e74064350f6c6b1c2dd87b3672be9c7e307,1,1,1,1,1,1,1,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,10,1903,1a443f94f9dbd45d6370c8a37a1502feccbba29c0d64ff2e8cd7f8ea759e79dd,1a443f94f9dbd45d6370c8a37a1502feccbba29c0d64ff2e8cd7f8ea759e79dd,1a443f94f9dbd45d6370c8a37a1502feccbba29c0d64ff2e8cd7f8ea759e79dd,1a443f94f9dbd45d6370c8a37a1502feccbba29c0d64ff2e8cd7f8ea759e79dd,1,1,1,1,1,1,1,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,15,1904,f05fea792fba43b219816a37bfa6293bbcbc7a8f7fa4335415e0b8fae81f4c2f,f05fea792fba43b219816a37bfa6293bbcbc7a8f7fa4335415e0b8fae81f4c2f,f05fea792fba43b219816a37bfa6293bbcbc7a8f7fa4335415e0b8fae81f4c2f,f05fea792fba43b219816a37bfa6293bbcbc7a8f7fa4335415e0b8fae81f4c2f,1,1,1,1,1,1,1,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,0,1901,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,1,1,1,1,1,1,1,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,5,1902,8edf76e542e06a5034018c0561bb25642d4ddac39055530f693dc2d8edb22190,8edf76e542e06a5034018c0561bb25642d4ddac39055530f693dc2d8edb22190,8edf76e542e06a5034018c0561bb25642d4ddac39055530f693dc2d8edb22190,8edf76e542e06a5034018c0561bb25642d4ddac39055530f693dc2d8edb22190,1,1,1,1,1,1,1,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,10,1903,db59efc51103a5001d2d2cd705526d73346c9ec5c7bf0d03075ef9abaea52683,db59efc51103a5001d2d2cd705526d73346c9ec5c7bf0d03075ef9abaea52683,db59efc51103a5001d2d2cd705526d73346c9ec5c7bf0d03075ef9abaea52683,db59efc51103a5001d2d2cd705526d73346c9ec5c7bf0d03075ef9abaea52683,1,1,1,1,1,1,1,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,15,1904,c324c6314e18e0e121c352741111ae7547574328a2f9b74975464604d026333a,c324c6314e18e0e121c352741111ae7547574328a2f9b74975464604d026333a,c324c6314e18e0e121c352741111ae7547574328a2f9b74975464604d026333a,c324c6314e18e0e121c352741111ae7547574328a2f9b74975464604d026333a,1,1,1,1,1,1,1,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,0,1901,0a19ef1b31d44a6a6324df35f0486f65716ff44252bcde04c0339e145f9916b5,0a19ef1b31d44a6a6324df35f0486f65716ff44252bcde04c0339e145f9916b5,0a19ef1b31d44a6a6324df35f0486f65716ff44252bcde04c0339e145f9916b5,0a19ef1b31d44a6a6324df35f0486f65716ff44252bcde04c0339e145f9916b5,1,1,1,1,1,1,1,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,5,1902,3b6bf1deb044c21efa0306f08a3c14ea40bd8f22fc918bbb66efd5b474bda419,3b6bf1deb044c21efa0306f08a3c14ea40bd8f22fc918bbb66efd5b474bda419,3b6bf1deb044c21efa0306f08a3c14ea40bd8f22fc918bbb66efd5b474bda419,3b6bf1deb044c21efa0306f08a3c14ea40bd8f22fc918bbb66efd5b474bda419,1,1,1,1,1,1,1,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,10,1903,555e81923a3bbf42c0dd17cc955e0000d863814942e7471c5003fe01d0cac2c8,555e81923a3bbf42c0dd17cc955e0000d863814942e7471c5003fe01d0cac2c8,555e81923a3bbf42c0dd17cc955e0000d863814942e7471c5003fe01d0cac2c8,555e81923a3bbf42c0dd17cc955e0000d863814942e7471c5003fe01d0cac2c8,1,1,1,1,1,1,1,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,15,1904,7c288553588d3a721ed96bd4db4ba8ba5bf30bdcb345a45d5390864c83650715,7c288553588d3a721ed96bd4db4ba8ba5bf30bdcb345a45d5390864c83650715,7c288553588d3a721ed96bd4db4ba8ba5bf30bdcb345a45d5390864c83650715,7c288553588d3a721ed96bd4db4ba8ba5bf30bdcb345a45d5390864c83650715,1,1,1,1,1,1,1,1
