stage,target_nodes,growth_seed,run_offset,arm,run_seed,state_space_arm,candidate_edge_count,source_edge_count,concrete_conflict_candidate_count,concrete_conflict_candidate_fraction,residual_scc_count,globally_flexible_edge_count,globally_forced_source_edge_count,globally_forced_source_edge_fraction,flexible_source_edge_count,flexible_non_source_edge_count,maximum_possible_changed_edge_fraction,frozen_nontrivial_change_floor,nontrivial_change_possible_pass,alternating_cycle_witness_count,alternating_cycle_witness_integrity_pass
v16x,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,50740,3628,3899,0.0768427276310603,2498,29914,1341,0.36962513781697903,2287,27627,0.630374862183021,0.1,1,4,1
v16x,1536,9299,123078,exposure_matched_local,1993113078,actual_concrete_conflict_only,3899,3628,3899,1.0,6400,6,3625,0.9991730981256891,3,3,0.0008269018743109151,0.1,0,3,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,coarse_v16v_slot_space,47804,3574,4029,0.08428165007112376,2825,24780,1491,0.41717963066592056,2083,22697,0.5828203693340794,0.1,1,4,1
v16x,1536,9299,123403,exposure_matched_local,1993113403,actual_concrete_conflict_only,4029,3574,4029,1.0,6372,19,3565,0.997481813094572,9,10,0.002518186905428092,0.1,0,4,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,coarse_v16v_slot_space,41390,3523,3785,0.09144720947088669,2578,23122,1364,0.38717002554640934,2159,20963,0.6128299744535907,0.1,1,4,1
v16x,1536,9299,127341,exposure_matched_local,1993117341,actual_concrete_conflict_only,3785,3523,3785,1.0,6325,38,3504,0.9946068691456146,19,19,0.005393130854385467,0.1,0,4,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,coarse_v16v_slot_space,49772,3567,3827,0.07689062123282167,2436,31297,1326,0.37174095878889823,2241,29056,0.6282590412111018,0.1,1,4,1
v16x,1536,9365,123078,exposure_matched_local,1993773078,actual_concrete_conflict_only,3827,3567,3827,1.0,6351,6,3564,0.9991589571068125,3,3,0.0008410428931875525,0.1,0,3,1
v16x,1536,9365,123403,exposure_matched_local,1993773403,coarse_v16v_slot_space,42350,3604,3873,0.09145218417945691,2790,22763,1483,0.41148723640399554,2121,20642,0.5885127635960045,0.1,1,4,1
v16x,1536,9365,123403,exposure_matched_local,1993773403,actual_concrete_conflict_only,3873,3604,3873,1.0,6376,42,3583,0.994173140954495,21,21,0.005826859045504994,0.1,0,4,1
v16x,1536,9365,127341,exposure_matched_local,1993777341,coarse_v16v_slot_space,53830,3587,3869,0.07187441946869776,2369,33594,1296,0.36130471145804294,2291,31303,0.6386952885419571,0.1,1,4,1
v16x,1536,9365,127341,exposure_matched_local,1993777341,actual_concrete_conflict_only,3869,3587,3869,1.0,6350,6,3584,0.9991636465012546,3,3,0.0008363534987454698,0.1,0,3,1
