stage,target_nodes,growth_seed,run_offset,arm,run_seed,state_space_arm,stochastic_measure,stationary_target_scope,start_family,chain_seed_family,sample_index,step,selected_edge_count,neighbor_degree,log_neighbor_degree,source_changed_edge_fraction,start_changed_edge_fraction,source_spectrum_computed,observed_effect_computed,edge_count,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,global_event_footprint_histogram_pass,actual_resource_conflict_edge_fraction,structure_pass,null_edge_sha256,source_edge_fraction,normalized_mean_parent_lag,mean_depth_gap,concrete_conflict_fraction,mean_candidate_rank_fraction,mean_pairwise_changed_fraction,globally_forced_edges_included_pass,endpoint_integrity_pass,endpoint_edge_sha256
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,0,288,3628,6910,8.840869624091395,0.062293274531422305,0.062293274531422305,0,0,3628,226,0.06229327453142227,1,1,1,1,1,1,1,0.9377067254685777,1,cf88018e2e5763485b9a0f254383f5579798175ed7eb137e38e194aa427c3553,0.9377067254685777,0.06570837209435869,2.6033627342888646,0.9377067254685777,0.39316509793012744,0.26862752071700396,1,1,7fe3925ff86bf07282b32fc9b553cc768712da6498fc62d0ca1f23bf59194122
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,1,320,3628,6926,8.843182098022606,0.07111356119073875,0.07111356119073875,0,0,3628,258,0.0711135611907387,1,1,1,1,1,1,1,0.9288864388092613,1,0c3bdd1b562693f3121f61ea4f87cad51f62ed573baf89a1c5fab7775087e1f7,0.9288864388092613,0.06570837209435869,2.6033627342888646,0.9288864388092613,0.3923929288322034,0.2680140128747733,1,1,8370f6015852877121c76783c373de2072049978d061eb2b1c43d91b855000fe
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,2,352,3628,6920,8.842315546841863,0.07690187431091511,0.07690187431091511,0,0,3628,279,0.07690187431091511,1,1,1,1,1,1,1,0.9233737596471885,1,c0a4fa6078bbbd21339e1c3e26493337cf1f5ea465ef78853d31adb506660688,0.9230981256890849,0.06570837209435869,2.6033627342888646,0.9233737596471885,0.3924827315525467,0.2680229042927766,1,1,36fcee0eab9cd6ec91b1ee77b3290f2f3fc65dd87429764578392147d3f8dea8
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,3,384,3628,6889,8.837826364007704,0.08103638368246968,0.08103638368246968,0,0,3628,294,0.08103638368246968,1,1,1,1,1,1,1,0.9192392502756339,1,317f46b6778fd3858550c5fe6596c70a93dd5ab6a13d0420ab42a6db56f28fa0,0.9189636163175303,0.06570837209435869,2.6033627342888646,0.9192392502756339,0.39252794831470134,0.2679784472027599,1,1,69353124df3f7780a2e6a406034dc97842e0d17d80d350c21fb9c90782785289
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,4,416,3628,6871,8.835210463664092,0.08489525909592066,0.08489525909592066,0,0,3628,308,0.08489525909592062,1,1,1,1,1,1,1,0.9156560088202866,1,732da007121d69dce198ed3bfcead8af1a89507e2666200221964cc934610af3,0.9151047409040793,0.06570837209435869,2.6033627342888646,0.9156560088202866,0.3923904246947781,0.2691254401251912,1,1,216d30075853951efe3867f8041e0103ce837eaf58d1d7542f1165f1b5834cac
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,5,448,3628,6840,8.830689198760998,0.08930540242557883,0.08930540242557883,0,0,3628,324,0.08930540242557883,1,1,1,1,1,1,1,0.9117971334068358,1,9af672a22bbe2cb7c25efd4c6484cdf90ccb212ceb819829b96df04a1b0547cf,0.9106945975744212,0.06570837209435869,2.6033627342888646,0.9117971334068358,0.39227206771577466,0.27031689013763915,1,1,a3f71fa09df495dc4240654815438624ac1fab805191b2cf379e52a665491b0c
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,6,480,3628,6854,8.832733591996416,0.09619625137816978,0.09619625137816978,0,0,3628,349,0.09619625137816978,1,1,1,1,1,1,1,0.9049062844542448,1,5067414110cd4a4356315ef2f7771c494c30480a7e83eb0bdff13c07446ef38b,0.9038037486218302,0.06570837209435869,2.6033627342888646,0.9049062844542448,0.3931970615983139,0.272593093146495,1,1,4c6d4766409482046408a71e00d55dd8e81a262891d2252a30c8af241f734c76
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_a,7,512,3628,6887,8.837536046107568,0.10060639470782795,0.10060639470782795,0,0,3628,365,0.100606394707828,1,1,1,1,1,1,1,0.9007717750826902,1,9e9abb0a3b5ac09738b0eae43152b3e66de480294d7c65cb3ec6a72b6fbca2f0,0.899393605292172,0.06570837209435869,2.6033627342888646,0.9007717750826902,0.39352341837204974,0.2745136394352171,1,1,8ede788a13d3252f17fca4d5031326c6c61db6a366fbba78ad3f15c3fb1e6217
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_b,0,288,3628,6859,8.83346272071993,0.07083792723263505,0.07083792723263505,0,0,3628,257,0.07083792723263506,1,1,1,1,1,1,1,0.9297133406835723,1,435114ad0358e4089b2cb37d3bad7b095aa228ac5f1fdfc0a717b20e558a113d,0.929162072767365,0.06570837209435869,2.6033627342888646,0.9297133406835723,0.3904563481605987,0.2664313404701782,1,1,f2af1968d76d814f93aee03b268066f98b84e4ab9cb4ac5e1e390eb37e49b737
v16y,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,lazy_degree_corrected_uniform_neighbor_2x2_metropolis,uniform_per_2x2_connected_component,source_assignment,chain_seed_b,1,320,3628,6851,8.832295859444011,0.07607497243660422,0.07607497243660422,0,0,3628,276,0.07607497243660419,1,1,1,1,1,1,1,0.9244762954796031,1,2d4ce0665869a250786d4037c9a45877327617025cf381e9da257611907b0f54,0.9239250275633958,0.06570837209435869,2.6033627342888646,0.9244762954796031,0.3903100579017351,0.26579115837393746,1,1,4b4d19d3d9528a166109d2418bd34a2e41a1ebe892a64b2028c73f8ff340bfa4
