stage,target_nodes,growth_seed,run_offset,arm,run_seed,reference_measure,seed_family,replicate,endpoint_edge_sha256,expected_endpoint_edge_sha256,digest_replay_pass,endpoint_integrity_pass,source_spectrum_computed,observed_effect_computed
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,0,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,1,fbe4e2950c5e28b6d1cba3e63f80d692fa614953083594825e90ae549a8118c2,fbe4e2950c5e28b6d1cba3e63f80d692fa614953083594825e90ae549a8118c2,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,2,0f2cff6b72384518ab91f691a017b7b6cd14fee3facc4809756a0a3b948aba16,0f2cff6b72384518ab91f691a017b7b6cd14fee3facc4809756a0a3b948aba16,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,3,bc68e4444655032cb7970706758bf59321383b762fcf3a5761eb09098ea7d560,bc68e4444655032cb7970706758bf59321383b762fcf3a5761eb09098ea7d560,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,4,0cd0db0f464e739b5a5aba87625ca6012fb3f92198ea4872d0be7a2539e3e689,0cd0db0f464e739b5a5aba87625ca6012fb3f92198ea4872d0be7a2539e3e689,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,5,600416b2b256d8c07341b1a36f2b4e74064350f6c6b1c2dd87b3672be9c7e307,600416b2b256d8c07341b1a36f2b4e74064350f6c6b1c2dd87b3672be9c7e307,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,6,c2b9ed2c6a6541b3aab37cd6cfdba8ea684a9eba1207f2388a636520f4a6066a,c2b9ed2c6a6541b3aab37cd6cfdba8ea684a9eba1207f2388a636520f4a6066a,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,7,69a594cab782e48e50a5522a6e12d2a853b755801655cc88ee7eddb45d94f16d,69a594cab782e48e50a5522a6e12d2a853b755801655cc88ee7eddb45d94f16d,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,8,d31a7036916385e8b37d9222aaff7cc3d5c834bada34024fc7356c60acfad01a,d31a7036916385e8b37d9222aaff7cc3d5c834bada34024fc7356c60acfad01a,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,9,9fd008cdf921b391a7b1630e1cc4401f1720c4155dd97bb49978158939c6ac92,9fd008cdf921b391a7b1630e1cc4401f1720c4155dd97bb49978158939c6ac92,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,10,1a443f94f9dbd45d6370c8a37a1502feccbba29c0d64ff2e8cd7f8ea759e79dd,1a443f94f9dbd45d6370c8a37a1502feccbba29c0d64ff2e8cd7f8ea759e79dd,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,11,7321ccfea0343ec2410cf3764bec8dac97a1bc0d1a42e0a1d1e2cb6479ce141e,7321ccfea0343ec2410cf3764bec8dac97a1bc0d1a42e0a1d1e2cb6479ce141e,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,12,5df441cb8a3476f679ce3786cbd30a4e37fcd288668c12447bd0efe819f3b605,5df441cb8a3476f679ce3786cbd30a4e37fcd288668c12447bd0efe819f3b605,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,13,77ec8d34576bf60a35e97aa4abd8a6c637dfb15c771531770eff2b20d79383a5,77ec8d34576bf60a35e97aa4abd8a6c637dfb15c771531770eff2b20d79383a5,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,14,1c09aeef3c3dfcf19c7780c11e5db40c6eefb1b8fe196b5210e740ad340464d4,1c09aeef3c3dfcf19c7780c11e5db40c6eefb1b8fe196b5210e740ad340464d4,1,1,0,0
v16y,1536,9299,123078,exposure_matched_local,1993113078,v16x_integer_random_cost_minimum_b_matching,seed_family_a,15,f05fea792fba43b219816a37bfa6293bbcbc7a8f7fa4335415e0b8fae81f4c2f,f05fea792fba43b219816a37bfa6293bbcbc7a8f7fa4335415e0b8fae81f4c2f,1,1,0,0
