stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,chain_seed_family,chain_seed,start_endpoint_sha256,final_endpoint_sha256,total_steps,lazy_stays,nonlazy_steps,proposal_dead_end,valid_proposals,reverse_supported,reverse_unsupported,accepted_cycles,metropolis_rejects,accepted_long_cycles,accepted_length_counts_json,unique_state_count,final_start_changed_edge_fraction,elapsed_seconds,minimum_valid_proposals,minimum_accepted_cycles,minimum_accepted_long_cycles,minimum_unique_states,minimum_final_start_change,maximum_chain_seconds,resource_pass,movement_pass,source_spectrum_computed,observed_effect_computed
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,chain_seed_a,2003671513823265641,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,6fa1a4d817844fc8ebd65740bac54580e5f52d6efa5b5325bb6f2257d865f565,512,235,277,222,55,55,0,30,25,16,"{""2"":14,""3"":6,""4"":3,""5"":5,""7"":1,""8"":1}",31,0.02535832414553474,3.25787758291699,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,chain_seed_b,11921013989256014629,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,e0de32a6342c7ab5d75848936acb2a37d923d154cab4d8e70a07c310b9e938fa,512,256,256,211,45,45,0,21,24,5,"{""2"":16,""3"":2,""4"":1,""5"":1,""8"":1}",22,0.01433296582138921,2.935266416054219,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,chain_seed_a,1997913289464435039,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,fcd4c33aa23300582948fb1effaeb9f803a0e899791b4e46ff54a931f01f7da2,512,263,249,192,57,57,0,29,28,10,"{""2"":19,""3"":4,""4"":5,""7"":1}",30,0.019294377067254675,3.399975041858852,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,chain_seed_b,7059329404655124812,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,2f736f4b0d217a0397791c5407ce27d946a4d7f99cf08c16ba1cc22f0c3dce42,512,253,259,212,47,47,0,26,21,13,"{""2"":13,""3"":6,""5"":2,""6"":3,""7"":1,""8"":1}",27,0.023980154355016547,3.1175857500638813,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,chain_seed_a,18371416458419677137,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,0fc42db993895fd2dced597a6ea283238f3de214b04ab131599e8c47c9d1dbcc,512,261,251,199,52,52,0,34,18,9,"{""2"":25,""3"":6,""5"":2,""8"":1}",35,0.02378287632904308,3.0942914998158813,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,chain_seed_b,17068579539477490982,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,10e2ed5da07d67d5f03738997debf28cfccc7ec7ca9fcdc04defdaaa25db1bd0,512,251,261,230,31,31,0,15,16,7,"{""2"":8,""3"":6,""4"":1}",16,0.010632344711807518,2.5257710409350693,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,chain_seed_a,4670493606060135043,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,0c1d72d105d7716843263ce794c0948214628ae919dbdf0d4fab9d20ddbe29da,512,251,261,225,36,36,0,22,14,7,"{""2"":15,""3"":4,""4"":3}",23,0.015109121432568595,2.7071227082051337,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,chain_seed_b,1932600457635964342,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,b3a9f0e2758490cc126059ab9d12551d2e4e4062533761c4f539b280c9bcea9b,512,257,255,212,43,43,0,23,20,8,"{""2"":15,""3"":5,""4"":1,""5"":1,""6"":1}",24,0.016787912702853958,2.889898082939908,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,chain_seed_a,16915265639376511029,72d3541918057e5aa2abdbb544d16a56fbf7192d911e16e9702232b25845ce79,ee3e86560494af3a1e5d6f9fa40dfe918e8470621a193b84aff7b5a881a17d41,512,267,245,199,46,46,0,26,20,6,"{""2"":20,""3"":3,""4"":2,""7"":1}",27,0.017030939540164658,2.889692791039124,64,32,16,16,0.05,60.0,1,0,0,0
v17a,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,chain_seed_b,12213173160315965522,72d3541918057e5aa2abdbb544d16a56fbf7192d911e16e9702232b25845ce79,00525b145ea93a97fb02172721172ce89668f45a654efa559b4e24d0b3d2d57b,512,266,246,198,48,48,0,28,20,12,"{""2"":16,""3"":8,""4"":4}",29,0.020153278455861456,2.950404457980767,64,32,16,16,0.05,60.0,1,0,0,0
