stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,cycle_length,attempts,proposal_sha256,q_forward_numerator,q_forward_denominator,q_reverse_numerator,q_reverse_denominator,forward_acceptance_numerator,forward_acceptance_denominator,reverse_acceptance_numerator,reverse_acceptance_denominator,reverse_support_pass,forward_integrity_pass,reverse_recovery_pass,pathwise_detailed_balance_pass
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,2,1,323b7eac3b59563c14655cc571397afe8c5a4ab08bcf348474e039efc47d5e0b,1,152376,1,1015840,3,20,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,3,3,12b3af360a13a7b1e1010aba9e9cfe8e36df2c0b95d9266dc5a232adc498d7de,1,152376,1,50792,1,1,1,3,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,4,7,728a545c0764cf6db23b4591669d7a6a49e70ac2595c4e1f6885b1ce325ed535,1,3250688,1,2656624768,4,3269,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,5,1,2475b2be64fa959c988ce7234564e3b6e81a8acabb2ad4f3b165575ba71232d3,1,4114152,1,19504128,27,128,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,6,4,627c18c24e4ba97161f93c73300cac6d42c059b9b46caadf8c47a761266ee8f4,1,4876032,1,24380160,1,5,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,7,2,870b8fc0ab48b448b7487271519eba2dec4d55279a42bcfc2fecfc758a3175e7,1,18285120,1,29183051520,1,1596,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,8,13,efcf56a677ed6b1d9bd71a5e425c70ebb0e245f4022d9ddf0ea0472331390569,1,102940603121664,1,1021836869222400,68,675,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,2,3,0317fdb6fa4b1f4ab31c4f20c008b21d127362a7588a54f8eaf8190238a96990,1,152376,1,228564,2,3,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,3,5,695aac9e48c0c506b3816d2297bcf78eb353a27e32be8b4b6cc8efcca554e27a,1,50792,1,355544,1,7,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,4,3,6e64ed9a95a08ece21d4022dc2d44ec45b38f3a91ac8770a70c812fb6ddb5c3c,1,1066632,1,5577774272,3,15688,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,5,33,e77a0306b15299437ebd9898a9251367cd2b11c4ce4510df18789ecf3636752a,1,4571280,1,7618800,3,5,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,6,3,80e654cdbdba8e112fd92ffad452ee0faac022dd1d93e3af2e8dddc687e4a162,1,6095040,1,1663945920,1,273,1,1,1,1,1,1
v17a,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,7,7,ccd9e87e9d32a3ffc75c139b0dbc811d562c91ed1a0f331604187ebe7ea0c26b,1,43579536,1,274749165600,11,69350,1,1,1,1,1,1
