stage,growth_seed,run_offset,start_family,chain_seed_family,v17a_valid_proposals,v17b_valid_proposals,valid_proposal_ratio,valid_proposal_improved,v17a_final_start_changed_edge_fraction,v17b_final_start_changed_edge_fraction,final_displacement_improved
v17b,9299,123078,source_assignment,chain_seed_a,55,144,2.618181818181818,1,0.02535832414553474,0.060915104740904114,1
v17b,9299,123078,source_assignment,chain_seed_b,45,164,3.6444444444444444,1,0.01433296582138921,0.06449834619625139,1
v17b,9299,123078,v16x_random_cost_a0,chain_seed_a,57,149,2.6140350877192984,1,0.019294377067254675,0.0614663726571113,1
v17b,9299,123078,v16x_random_cost_a0,chain_seed_b,47,154,3.276595744680851,1,0.023980154355016547,0.06063947078280041,1
v17b,9299,123403,source_assignment,chain_seed_a,52,149,2.8653846153846154,1,0.02378287632904308,0.06407386681589256,1
v17b,9299,123403,source_assignment,chain_seed_b,31,119,3.838709677419355,1,0.010632344711807518,0.05679910464465587,1
v17b,9299,123403,v16x_random_cost_a0,chain_seed_a,36,130,3.611111111111111,1,0.015109121432568595,0.063794068270845,1
v17b,9299,123403,v16x_random_cost_a0,chain_seed_b,43,134,3.116279069767442,1,0.016787912702853958,0.0601566871852266,1
v17b,9299,127341,source_assignment,chain_seed_a,46,133,2.891304347826087,1,0.017030939540164658,0.05733749645188757,1
v17b,9299,127341,source_assignment,chain_seed_b,48,129,2.6875,1,0.020153278455861456,0.05194436559750215,1
v17b,9299,127341,v16x_random_cost_a0,chain_seed_a,50,145,2.9,1,0.01845018450184499,0.07152994606869145,1
v17b,9299,127341,v16x_random_cost_a0,chain_seed_b,58,144,2.4827586206896552,1,0.030655691172296384,0.07436843599205223,1
v17b,9365,123078,source_assignment,chain_seed_a,45,145,3.2222222222222223,1,0.021586767591813882,0.05831230726100367,1
v17b,9365,123078,source_assignment,chain_seed_b,61,140,2.2950819672131146,1,0.029436501261564385,0.05747126436781613,1
v17b,9365,123078,v16x_random_cost_a0,chain_seed_a,41,138,3.3658536585365852,1,0.015419119708438456,0.05747126436781613,1
v17b,9365,123078,v16x_random_cost_a0,chain_seed_b,58,168,2.896551724137931,1,0.02719372021306421,0.07204934118306705,1
v17b,9365,123403,source_assignment,chain_seed_a,33,141,4.2727272727272725,1,0.01442841287458374,0.056326304106548264,1
v17b,9365,123403,source_assignment,chain_seed_b,41,135,3.292682926829268,1,0.015538290788013276,0.06243063263041071,1
v17b,9365,123403,v16x_random_cost_a0,chain_seed_a,51,143,2.803921568627451,1,0.02302996670366264,0.061320754716981174,1
v17b,9365,123403,v16x_random_cost_a0,chain_seed_b,35,129,3.6857142857142855,1,0.017758046614872347,0.05826859045504995,1
v17b,9365,127341,source_assignment,chain_seed_a,56,154,2.75,1,0.028436018957345932,0.06439921940340121,1
v17b,9365,127341,source_assignment,chain_seed_b,50,133,2.66,1,0.020072483969891253,0.05296905492054638,1
v17b,9365,127341,v16x_random_cost_a0,chain_seed_a,50,132,2.64,1,0.025926958461109595,0.054084192918873675,1
v17b,9365,127341,v16x_random_cost_a0,chain_seed_b,50,149,2.98,1,0.023139113465291294,0.06439921940340121,1
