stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,cycle_length_choice,cycle_length,attempts,proposal_sha256,q_forward_numerator,q_forward_denominator,q_reverse_numerator,q_reverse_denominator,reverse_support_pass,forward_integrity_pass,reverse_recovery_pass,pathwise_detailed_balance_pass
v17b,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,2,2,2,2398dcd0baae72be588d73b5013976ebaf2ffb7809a2b1795bd2ed2db04add34,1,97956,1,21768,1,1,1,1
v17b,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,3,3,2,8d5a022c98946f6469182d1dbc2a92d34d02c653f6f17288e0d10c5a34c9ffcf,1,32652,1,10884,1,1,1,1
v17b,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,4,4,1,5c751c4f61114c36c6da65406b6e62b95527520fcdc90fc3f6c8272da9fc9354,1,43536,1,87072,1,1,1,1
v17b,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,2,2,1,346f5c07fb7f3c6bafc688ae39c02fb6f2a404a94b76683011f3a1e11e4aea43,1,21768,1,21768,1,1,1,1
v17b,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,3,3,1,a69b7973509f5dbc887b9136b43825b164d34154201ba0d0bbebc078a2d1acd6,1,76188,1,76188,1,1,1,1
v17b,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,4,4,1,f73c43801a0da7e8cb5f7229c64e6d772b23dc8874471886ab5763d5572c0802,1,4146804,1,22279548,1,1,1,1
v17b,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,2,2,6,217acb526035a9bd04d8b6c550fcb3f06037ef7c0b19110a82215252c1c06d96,1,21444,1,21444,1,1,1,1
v17b,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,3,3,3,4fe0db86aec83ca5c0f5ec2d1939fc622cc94afea021aef1bded0885caaf1f12,1,396714,1,3720534,1,1,1,1
v17b,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,4,4,1,3ac501295f9e72f4fa2d27a0a3815ca3720f1b4cd9ea4e7a8f8d259fa8c8344c,1,2005014,1,57362700,1,1,1,1
v17b,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,2,2,1,7ff7386ae0c020b4751c37a7ca6d8f917e074e610e8fa38e2b061f800a31ec6f,1,10722,1,21444,1,1,1,1
v17b,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,3,3,3,d5c984c4fc2db02e81579b29e5afe37bba8ebc2d8ac41101d579100b2e44753c,1,32166,1,32166,1,1,1,1
v17b,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,4,4,3,a94db95c7849ae0f4a2e7e7aaa53596fe36f2ac4e32fd1a29e96ac6e87f8c235,1,235884,1,192996,1,1,1,1
v17b,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,2,2,3,3f0514a07e057eb18a2482676b391a142a8ccec4727735cc6ed16cf81a86b436,1,42276,1,42276,1,1,1,1
v17b,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,3,3,1,21444edcd6725874b502731c477dd0239230b307872839be17f2748fecb9f839,1,21138,1,21138,1,1,1,1
v17b,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,4,4,1,48c79fad4e74ee40172673886a9891d7996d12d40247f99693b6f1273ba0f68c,1,158947191,1,285109344,1,1,1,1
v17b,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,2,2,1,5326e131a6cda974019ebe51cb45baaf75a14837f5c63e7925ae1712dbcfc9ed,1,31707,1,21138,1,1,1,1
v17b,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,3,3,2,24d32eb5a69fea0722194214336fee2d0ca1f13877a030ece4aded21ce25f8d6,1,63414,1,105690,1,1,1,1
v17b,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,4,4,1,f153274f8b15f2c642e8806f3849e55a65e7104866cee6e98ee9f4d4808a93f6,1,116259,1,422760,1,1,1,1
v17b,1536,9365,123078,exposure_matched_local,1993773078,source_assignment,2,2,3,0dc1d450a9ac8e95bd3ce6db9fe4f001beb6bb98e5e7e1fb27da9477917f70d4,1,10701,1,32103,1,1,1,1
v17b,1536,9365,123078,exposure_matched_local,1993773078,source_assignment,3,3,2,198ae47d3fc6d51fe46a6a4fea69884a3cee576975e02adb46dc473241d21a2a,1,235422,1,321030,1,1,1,1
v17b,1536,9365,123078,exposure_matched_local,1993773078,source_assignment,4,4,4,f20e58c0e7969ebbc55a5eb91b9de0bf77d9125fd870f3f665c0f59c2c1ff3a5,1,535050,1,45671868,1,1,1,1
