growth_seed,run_offset,start_family,chain_seed_family,elapsed_seconds,resource_pass,valid_proposals,accepted_cycles,recorded_completion_count_sum,recorded_completion_count_length2,recorded_completion_count_length3,recorded_completion_count_length4,length4_completion_fraction,maximum_completion_count_length2,maximum_completion_count_length3,maximum_completion_count_length4,valid_length2,valid_length3,valid_length4
9299,123078,source_assignment,chain_seed_a,93.19635133305565,0,144,85,622433,360,12169,609904,0.9798709258667198,51,2541,127668,49,48,47
9299,123078,source_assignment,chain_seed_b,59.76038937503472,1,164,88,362200,254,10390,351556,0.9706129210381005,63,2520,94258,47,58,59
9299,123078,v16x_random_cost_a0,chain_seed_a,71.67565874988213,0,149,92,177374,351,7589,169434,0.9552358293774735,40,2071,92902,54,55,40
9299,123078,v16x_random_cost_a0,chain_seed_b,51.252848958130926,1,154,88,274362,455,10170,263737,0.9612737915600557,51,2185,105139,45,60,49
9299,123403,source_assignment,chain_seed_a,244.25826412509196,0,149,94,224395,264,9096,215035,0.9582878406381604,40,1545,57378,61,49,39
9299,123403,source_assignment,chain_seed_b,38.72453891602345,1,119,77,184839,169,5141,179529,0.971272296430948,41,1861,85343,47,35,37
9299,123403,v16x_random_cost_a0,chain_seed_a,35.43212470901199,1,130,89,122945,216,6910,115819,0.9420391231851641,45,1827,53764,55,35,40
9299,123403,v16x_random_cost_a0,chain_seed_b,39.76729104202241,1,134,82,194595,207,7540,186848,0.9601891107171304,45,1628,64774,48,41,45
9299,127341,source_assignment,chain_seed_a,98.85427920799702,0,133,80,104738,211,3118,101409,0.9682159292711336,56,1954,44698,51,43,39
9299,127341,source_assignment,chain_seed_b,61.39245625003241,0,129,76,70211,163,1696,68352,0.973522667388301,23,926,29899,49,36,44
9299,127341,v16x_random_cost_a0,chain_seed_a,82.05834404216148,0,145,95,143494,280,4174,139040,0.9689603746498111,54,1836,104297,48,53,44
9299,127341,v16x_random_cost_a0,chain_seed_b,65.95620945794508,0,144,101,253935,217,5542,248176,0.9773209679642428,32,2376,113314,51,48,45
9365,123078,source_assignment,chain_seed_a,270.44900141702965,0,145,81,221499,254,3268,217977,0.9840992510124199,48,998,78068,50,43,52
9365,123078,source_assignment,chain_seed_b,38.57279345788993,1,140,79,36999,235,5607,31157,0.8421038406443417,35,1248,6529,45,50,45
9365,123078,v16x_random_cost_a0,chain_seed_a,32.41358945821412,1,138,83,91818,254,7206,84358,0.9187523143610186,33,1980,57614,48,54,36
9365,123078,v16x_random_cost_a0,chain_seed_b,27.479260083986446,1,168,98,72627,320,4332,67975,0.9359466864940036,43,979,33033,54,55,59
9365,123403,source_assignment,chain_seed_a,47.90058658295311,1,141,84,403681,309,6758,396614,0.9824936026218722,63,2233,120403,49,48,44
9365,123403,source_assignment,chain_seed_b,38.821481624851,1,135,90,225557,439,9317,215801,0.9567470750187314,51,3183,98151,61,42,32
9365,123403,v16x_random_cost_a0,chain_seed_a,47.71386250015348,1,143,90,360003,403,18689,340911,0.9469671086074283,60,2691,121169,52,52,39
9365,123403,v16x_random_cost_a0,chain_seed_b,50.68431862490252,1,129,88,352347,646,9798,341903,0.9703587656486361,57,2542,105830,58,32,39
9365,127341,source_assignment,chain_seed_a,72.30371241690591,0,154,93,98369,261,7462,90646,0.9214894936412894,59,2043,51583,52,47,55
9365,127341,source_assignment,chain_seed_b,60.40164100006223,0,133,72,218349,165,10283,207901,0.9521499983970616,40,2425,88231,44,45,44
9365,127341,v16x_random_cost_a0,chain_seed_a,124.8917326668743,0,132,73,338531,243,4627,333661,0.9856143159710632,38,2069,124564,55,37,40
9365,127341,v16x_random_cost_a0,chain_seed_b,90.87330045900308,0,149,91,298737,325,11397,287015,0.9607614724657475,39,3280,81882,59,46,44
