stage,target_nodes,growth_seed,run_offset,arm,run_seed,profile_kind,stability_kind,feature,left_count,right_count,left_median,right_median,absolute_center_shift,center_shift_range_ratio,maximum_allowed_ratio,center_stability_pass
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,start_family,source_edge_fraction,32,32,0.8700385887541344,0.5534729878721059,0.31656560088202856,0.8469764011799408,0.35,0
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,start_family,normalized_mean_parent_lag,32,32,0.06570837209435869,0.06570837209435869,0.0,0.0,0.35,1
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,start_family,mean_depth_gap,32,32,2.6033627342888646,2.6033627342888646,0.0,0.0,0.35,1
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,start_family,concrete_conflict_fraction,32,32,0.8707276736493936,0.5538864388092613,0.3168412348401324,0.8495934959349596,0.35,0
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,start_family,mean_candidate_rank_fraction,32,32,0.39133822436308585,0.37836058487328444,0.012977639489801407,0.7521027857228975,0.35,0
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,start_family,mean_pairwise_changed_fraction,32,32,0.28986192051241666,0.2889037643723421,0.0009581561400745509,0.04287392325763497,0.35,1
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,independent_chain_seed_family,source_edge_fraction,32,32,0.6955622932745313,0.6904630650496141,0.005099228224917263,0.013643067846607545,0.35,1
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,independent_chain_seed_family,normalized_mean_parent_lag,32,32,0.06570837209435869,0.06570837209435869,0.0,0.0,0.35,1
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,independent_chain_seed_family,mean_depth_gap,32,32,2.6033627342888646,2.6033627342888646,0.0,0.0,0.35,1
v17d,1536,9299,123078,exposure_matched_local,1993113078,endpoint,independent_chain_seed_family,concrete_conflict_fraction,32,32,0.6961135611907387,0.6911521499448732,0.004961411245865577,0.013303769401330608,0.35,1
