stage,target_nodes,growth_seed,run_offset,arm,run_seed,state_space_arm,stochastic_measure,stationary_target_scope,start_family,chain_seed_family,window,sample_index,step,selected_edge_count,source_changed_edge_fraction,start_changed_edge_fraction,source_spectrum_computed,observed_effect_computed,edge_count,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,global_event_footprint_histogram_pass,actual_resource_conflict_edge_fraction,structure_pass,null_edge_sha256,source_edge_fraction,normalized_mean_parent_lag,mean_depth_gap,concrete_conflict_fraction,mean_candidate_rank_fraction,mean_pairwise_changed_fraction,globally_forced_edges_included_pass,endpoint_integrity_pass,endpoint_edge_sha256
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,0,768,3628,0.08020948180815879,0.08020948180815879,0,0,3628,291,0.08020948180815876,1,1,1,1,1,1,1,0.9197905181918412,1,4680333d1ae52a5be48782109a2d77e36d5f3db4f347d607ef7c4d10d2472273,0.9197905181918412,0.06570837209435869,2.6033627342888646,0.9197905181918412,0.3925427611298802,0.2867380689872421,1,1,d105412f9afec1765eab3880becd704ba8354aa19786b9b849b42a0f672bba87
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,1,832,3628,0.08572216097023155,0.08572216097023155,0,0,3628,311,0.08572216097023153,1,1,1,1,1,1,1,0.9142778390297684,1,96d7790b1625e2bfe8ddba3287dd1e3046de63f3415dd0f933f381a923f29c0d,0.9142778390297684,0.06570837209435869,2.6033627342888646,0.9142778390297684,0.3928648951369655,0.286121173938153,1,1,e31b735346da7b03cd30f406b7ed07e0b900483a787caca6f6597063c28dcc3e
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,2,896,3628,0.09316427783902981,0.09316427783902981,0,0,3628,338,0.09316427783902977,1,1,1,1,1,1,1,0.9068357221609702,1,1c70464d42d807b327a89eb46fbde72cbc8d8a364f098b6f5bcc6d5d9a1e1cf4,0.9068357221609702,0.06570837209435869,2.6033627342888646,0.9068357221609702,0.3918751270443092,0.28493551040408815,1,1,4f7cbf7f15ff882b1ee1433e3e9a60fc7da58f4bb354e64ebb3d156a698ebc46
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,3,960,3628,0.09895259095920617,0.09895259095920617,0,0,3628,359,0.09895259095920618,1,1,1,1,1,1,1,0.9010474090407938,1,928bd5fe23187a0355c3eafb73ba70a03b38a58b2448c8608cfde8dd1f08761f,0.9010474090407938,0.06570837209435869,2.6033627342888646,0.9010474090407938,0.3925820866732866,0.2845636233177578,1,1,e6874eefda4554f5e97146258599f433172391f5a5c3cfee3655b1365fc83e57
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,4,1024,3628,0.10446527012127893,0.10446527012127893,0,0,3628,379,0.10446527012127894,1,1,1,1,1,1,1,0.8955347298787211,1,c53f034390734da425eda0369a5103b7c1383d832eba1bb11bf71e5da66058ea,0.8955347298787211,0.06570837209435869,2.6033627342888646,0.8955347298787211,0.392685894722305,0.2846861272991372,1,1,9e74cf0b2103d6d447a60b1da1a328f45213154f92dcb0b605c6f773a7092530
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,5,1088,3628,0.1102535832414554,0.1102535832414554,0,0,3628,400,0.11025358324145534,1,1,1,1,1,1,1,0.8900220507166483,1,871ba979bb06a86de15dac29939d8d7c73da9f3f13052ad6916b0dfe0fb96ff6,0.8897464167585446,0.06570837209435869,2.6033627342888646,0.8900220507166483,0.3920546600559993,0.2853161477748027,1,1,9d4357436d36317ed253703895e0b896ba93a412c7f24e23087f19fdb39f8d83
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,6,1152,3628,0.11521499448732087,0.11521499448732087,0,0,3628,418,0.11521499448732084,1,1,1,1,1,1,1,0.8850606394707828,1,300a446d7c7257eeee4220f6b4b741729164b523c7954a6b4432942937c0b951,0.8847850055126791,0.06570837209435869,2.6033627342888646,0.8850606394707828,0.3920187443143217,0.28449799618487603,1,1,89340c296623429bf7c4452c376cd26c50c870d62894d5f354f4fc3ca6636dfb
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,7,1216,3628,0.11934950385887544,0.11934950385887544,0,0,3628,433,0.11934950385887541,1,1,1,1,1,1,1,0.8809261300992283,1,8cef00d5a7a3442b1a8208b960bf588c83fd1e0862223bc87b6e5474e977cfaf,0.8806504961411246,0.06570837209435869,2.6033627342888646,0.8809261300992283,0.39151567787203995,0.2844498696207627,1,1,ced73f00d00a2364b4844b0d5d97c0390431a9e2de4a6320ee978ccf4b5b4924
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,0,1536,3628,0.13506063947078284,0.13506063947078284,0,0,3628,490,0.1350606394707828,1,1,1,1,1,1,1,0.8652149944873209,1,be0e64dd199c7550efcb071661311c26dc7d508fadd46960998c21c91046845b,0.8649393605292172,0.06570837209435869,2.6033627342888646,0.8652149944873209,0.3917669224811015,0.2848655081290142,1,1,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,1,1600,3628,0.1414002205071665,0.1414002205071665,0,0,3628,513,0.1414002205071665,1,1,1,1,1,1,1,0.8588754134509372,1,86142ee430cda8d1994fbfa7ebf29725eaef65437f25f67c3a6aa070ea5ff38b,0.8585997794928335,0.06570837209435869,2.6033627342888646,0.8588754134509372,0.3917418496650294,0.28745121716455785,1,1,b7bfc317410e4bff6b7f8ac2cc8998c113e2dc826deb4c2d3a8d179d93a3a603
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,2,1664,3628,0.14829106945975745,0.14829106945975745,0,0,3628,538,0.14829106945975745,1,1,1,1,1,1,1,0.8519845644983461,1,641772e84576e8b9e827ed70910a92cd8b166b4c30b4770ee9853c4fd09b5eef,0.8517089305402425,0.06570837209435869,2.6033627342888646,0.8519845644983461,0.39162235925312705,0.28868938240492814,1,1,74a56a5b5ce260d10550dcdd7a75bb1a045cee10fa01a77ef9881ff1b585d806
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,3,1728,3628,0.15242557883131203,0.15242557883131203,0,0,3628,553,0.15242557883131203,1,1,1,1,1,1,1,0.8478500551267916,1,44fc2b0d6b253c95571ba1cee0bcf403d567363cbc6a3efc000f96d3934cffed,0.847574421168688,0.06570837209435869,2.6033627342888646,0.8478500551267916,0.3914000370435324,0.2908375772212597,1,1,0ed66f91c785e1e4626ab6a584cb34aaa102280ad0dc269e8fa9cbe723ec1a9d
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,4,1792,3628,0.1565600882028666,0.1565600882028666,0,0,3628,568,0.1565600882028666,1,1,1,1,1,1,1,0.843715545755237,1,a3527a19b07b0ae1969096722fa8a3120861ab11144e7239182b24ea108724f9,0.8434399117971334,0.06570837209435869,2.6033627342888646,0.843715545755237,0.3911867661300263,0.29266201151537424,1,1,75d9cd055376692c76fe576bdf2697a3c71a01772960aec393292547826c5b60
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,5,1856,3628,0.16097023153252477,0.16097023153252477,0,0,3628,584,0.1609702315325248,1,1,1,1,1,1,1,0.8393054024255788,1,4a78c5ae02d9691b31eb82b4cbf48c2593a8608596ef0a0885019edc6f8aba06,0.8390297684674752,0.06570837209435869,2.6033627342888646,0.8393054024255788,0.3902087850099156,0.29484520746924275,1,1,0248436d3f889e49105963c371ad4deaee645825518f34ed94fb926b1d4b0736
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,6,1920,3628,0.16593164277839034,0.16593164277839034,0,0,3628,602,0.1659316427783903,1,1,1,1,1,1,1,0.8343439911797134,1,36ce3a301a004da79f96bd78fe1103e30e6a1585a55ce4f038dd96c27b749ae0,0.8340683572216097,0.06570837209435869,2.6033627342888646,0.8343439911797134,0.3906837573388939,0.2967396440384312,1,1,5a747975b9583a489f3e773977904df075ec3e9ea81ba29d1388e6e5cfa63a47
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,7,1984,3628,0.16813671444321943,0.16813671444321943,0,0,3628,610,0.1681367144432194,1,1,1,1,1,1,1,0.8321389195148843,1,a731a49a7b47ad526aa0e5aa29038f80b905ed976b4a4f8ab8c8c2e5cd2a591d,0.8318632855567806,0.06570837209435869,2.6033627342888646,0.8321389195148843,0.3914477136866139,0.29958348646331007,1,1,7dff3eb51b089805e1e6292d40e6fd37e82607a3c7832a20c2422480a17cd49e
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,0,768,3628,0.08682469680264604,0.08682469680264604,0,0,3628,315,0.08682469680264608,1,1,1,1,1,1,1,0.9140022050716649,1,ae82be6fba1cc49d4b39f5da599f9044915c653318ca52d0cb61b1efe4842e72,0.913175303197354,0.06570837209435869,2.6033627342888646,0.9140022050716649,0.3908576455664026,0.29047881556150573,1,1,ebcf096f1b5e9ecaeaa39490dc7a43fc53aa395edc050d561bc28460e593602e
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,1,832,3628,0.08820286659316423,0.08820286659316423,0,0,3628,320,0.08820286659316427,1,1,1,1,1,1,1,0.912348401323043,1,ea1b30b0af16966f57460a24ed81125694d4d86e8ced2148251d230536bab15b,0.9117971334068358,0.06570837209435869,2.6033627342888646,0.912348401323043,0.3909233906103367,0.28981816909049546,1,1,78d14777b4793f4930644f9c101b07b656376acbf886fd1cf3b1b6eb9536d297
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,2,896,3628,0.093715545755237,0.093715545755237,0,0,3628,340,0.09371554575523705,1,1,1,1,1,1,1,0.9068357221609702,1,9103e48ed4c06fa85d54442c016d1ec944e809770f733056802c3b1715d531bc,0.906284454244763,0.06570837209435869,2.6033627342888646,0.9068357221609702,0.39088702391734664,0.28904376892248995,1,1,81b8f867bfe983404cf0d5cfd7370831dc6bd1760fc42f15d8b8bac721072da1
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,3,960,3628,0.10060639470782795,0.10060639470782795,0,0,3628,365,0.100606394707828,1,1,1,1,1,1,1,0.9002205071664829,1,3fe32b92ffe4bbf84fedaf2e2798e49a7c81c1a6c4b712df57940c968120b62f,0.899393605292172,0.06570837209435869,2.6033627342888646,0.9002205071664829,0.39085125052643543,0.2886981326893124,1,1,5edec38e98f0c4c5e10bb2bf4cc61eef69a27f49763fa773279eb0e083071a37
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,4,1024,3628,0.10832414553472991,0.10832414553472991,0,0,3628,393,0.10832414553472988,1,1,1,1,1,1,1,0.8927783902976847,1,cba6355f75ab4293a73db6115268ea50a4f85cbf2dd90b6987d4b4616e5bbab3,0.8916758544652701,0.06570837209435869,2.6033627342888646,0.8927783902976847,0.39112603121171785,0.28899564235837666,1,1,88996bc34e095c93fcfb00249f348a4f043a1a55d0462455a4e0dbbaf9f9d8a4
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,5,1088,3628,0.11714443219404636,0.11714443219404636,0,0,3628,425,0.1171444321940463,1,1,1,1,1,1,1,0.8839581036383682,1,9fa797a81d49559861d4f2a728030219622ba1b0c19ea7d9a0483a26a6ccbc8c,0.8828555678059536,0.06570837209435869,2.6033627342888646,0.8839581036383682,0.3913652395628476,0.28939378029785967,1,1,1673f154e52baef78577292bf2d969c096a67d214a2b1435c59be8967a3a6984
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,6,1152,3628,0.12017640573318633,0.12017640573318633,0,0,3628,436,0.12017640573318633,1,1,1,1,1,1,1,0.8809261300992283,1,70492d93467a2b66e9b8b7a2b6e2e50abed0bc57d9e9c2c3a4c3561660fb92bb,0.8798235942668137,0.06570837209435869,2.6033627342888646,0.8809261300992283,0.39156456592633465,0.28990567193433786,1,1,1db34422ae6baa3f121fbf91d12b5cdfcf7aa6c291ca73059d50a079af666b27
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,early,7,1216,3628,0.1248621830209482,0.1248621830209482,0,0,3628,453,0.12486218302094818,1,1,1,1,1,1,1,0.8762403528114664,1,7c82302de6efdc26344877c9a02437c4b81d5779af2edf82e39ffff81e331c56,0.8751378169790518,0.06570837209435869,2.6033627342888646,0.8762403528114664,0.3909764695608409,0.2907982009415306,1,1,cd2f0da5aa540ca2c155a6f422f8e5cec494491fae9843d89d947ca7845a94b5
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,late,0,1536,3628,0.1419514884233738,0.1419514884233738,0,0,3628,515,0.14195148842337377,1,1,1,1,1,1,1,0.8588754134509372,1,d19de3c87728a1cccf6dbbfe7ec38fe97e5c527e762d643446db705d1c38cb97,0.8580485115766262,0.06570837209435869,2.6033627342888646,0.8588754134509372,0.3906828790297543,0.293121401445547,1,1,5bea18fd9af3732a3aafdd8dbe77f9a6b1c878e544e077ee61b7fc6bb5411d68
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,late,1,1600,3628,0.14856670341786105,0.14856670341786105,0,0,3628,539,0.14856670341786107,1,1,1,1,1,1,1,0.8522601984564498,1,08ab3ca91163c06fcadbbd878bfce37ca09f382270b3633340498b50704d6b25,0.851433296582139,0.06570837209435869,2.6033627342888646,0.8522601984564498,0.39113337759607125,0.29402268073712395,1,1,5fd10caac840ea814d2c5f1e0f154ef6efc0617c8e779e8cb4544996e80867d9
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,late,2,1664,3628,0.15187431091510473,0.15187431091510473,0,0,3628,551,0.15187431091510475,1,1,1,1,1,1,1,0.8489525909592062,1,dc7eb9aa9f28992391dd5e57409c946f638320f1ae3421390b1609127ba9bb39,0.8481256890848953,0.06570837209435869,2.6033627342888646,0.8489525909592062,0.3913112091633242,0.29483208204266637,1,1,c585a76cc8032378d5a909c39ee84e2164de943076ccbde1b3dbc03c34cc2a1e
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,late,3,1728,3628,0.1560088202866593,0.1560088202866593,0,0,3628,566,0.15600882028665933,1,1,1,1,1,1,1,0.8448180815876516,1,fffb0f16d037b6475e1843a474d6afb27fa44a1d4fbc3e5b0dc8d9942cdd9f1a,0.8439911797133407,0.06570837209435869,2.6033627342888646,0.8448180815876516,0.39122764091969364,0.29575523704520396,1,1,2d2ec9d850eca705753bea4d3d89259f922981336948f81dc040a2cb13a4430c
v17d,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_d,late,4,1792,3628,0.15931642778390298,0.15931642778390298,0,0,3628,578,0.15931642778390298,1,1,1,1,1,1,1,0.8415104740904079,1,9483fdadeac4a22f0387b5440a48331bb8f59902748765c005ebb24b24c1dc80,0.840683572216097,0.06570837209435869,2.6033627342888646,0.8415104740904079,0.391506358347716,0.2965165117866331,1,1,99d461842153c5455046a42855712dfd9794ad574e3c9462ad95c7801f2a5af4
