stage,growth_seed,run_offset,diagnostic_kind,metric,early_value,late_value,late_over_early,directional_contraction,preregistered_gate,source_spectrum_computed,observed_effect_computed
v17d_postrun,9299,123078,start_feature_gap,source_edge_fraction,0.3441289966923925,0.29010474090407934,0.843011613936724,1,0,0,0
v17d_postrun,9299,123078,start_feature_gap,concrete_conflict_fraction,0.3439911797133408,0.29010474090407945,0.8433493589743588,1,0,0,0
v17d_postrun,9299,123078,start_feature_gap,mean_candidate_rank_fraction,0.01341997189407751,0.011253016343494793,0.8385275641643456,1,0,0,0
v17d_postrun,9299,123403,start_feature_gap,source_edge_fraction,0.3017627308337997,0.24328483491885833,0.8062123319425124,1,0,0,0
v17d_postrun,9299,123403,start_feature_gap,concrete_conflict_fraction,0.3007834359261331,0.24258533855623943,0.8065116279069767,1,0,0,0
v17d_postrun,9299,123403,start_feature_gap,mean_candidate_rank_fraction,0.009279715902146324,0.00970329865533881,1.0456460906410416,0,0,0,0
v17d_postrun,9299,127341,start_feature_gap,source_edge_fraction,0.32032358785126314,0.24453590689753057,0.7634027470093045,1,0,0,0
v17d_postrun,9299,127341,start_feature_gap,concrete_conflict_fraction,0.31862049389724656,0.24254896395117798,0.761247216035635,1,0,0,0
v17d_postrun,9299,127341,start_feature_gap,mean_candidate_rank_fraction,0.010577675811277443,0.008533103545134757,0.8067087418237138,1,0,0,0
v17d_postrun,9365,123078,start_feature_gap,source_edge_fraction,0.34216428371180263,0.27656293804317356,0.8082752970094225,1,0,0,0
v17d_postrun,9365,123078,start_feature_gap,concrete_conflict_fraction,0.34048219792542755,0.2755817213344547,0.8093865788390282,1,0,0,0
v17d_postrun,9365,123078,start_feature_gap,mean_candidate_rank_fraction,0.008657891881246327,0.009148458023993444,1.0566611537168444,0,0,0,0
v17d_postrun,9365,123403,start_feature_gap,source_edge_fraction,0.3041065482796893,0.26054384017758037,0.8567518248175178,1,0,0,0
v17d_postrun,9365,123403,start_feature_gap,concrete_conflict_fraction,0.3021642619311876,0.2584628190899001,0.8553719008264461,1,0,0,0
v17d_postrun,9365,123403,start_feature_gap,mean_candidate_rank_fraction,0.014744224839004894,0.016333367879109495,1.1077807112585958,0,0,0,0
v17d_postrun,9365,127341,start_feature_gap,source_edge_fraction,0.3458321717312517,0.2879843880680234,0.8327287384119307,1,0,0,0
v17d_postrun,9365,127341,start_feature_gap,concrete_conflict_fraction,0.3456927794814608,0.2875662113186507,0.8318548387096775,1,0,0,0
v17d_postrun,9365,127341,start_feature_gap,mean_candidate_rank_fraction,0.008801974390829415,0.007847862757049795,0.8916025437686245,1,0,0,0
v17d_postrun,9299,123078,cross_start_endpoint_distance,median_changed_edge_fraction,0.4421168687982359,0.43991179713340683,0.9950124688279303,1,0,0,0
v17d_postrun,9299,123403,cross_start_endpoint_distance,median_changed_edge_fraction,0.3973139339675434,0.39241745942921097,0.9876760563380281,1,0,0,0
v17d_postrun,9299,127341,cross_start_endpoint_distance,median_changed_edge_fraction,0.41300028384899234,0.4107294919103037,0.9945017182130584,1,0,0,0
v17d_postrun,9365,123078,cross_start_endpoint_distance,median_changed_edge_fraction,0.4510793383795907,0.4493972525932156,0.9962709757613425,1,0,0,0
v17d_postrun,9365,123403,cross_start_endpoint_distance,median_changed_edge_fraction,0.3931742508324084,0.3953940066592675,1.0056457304163726,0,0,0,0
v17d_postrun,9365,127341,cross_start_endpoint_distance,median_changed_edge_fraction,0.45107332032339004,0.4507945358238082,0.9993819530284301,1,0,0,0
