stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,chain_seed_family,chain_seed,start_endpoint_sha256,final_endpoint_sha256,total_steps,lazy_stays,nonlazy_steps,proposal_dead_end,valid_proposals,reverse_supported,reverse_unsupported,accepted_cycles,metropolis_rejects,accepted_long_cycles,accepted_length_counts_json,unique_state_count,early_accepted_cycles,late_accepted_cycles,early_unique_fraction,late_unique_fraction,final_start_changed_edge_fraction,elapsed_seconds,maximum_chain_seconds,resource_pass,traversal_pass,source_spectrum_computed,observed_effect_computed
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,9860833437276006524,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,d0a851a6b08b9da0830c4d8f876cf1a08181df0de9d9a5013d2697a9416e3929,4096,1996,2100,960,1140,1140,0,629,511,320,"{""2"":309,""3"":195,""4"":125}",630,78,66,1.0,1.0,0.2648842337375965,97.28015712508932,160.0,1,1,0,0
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_d,7959777288513139329,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,10dac18ae341d3b1d22f133afb80cd3940b472fb0b90b8b23e0938f4036418c1,4096,2026,2070,949,1121,1121,0,639,482,319,"{""2"":320,""3"":182,""4"":137}",640,67,67,1.0,1.0,0.2643329658213892,107.67626229207963,160.0,1,1,0,0
v17e,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,stability_seed_c,2105525242213697207,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,ecba7ece1057b6b4b7990806e8c569450743c2c0d376e10c9f97b6a053e79cfd,4096,2113,1983,851,1132,1132,0,623,509,317,"{""2"":306,""3"":192,""4"":125}",623,75,72,1.0,1.0,0.25303197353914,71.05331991706043,160.0,1,1,0,0
v17e,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,stability_seed_d,15102766276428604133,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,e9692ee0ad705490bc9b2055fa0fe77bbdbaf715bb73afa08bcc1e4520886e9f,4096,2042,2054,907,1147,1147,0,648,499,324,"{""2"":324,""3"":190,""4"":134}",649,77,56,1.0,1.0,0.2668136714443219,77.21395945805125,160.0,1,1,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,stability_seed_c,7197396892650887289,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,b06095126a50d833a51913dfbf1a1dbc96eeac6fbd67d237804d03ff13233997,4096,2072,2024,1018,1006,1006,0,602,404,346,"{""2"":256,""3"":205,""4"":141}",602,64,62,1.0,1.0,0.2515388919977616,42.88737937505357,160.0,1,1,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,stability_seed_d,7767632675414055709,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,cdb42756430a34b95e6ace2036091c8ee47d211733217d1811befca23377ef1f,4096,2037,2059,1017,1042,1042,0,667,375,349,"{""2"":318,""3"":209,""4"":140}",668,82,71,1.0,1.0,0.2686066032456631,43.65478637488559,160.0,1,1,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,stability_seed_c,11015833991899171496,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,3da88ef5ed57bfe692a7cf01fb135bb01dbbc92498ee32772aeae9c80ad5674b,4096,2004,2092,1072,1020,1020,0,615,405,318,"{""2"":297,""3"":184,""4"":134}",616,55,67,1.0,1.0,0.25405707890318974,36.33381791599095,160.0,1,1,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,stability_seed_d,2674995763469108898,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,13e00be2b22ba41046c64bfab7f2f22db313f28dda304f585b7046693310e110,4096,2062,2034,1066,968,968,0,607,361,319,"{""2"":288,""3"":180,""4"":139}",608,72,62,1.0,1.0,0.26329043088975934,34.29753033304587,160.0,1,1,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,stability_seed_c,7608077773037565689,72d3541918057e5aa2abdbb544d16a56fbf7192d911e16e9702232b25845ce79,8caa8cf8e296b7ee3601f25a9e9b8204f84281fd8b0661ce68be4a740f928ff1,4096,2094,2002,932,1070,1070,0,658,412,338,"{""2"":320,""3"":200,""4"":138}",659,67,76,1.0,1.0,0.2776043145046835,34.82781858299859,160.0,1,1,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,stability_seed_d,904530549906044245,72d3541918057e5aa2abdbb544d16a56fbf7192d911e16e9702232b25845ce79,b277c4da37b736958b46bf9ab2b2fb10062e8cc052493db10fd6a9426aab9ad0,4096,2020,2076,1009,1067,1067,0,638,429,339,"{""2"":299,""3"":199,""4"":140}",639,71,77,1.0,1.0,0.275901220550667,36.830278458073735,160.0,1,1,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,stability_seed_c,13197095293925529325,0a19ef1b31d44a6a6324df35f0486f65716ff44252bcde04c0339e145f9916b5,fe6d8b95e2e4c7dbfdf783358d7a2855189ed32eda52f84f6ab71b2158914e1f,4096,2091,2005,935,1070,1070,0,687,383,398,"{""2"":289,""3"":246,""4"":152}",688,80,77,1.0,1.0,0.2798751064433721,27.578100916929543,160.0,1,1,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,stability_seed_d,11814654852408415144,0a19ef1b31d44a6a6324df35f0486f65716ff44252bcde04c0339e145f9916b5,5dab5fec7ed2b2acbc78770748e268d8ea2396cde9ed8cb5d4c5ff5c031f81c5,4096,2075,2021,934,1087,1087,0,703,384,387,"{""2"":316,""3"":221,""4"":166}",703,78,73,1.0,1.0,0.28242974737439686,28.036147292004898,160.0,1,1,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,source_assignment,stability_seed_c,5588816808231729536,2caeecf8eb769326ed8bc3de02f7dd34e070a62de17fdb8cbf2a0b4131cd0a41,5a3d504e59a0c0fb2564c120c9700436f3d8e5476ac2c991fe18bb4cd5114623,4096,1980,2116,901,1215,1215,0,749,466,372,"{""2"":377,""3"":193,""4"":179}",750,75,84,1.0,1.0,0.31034482758620685,42.64350050012581,160.0,1,1,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,source_assignment,stability_seed_d,4279403128781065724,2caeecf8eb769326ed8bc3de02f7dd34e070a62de17fdb8cbf2a0b4131cd0a41,e9af773842e5e94d8b14b847ebff7fe6e5be306a0f5f464b9703164871b3d55b,4096,2070,2026,895,1131,1131,0,670,461,372,"{""2"":298,""3"":192,""4"":180}",671,75,77,1.0,1.0,0.2786655452761424,41.85589637490921,160.0,1,1,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,v16x_random_cost_a0,stability_seed_c,16679428353005419832,96816860150608a14bd8d6a9e73a5c82436a4b18f67cc5255810a3cbbd64b555,3a58a1c2d565d8a45629aa818d24252a00e5fd66ec0b5f1c9ad45fb748a34134,4096,2057,2039,878,1161,1161,0,672,489,364,"{""2"":308,""3"":205,""4"":159}",673,64,74,1.0,1.0,0.27894589290720495,40.51033749990165,160.0,1,1,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,v16x_random_cost_a0,stability_seed_d,12000308305004834291,96816860150608a14bd8d6a9e73a5c82436a4b18f67cc5255810a3cbbd64b555,c19ba88c8f02097a00750b0156798b9afcdb2de19a19b904c904bb21ec077e0c,4096,2060,2036,847,1189,1189,0,700,489,380,"{""2"":320,""3"":208,""4"":172}",701,69,75,1.0,1.0,0.2924025791982058,35.34146270900965,160.0,1,1,0,0
v17e,1536,9365,123403,exposure_matched_local,1993773403,source_assignment,stability_seed_c,7353658911871286951,2605d33933a74a3f77e3da87ceb3b75fcaf5d1973db4d6f6da9f67b5c9f61033,91fd755fa3e319a96505a5d09da1a5976fd49d316747cbffeb049935e86bcc37,4096,2102,1994,995,999,999,0,583,416,310,"{""2"":273,""3"":170,""4"":140}",584,62,69,1.0,1.0,0.24472807991120982,58.74374291719869,160.0,1,1,0,0
v17e,1536,9365,123403,exposure_matched_local,1993773403,source_assignment,stability_seed_d,151198898709517863,2605d33933a74a3f77e3da87ceb3b75fcaf5d1973db4d6f6da9f67b5c9f61033,fcea63b10fe3b5adbf9db2ba84486a349c7fca5476282063f78bb1d4efaaed9a,4096,2044,2052,1067,985,985,0,575,410,292,"{""2"":283,""3"":162,""4"":130}",576,62,62,1.0,1.0,0.22863485016648166,55.95019400003366,160.0,1,1,0,0
