stage,target_nodes,growth_seed,run_offset,arm,run_seed,state_space_arm,stochastic_measure,stationary_target_scope,start_family,chain_seed_family,window,sample_index,step,selected_edge_count,source_changed_edge_fraction,start_changed_edge_fraction,source_spectrum_computed,observed_effect_computed,edge_count,changed_edge_count,changed_edge_fraction,edge_count_pass,scheduler_order_pass,indegree_sequence_pass,outdegree_sequence_pass,depth_sequence_pass,global_age_bin_histogram_pass,global_event_footprint_histogram_pass,actual_resource_conflict_edge_fraction,structure_pass,null_edge_sha256,source_edge_fraction,normalized_mean_parent_lag,mean_depth_gap,concrete_conflict_fraction,mean_candidate_rank_fraction,mean_pairwise_changed_fraction,globally_forced_edges_included_pass,endpoint_integrity_pass,endpoint_edge_sha256
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,0,1536,3628,0.13506063947078284,0.13506063947078284,0,0,3628,490,0.1350606394707828,1,1,1,1,1,1,1,0.8652149944873209,1,be0e64dd199c7550efcb071661311c26dc7d508fadd46960998c21c91046845b,0.8649393605292172,0.06570837209435869,2.6033627342888646,0.8652149944873209,0.3917669224811015,0.315062739539035,1,1,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,1,1600,3628,0.1414002205071665,0.1414002205071665,0,0,3628,513,0.1414002205071665,1,1,1,1,1,1,1,0.8588754134509372,1,86142ee430cda8d1994fbfa7ebf29725eaef65437f25f67c3a6aa070ea5ff38b,0.8585997794928335,0.06570837209435869,2.6033627342888646,0.8588754134509372,0.3917418496650294,0.31457709875570955,1,1,b7bfc317410e4bff6b7f8ac2cc8998c113e2dc826deb4c2d3a8d179d93a3a603
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,2,1664,3628,0.14829106945975745,0.14829106945975745,0,0,3628,538,0.14829106945975745,1,1,1,1,1,1,1,0.8519845644983461,1,641772e84576e8b9e827ed70910a92cd8b166b4c30b4770ee9853c4fd09b5eef,0.8517089305402425,0.06570837209435869,2.6033627342888646,0.8519845644983461,0.39162235925312705,0.31364956861097987,1,1,74a56a5b5ce260d10550dcdd7a75bb1a045cee10fa01a77ef9881ff1b585d806
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,3,1728,3628,0.15242557883131203,0.15242557883131203,0,0,3628,553,0.15242557883131203,1,1,1,1,1,1,1,0.8478500551267916,1,44fc2b0d6b253c95571ba1cee0bcf403d567363cbc6a3efc000f96d3934cffed,0.847574421168688,0.06570837209435869,2.6033627342888646,0.8478500551267916,0.3914000370435324,0.31432334050856653,1,1,0ed66f91c785e1e4626ab6a584cb34aaa102280ad0dc269e8fa9cbe723ec1a9d
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,4,1792,3628,0.1565600882028666,0.1565600882028666,0,0,3628,568,0.1565600882028666,1,1,1,1,1,1,1,0.843715545755237,1,a3527a19b07b0ae1969096722fa8a3120861ab11144e7239182b24ea108724f9,0.8434399117971334,0.06570837209435869,2.6033627342888646,0.843715545755237,0.3911867661300263,0.31462085017763075,1,1,75d9cd055376692c76fe576bdf2697a3c71a01772960aec393292547826c5b60
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,5,1856,3628,0.16097023153252477,0.16097023153252477,0,0,3628,584,0.1609702315325248,1,1,1,1,1,1,1,0.8393054024255788,1,4a78c5ae02d9691b31eb82b4cbf48c2593a8608596ef0a0885019edc6f8aba06,0.8390297684674752,0.06570837209435869,2.6033627342888646,0.8393054024255788,0.3902087850099156,0.3153646243502914,1,1,0248436d3f889e49105963c371ad4deaee645825518f34ed94fb926b1d4b0736
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,6,1920,3628,0.16593164277839034,0.16593164277839034,0,0,3628,602,0.1659316427783903,1,1,1,1,1,1,1,0.8343439911797134,1,36ce3a301a004da79f96bd78fe1103e30e6a1585a55ce4f038dd96c27b749ae0,0.8340683572216097,0.06570837209435869,2.6033627342888646,0.8343439911797134,0.3906837573388939,0.31551337918482353,1,1,5a747975b9583a489f3e773977904df075ec3e9ea81ba29d1388e6e5cfa63a47
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,early,7,1984,3628,0.16813671444321943,0.16813671444321943,0,0,3628,610,0.1681367144432194,1,1,1,1,1,1,1,0.8321389195148843,1,a731a49a7b47ad526aa0e5aa29038f80b905ed976b4a4f8ab8c8c2e5cd2a591d,0.8318632855567806,0.06570837209435869,2.6033627342888646,0.8321389195148843,0.3914477136866139,0.31660716473285383,1,1,7dff3eb51b089805e1e6292d40e6fd37e82607a3c7832a20c2422480a17cd49e
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,0,3584,3628,0.24669239250275632,0.24669239250275632,0,0,3628,895,0.24669239250275635,1,1,1,1,1,1,1,0.7541345093715546,1,f19a2b96dfd35df37d1d02452cba19b8cc1f1ae28f2d5841aec26788327b44c1,0.7533076074972437,0.06570837209435869,2.6033627342888646,0.7541345093715546,0.3934197045760124,0.32712500656271326,1,1,8009ba31ce69a3e1603fd370a2347ab3637ae8ce01482bcad9dbfdde99a03c5c
v17e,1536,9299,123078,exposure_matched_local,1993113078,coarse_v16v_slot_space,v17c_exact_counter_lazy_metropolis,uniform_per_bounded_cycle_proposal_component,source_assignment,stability_seed_c,late,1,3648,3628,0.2491730981256891,0.2491730981256891,0,0,3628,904,0.24917309812568908,1,1,1,1,1,1,1,0.7516538037486218,1,228c9631f63fa95cd820629a5e8dab0e9130ec842c26bd8ebb9ac3b6499b1fbe,0.7508269018743109,0.06570837209435869,2.6033627342888646,0.7516538037486218,0.3935441163191499,0.32743564165835387,1,1,d1cf7a1fe866087d9022b0e7df75c0f18a0c140d3e4d164b8db76dd818fff44b
