stage,target_nodes,growth_seed,run_offset,arm,run_seed,left_start_family,left_chain_seed_family,left_window,left_sample_index,right_start_family,right_chain_seed_family,right_window,right_sample_index,left_endpoint_sha256,right_endpoint_sha256,changed_edge_fraction
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,1,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,b7bfc317410e4bff6b7f8ac2cc8998c113e2dc826deb4c2d3a8d179d93a3a603,0.011025358324145534
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,2,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,74a56a5b5ce260d10550dcdd7a75bb1a045cee10fa01a77ef9881ff1b585d806,0.020672546857772877
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,3,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,0ed66f91c785e1e4626ab6a584cb34aaa102280ad0dc269e8fa9cbe723ec1a9d,0.028390297684674753
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,4,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,75d9cd055376692c76fe576bdf2697a3c71a01772960aec393292547826c5b60,0.034729878721058434
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,5,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,0248436d3f889e49105963c371ad4deaee645825518f34ed94fb926b1d4b0736,0.039415656008820285
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,6,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,5a747975b9583a489f3e773977904df075ec3e9ea81ba29d1388e6e5cfa63a47,0.04768467475192944
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,early,7,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,7dff3eb51b089805e1e6292d40e6fd37e82607a3c7832a20c2422480a17cd49e,0.05402425578831312
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,0,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,8009ba31ce69a3e1603fd370a2347ab3637ae8ce01482bcad9dbfdde99a03c5c,0.17695700110253584
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,1,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,d1cf7a1fe866087d9022b0e7df75c0f18a0c140d3e4d164b8db76dd818fff44b,0.17943770672546858
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,2,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,a0d9bf22ec2c9b7eae2ffd8ffd95456d8581eb2fb54bb50789df14d00a392df2,0.18412348401323042
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,3,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,c01b38f9a1318e41afb84a03a2b373f3331c45822d287bee22bd34fa576ec6a4,0.1888092613009923
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,4,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,35d3dec8f416c8b7e59b75369444680cc3a6528fffbab441ba500b2d093357c3,0.1918412348401323
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,5,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,875ecf77bfc32c89932da47c934d65d483900209f266d6c0a32a281bd127d456,0.19597574421168687
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,6,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,33f221869eaac769d8a4f1765686fb97e1afc87ff20cabff26c1ca91623673b4,0.19928335170893055
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_c,late,7,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,acbcbc155766e76b77696fed4cb363bafadfcc3148d26eb8b5a1689a5e36382b,0.2025909592061742
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,0,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,5bea18fd9af3732a3aafdd8dbe77f9a6b1c878e544e077ee61b7fc6bb5411d68,0.22216097023153253
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,1,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,5fd10caac840ea814d2c5f1e0f154ef6efc0617c8e779e8cb4544996e80867d9,0.22739801543550164
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,2,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,c585a76cc8032378d5a909c39ee84e2164de943076ccbde1b3dbc03c34cc2a1e,0.22932745314222713
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,3,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,2d2ec9d850eca705753bea4d3d89259f922981336948f81dc040a2cb13a4430c,0.23070562293274532
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,4,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,99d461842153c5455046a42855712dfd9794ad574e3c9462ad95c7801f2a5af4,0.23208379272326352
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,5,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,622ade10c034da396dd1fe180f2bcc5183af5cf3a20b10761f348362a04948f4,0.2326350606394708
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,6,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,1c237a7692ee78e67a03d33c8503bc3116325e6db9d16fdd134a2c706543fac3,0.2362183020948181
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,early,7,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,bbba4e4c6ec7348003f6674da98880c7f7e519f6d79f61e49b9079dffbd828df,0.2364939360529217
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,stability_seed_c,early,0,source_assignment,stability_seed_d,late,0,d0ee0535e6073b0da6447d5186a1bc3601f1ef988f47ee10962c29118f8b8642,e9af068f7642f4728ca203a0c1a6d89fed92909d708b4d1ef18fbe128ce86c41,0.28831312017640576
